k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path,tracking_err_xy_mm,tracking_err_xyz_mm,clearance_plot_mm,vessel_tip_angle_deg,tip_step_xyz_mm,tip_step_xy_mm_from_pos,u_trans_norm,u_rot_norm,u_dL_abs,jac_gain_abs_error,jac_angle_abs_deg,solved_flag,vessel,magnet_placement,case
0,17,17,1,0.001629707546744,1.6297075467440076,0.0017517496035561,0.0027310950531014,-4.101799842515021e-08,0.0,0.0,0.0387917190543865,0.0101415254549065,0.7821503395189886,-0.7099000057416691,0.1,-2.2089386369672282e-07,0.9999999416077844,0.0001243512735411,0.0003183098170753,0.016101415254549,0.782031509448629,-0.7099362618413113,-0.1000521082201215,-0.9999883804796464,-0.0005077247737404,-0.0047938628732992,solved,0,2.4833736596673617e-06,0.0024833736596673,2.558253159867115e-06,0.0025582531598671,3.037157311643428,16,0.0698347994325436,0.0013391388557504,1.3391388557504826,0.0026608611442495,2.660861144249518,0.1015358541872234,0.1015358541861449,0.1015672213178168,1.00030892664315,1.0003089266537746,1.4433062731747233,0.9996827374778476,0.1015349978450135,-0.1014344963175604,-0.001240100941532,0.0043628880327976,-0.1014344963174984,-0.0012401008723239,0.004362888028811,-0.1014375724659455,0.0012432708821341,0.0049773101121058,-0.9990017529229024,-0.0122134289553072,0.0429689400628164,-0.9990017529329032,-0.0122134282738242,0.0429689400240093,-0.9987235167981448,0.0122408673389203,0.0490050830132612,mpc_1np1s_above_60/frames/frame_000000.png,0.0024833736596673,0.0025582531598671,2.660861144249518,3.037157311643428,,,0.003244611974384051,0.0387917190543865,0.0101415254549065,0.0003089266431499649,1.4433062731747233,1.0,60$^\circ$,Above-patient,BC
1,18,18,1,0.0022062805847925,2.206280584792505,0.0031559144427063,0.0021678389625371,-1.825821499832176e-07,0.0,0.0,0.0350497607964128,0.0101492611240546,0.7821818986634157,-0.7098783273520437,0.1,-2.766772747573349e-07,0.9999999480441256,-5.089752122024318e-05,0.000318309773476,0.0162029078657896,0.7819299937404747,-0.7099351031376641,-0.1000462270903827,-0.9999911704578616,-0.0003885298845922,-0.0041842622819932,solved,0,2.281101861256906e-06,0.0022811018612569,2.3858766816001854e-06,0.0023858766816001,3.0272612740641227,16,0.1712202398252957,0.0013349264576526,1.334926457652616,0.0026650735423473,2.6650735423473844,0.1016516671176454,0.1016516671175896,0.1016925232414771,1.0004019228114025,1.0004019228119516,1.344358625500402,0.9997247450797252,0.1016645318740997,-0.1015132996559633,-0.0011223969426449,0.0051818573753375,-0.1015132996559087,-0.0011223969424989,0.0051818573753442,-0.1015157081543094,0.0011587036472526,0.0058811297388577,-0.9986388077480126,-0.0110415989670489,0.0509766098507797,-0.9986388077480236,-0.0110415989656181,0.0509766098508738,-0.998261277412226,0.0113941872058896,0.0578324694028151,mpc_1np1s_above_60/frames/frame_000001.png,0.0022811018612569,0.0023858766816001,2.6650735423473844,3.0272612740641227,0.1016925232414739,0.10152232067980461,0.003828749374209859,0.0350497607964128,0.0101492611240546,0.00040192281140249975,1.344358625500402,1.0,60$^\circ$,Above-patient,BC
2,19,19,1,0.0028841074184155,2.8841074184155984,0.0041798127922843,0.0014271995537526,-5.206127697371083e-07,0.0,0.0,0.0273365134304554,0.0101727435873084,0.7822236967913385,-0.7098640553565062,0.1,-3.2018466902576885e-07,0.9999999317462602,-0.00018758008037,0.0003183097326857,0.0163046353016626,0.7818282441752449,-0.7099341732385671,-0.1000395967378385,-0.9999937993850978,-0.0002931487359131,-0.0035093097861693,solved,0,1.8086498500977952e-06,0.0018086498500977,1.9640562178956034e-06,0.0019640562178956,3.017902505207685,16,0.2726787421356808,0.0013306189749658,1.330618974965886,0.0026693810250341,2.6693810250341143,0.1019206910996275,0.1019206910996074,0.1019696048420406,1.000479919650125,1.0004799196503231,1.1035245217430127,0.9998145293087336,0.1019506924689424,-0.1017480268576037,-0.0008787500989549,0.0058646485891002,-0.1017480268575843,-0.0008787500989093,0.0058646485890934,-0.1017495652297917,0.0009298990969464,0.0066303525441541,-0.9983058960829156,-0.0086219009062248,0.0575412953525553,-0.9983058960829226,-0.0086219009057793,0.0575412953524998,-0.9978421058648824,0.0091193753117597,0.065022832582563,mpc_1np1s_above_60/frames/frame_000002.png,0.0018086498500977,0.0019640562178956,2.6693810250341143,3.017902505207685,0.10196960484204422,0.10175381435986634,0.004416756028559055,0.0273365134304554,0.0101727435873084,0.0004799196501250602,1.1035245217430127,1.0,60$^\circ$,Above-patient,BC
3,19,19,0,0.002787661082794,2.7876610827940422,0.0033955122164647,0.001162910028187,-4.81117941681389e-07,0.0,0.0,0.0278277524212368,0.0101691627092328,0.7822576519135032,-0.7098524262562244,0.1,-3.644738879557822e-07,0.9999998959668032,-0.0003267188307147,0.0003183096850544,0.016406326928755,0.7817265346537858,-0.7099331947575402,-0.1000331620006239,-0.9999958859501784,-0.0001942739062677,-0.0028618770705104,solved,0,1.8710136137518547e-06,0.0018710136137518,2.0079228152794744e-06,0.0020079228152794,3.010090803864824,16,0.3743584284783439,0.0013260797204454,1.3260797204454429,0.0026739202795545,2.673920279554557,0.1018723270363737,0.1018723271279403,0.1019175648432091,1.0004440637428385,1.0004440628436015,1.128785666546582,0.9998059410555952,0.1018977868281593,-0.1017084854768297,-0.000892520907126,0.0057059972174657,-0.1017084854726402,-0.0008925323000674,0.0057059971448614,-0.1017095214590479,0.0009784810268698,0.0064347372146222,-0.9983916970946838,-0.0087611712924485,0.0560112582431573,-0.9983916961561662,-0.0087612831200621,0.0560112574801134,-0.997958709232494,0.0096007104209673,0.063136685266387,mpc_1np1s_above_60/frames/frame_000003.png,0.0018710136137518,0.0020079228152794,2.673920279554557,3.010090803864824,0.10191756484320735,0.10171422801431709,0.0035891312566265093,0.0278277524212368,0.0101691627092328,0.00044406374283845196,1.128785666546582,1.0,60$^\circ$,Above-patient,BC
4,19,19,0,0.0026916593334347,2.6916593334347505,0.002668022175154,0.0009056620250584,-4.4236756461944754e-07,0.0,0.0,0.0283247502903837,0.0101655019610767,0.7822843321352547,-0.7098433696359737,0.1,-4.0955409587079353e-07,0.9999998396670144,-0.0004683425636831,0.000318309630244,0.0165079819483657,0.7816248655879723,-0.7099321666640699,-0.1000269093619886,-0.9999974866507612,-9.187254251379547e-05,-0.0022401454408829,solved,0,1.9349898713474376e-06,0.0019349898713474,2.0557591418965897e-06,0.0020557591418965,3.002632698353459,16,0.4760007754659585,0.0013216272477469,1.321627247746992,0.002678372752253,2.6783727522530083,0.1018243691135909,0.1018243691135691,0.1018663409055573,1.0004121979083374,1.0004121979085518,1.1562998817320018,0.9997963656860154,0.1018455974231089,-0.1016684996169096,-0.0009068963204155,0.0055584053550706,-0.1016684996169026,-0.0009068963181535,0.0055584053551688,-0.1016690658135477,0.0010280934703565,0.0062526386353234,-0.9984692318937184,-0.0089064762031951,0.0545881639479637,-0.9984692318938634,-0.0089064761809822,0.0545881639489393,-0.9980633927727656,0.0100925728873462,0.0613808111662752,mpc_1np1s_above_60/frames/frame_000004.png,0.0019349898713474,0.0020557591418965,2.6783727522530083,3.002632698353459,0.10186634090555566,0.10167426380153086,0.0028175461356356574,0.0283247502903837,0.0101655019610767,0.0004121979083373528,1.1562998817320018,1.0,60$^\circ$,Above-patient,BC
5,19,19,0,0.0025961475770832,2.5961475770832254,0.0019953214306507,0.0006549064947374,-4.0482874370046115e-07,0.0,0.0,0.0288276706215576,0.010161756336908,0.7823042853495612,-0.7098368205710264,0.1,-4.5543471733923284e-07,0.999999761772958,-0.0006124808883166,0.000318309567905,0.0166095995117348,0.7815232374835588,-0.7099310878200814,-0.1000208248057697,-0.9999986513413052,1.4098045525584268e-05,-0.0016422901132283,solved,0,2.000701778176837e-06,0.0020007017781768,2.107419794761931e-06,0.0021074197947619,2.995468561707979,16,0.5776054150258839,0.0013172598906639,1.317259890663936,0.002682740109336,2.682740109336064,0.1017767136362448,0.1017767136362021,0.1018158010105196,1.0003840502692452,1.000384050269664,1.1859733335498914,0.999785780460518,0.1017939900765152,-0.1016279826881329,-0.0009218577860201,0.0054224304105337,-0.1016279826880905,-0.0009218577859959,0.0054224304105315,-0.1016281044134981,0.0010788439884779,0.0060845562189354,-0.9985386544446364,-0.0090576493687433,0.0532777117358476,-0.9985386544446384,-0.0090576493685099,0.0532777117358485,-0.9981565081730078,0.0105960369389662,0.0597604316672496,mpc_1np1s_above_60/frames/frame_000005.png,0.0020007017781768,0.0021074197947619,2.682740109336064,2.995468561707979,0.101815801010518,0.10163383054393037,0.0021000500690101405,0.0288276706215576,0.010161756336908,0.00038405026924515084,1.1859733335498914,1.0,60$^\circ$,Above-patient,BC
6,19,19,0,0.0025011779506087,2.501177950608762,0.0013778868530727,0.000410060759983,-3.686173241968641e-07,0.0,0.0,0.0293364990549672,0.0101579203036923,0.7823180642180919,-0.7098327199634266,0.1,-5.021251539624568e-07,0.9999996611748588,-0.0007591633415327,0.0003183094976763,0.0167111787147717,0.7814216509421626,-0.709929957206484,-0.1000148924524173,-0.9999994237906852,0.000123667114977,-0.0010663605123195,solved,0,2.068025389266949e-06,0.0020680253892669,2.162606923405243e-06,0.0021626069234052,2.9885445556947987,16,0.6791718929966402,0.0013129764305776,1.3129764305776366,0.0026870235694223,2.687023569422363,0.1017293161150555,0.1017293161150694,0.1017658906325337,1.000359527802554,1.000359527802417,1.217648939246045,0.999774185105904,0.1017429103787179,-0.101586845949728,-0.000937411769388,0.0052997873917477,-0.1015868459497415,-0.0009374117694305,0.0052997873917493,-0.1015865413961369,0.0011306135974109,0.0059323533523475,-0.9985995171228093,-0.0092147652730492,0.0520969529152606,-0.9985995171228048,-0.0092147652734653,0.0520969529152691,-0.9982376291773012,0.0111099464701143,0.0582941230649537,mpc_1np1s_above_60/frames/frame_000006.png,0.0020680253892669,0.0021626069234052,2.687023569422363,2.9885445556947987,0.10176589063253613,0.10159283281775197,0.0014376098714975337,0.0293364990549672,0.0101579203036923,0.0003595278025541049,1.217648939246045,1.0,60$^\circ$,Above-patient,BC
7,20,20,1,0.0031876257839806,3.187625783980643,0.0013819174667943,9.08770705495477e-05,-9.150292952827724e-07,0.0,0.0,0.0161620361302533,0.0101862635866661,0.7823318833927598,-0.7098318111927211,0.1,-5.278478003051938e-07,0.9999995965615908,-0.0008399734922367,0.0003183094560602,0.0168130413506384,0.7813197837101156,-0.7099292891161341,-0.1000087568937449,-0.9999998678810768,0.0001881853197742,-0.0004783556360226,solved,0,1.1584022189739242e-06,0.0011584022189739,1.32441099695177e-06,0.0013244109969517,2.981813884585138,16,0.78069965157806,0.0013087758105703,1.3087758105703964,0.0026912241894296,2.6912241894296036,0.1020172593788862,0.1020172593749672,0.1020540268185074,1.000360404110492,1.0003604041489202,0.7434123111555848,0.999915825965334,0.1020454365193162,-0.1018680600532305,-0.0004903136346219,0.0054935548336262,-0.1018680600533006,-0.0004903115731202,0.0054935549435447,-0.1018672320470814,0.0006680903499312,0.0061355586724459,-0.998537508980696,-0.0048061831655462,0.053849268908739,-0.9985375090197408,-0.0048061629583494,0.0538492699882579,-0.998169648202533,0.0065464379090041,0.0601206915956136,mpc_1np1s_above_60/frames/frame_000007.png,0.0011584022189739,0.0013244109969517,2.6912241894296036,2.981813884585138,0.10205402681850498,0.10186942283948415,0.0013849026551571969,0.0161620361302533,0.0101862635866661,0.0003604041104920963,0.7434123111555848,1.0,60$^\circ$,Above-patient,BC
8,20,20,0,0.0030870546152121,3.0870546152121445,0.0006336900941686,-4.312625044927432e-05,-8.506801774446658e-07,0.0,0.0,0.0164477231821723,0.010182961222618,0.7823382202937015,-0.7098322424552256,0.1,-5.540251275884531e-07,0.9999995241017396,-0.0009222120720362,0.0003183094115743,0.0169148709628646,0.7812179524547044,-0.7099285912049692,-0.1000028642588073,-0.9999999643971657,0.0002547041797448,7.957039777291016e-05,solved,0,1.1970958817453398e-06,0.0011970958817453,1.3408585720610611e-06,0.001340858572061,2.9780301331501735,16,0.8824835344445954,0.001304126312683,1.3041263126830271,0.0026958736873169,2.695873687316973,0.1019707881298159,0.1019707881166702,0.1020039940645444,1.0003256416404884,1.0003256417694468,0.7530613889213995,0.9999136267523548,0.1019951836483042,-0.1018323288434321,-0.0004991887817397,0.0052885957208967,-0.1018323288433098,-0.0004991842356139,0.0052885958988918,-0.1018312554111888,0.0006979111648597,0.0058926349375126,-0.9986421671448936,-0.0048954096648174,0.0518638309842614,-0.9986421672724352,-0.0048953650828192,0.0518638327364979,-0.9983065501018886,0.0068419984066321,0.0577686686835423,mpc_1np1s_above_60/frames/frame_000008.png,0.0011970958817453,0.001340858572061,2.695873687316973,2.9780301331501735,0.10200399406454923,0.10183364698670484,0.0006351564630718851,0.0164477231821723,0.010182961222618,0.0003256416404884277,0.7530613889213995,1.0,60$^\circ$,Above-patient,BC
9,20,20,0,0.0029866117490643,2.9866117490643576,-5.113623180986749e-05,-0.0001723893240135,-7.882381572284213e-07,0.0,0.0,0.0167368188336914,0.0101795947491552,0.7823377089313834,-0.7098339663484657,0.1,-5.806625603903325e-07,0.9999994434257458,-0.0010058961230527,0.0003183093640967,0.0170166669103561,0.7811161574527252,-0.7099278628642224,-0.0999971951296899,-0.9999997618403595,0.0003232429982739,0.0006097812624129,solved,0,1.2367594576227106e-06,0.0012367594576227,1.361401069052145e-06,0.0013614010690521,8.288754926360133,17,0.1047330732302279,0.0012954104269428,1.2954104269428368,0.0027045895730571,2.7045895730571634,0.1019252400898361,0.1019252402832307,0.1019553428375887,1.0002953414456135,1.0002953395476368,0.7649776360035954,0.9999108716707186,0.1019462557282203,-0.1017962941295074,-0.0005083796091605,0.0051000606900836,-0.101796294132983,-0.0005084180357828,0.0051000606551693,-0.1017950019791547,0.000728340746825,0.0056691291174804,-0.9987348966731396,-0.0049877695525908,0.0500372693318008,-0.9987348948122238,-0.004988146551041,0.0500372688943114,-0.9984273422660208,0.007143723188546,0.0556040415313117,mpc_1np1s_above_60/frames/frame_000009.png,0.0012367594576227,0.0013614010690521,2.7045895730571634,8.288754926360133,0.1019553428375849,0.10179760757591308,0.00017981550143671292,0.0167368188336914,0.0101795947491552,0.00029534144561349507,0.7649776360035954,1.0,60$^\circ$,Above-patient,BC
