step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.4919,0,0.495564,-0.670452,-0.016567,0.495526,-0.670470,-0.016567,0.042,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.030042,0
2,25.5255,1,0.495482,-0.670467,-0.016567,0.495348,-0.670381,-0.016567,0.160,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.030222,0
3,25.6139,2,0.495549,-0.670442,-0.016567,0.495212,-0.670313,-0.016567,0.361,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.030422,0
4,25.7461,3,0.495493,-0.670260,-0.016567,0.495076,-0.670245,-0.016567,0.417,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.030622,0
5,25.7825,4,0.495147,-0.670270,-0.016567,0.494934,-0.670174,-0.016567,0.233,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.030822,0
6,25.8563,5,0.495112,-0.670109,-0.016567,0.494794,-0.670104,-0.016567,0.318,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.030902,0
7,25.9544,6,0.494746,-0.670076,-0.016567,0.494647,-0.670031,-0.016567,0.109,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031000,0
8,26.0647,7,0.494476,-0.669545,-0.016567,0.494493,-0.669954,-0.016567,0.409,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031118,0
9,26.1758,8,0.494337,-0.669765,-0.016567,0.494347,-0.669881,-0.016567,0.116,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031274,0
10,26.2677,9,0.494311,-0.669579,-0.016567,0.494212,-0.669813,-0.016567,0.254,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031456,0
11,26.3680,10,0.494216,-0.669547,-0.016567,0.494088,-0.669751,-0.016567,0.241,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031627,0
12,26.4666,11,0.493882,-0.669496,-0.016567,0.493976,-0.669695,-0.016567,0.220,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031748,0
13,26.5662,12,0.493636,-0.669635,-0.016567,0.493867,-0.669641,-0.016567,0.231,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.031875,0
14,26.6849,13,0.493481,-0.669609,-0.016567,0.493754,-0.669584,-0.016567,0.274,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032018,0
15,26.7790,14,0.493245,-0.669593,-0.016567,0.493631,-0.669523,-0.016567,0.392,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032150,0
16,26.8730,15,0.493316,-0.669609,-0.016567,0.493501,-0.669457,-0.016567,0.239,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032343,0
17,26.9647,16,0.493465,-0.669361,-0.016567,0.493367,-0.669390,-0.016567,0.102,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032543,0
18,27.0742,17,0.493132,-0.669437,-0.016567,0.493234,-0.669324,-0.016567,0.152,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032692,0
19,27.1771,18,0.492689,-0.669347,-0.016567,0.493101,-0.669257,-0.016567,0.422,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032788,0
20,27.2966,19,0.492661,-0.669071,-0.016567,0.492967,-0.669191,-0.016567,0.329,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.032951,0
21,27.3760,20,0.492725,-0.668987,-0.016567,0.492833,-0.669124,-0.016567,0.173,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.033150,0
22,27.4718,21,0.492539,-0.668936,-0.016567,0.492698,-0.669056,-0.016567,0.198,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.033307,0
23,27.5734,22,0.492288,-0.669016,-0.016567,0.492560,-0.668987,-0.016567,0.274,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.033446,0
24,27.6741,23,0.492304,-0.669005,-0.016567,0.492422,-0.668918,-0.016567,0.147,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.033632,0
25,27.7747,24,0.491986,-0.668893,-0.016567,0.492282,-0.668848,-0.016567,0.300,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.033760,0
26,27.8685,25,0.491984,-0.668784,-0.016567,0.492141,-0.668778,-0.016567,0.157,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.033939,0
27,27.9679,26,0.491721,-0.668888,-0.016567,0.492000,-0.668707,-0.016567,0.333,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034082,0
28,28.0768,28,0.491384,-0.668895,-0.016567,0.491716,-0.668565,-0.016567,0.468,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034282,0
29,28.1673,29,0.491185,-0.668901,-0.016567,0.491569,-0.668492,-0.016567,0.561,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034482,0
30,28.2847,30,0.491011,-0.668820,-0.016567,0.491421,-0.668418,-0.016567,0.575,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034678,0
31,28.3816,30,0.490861,-0.668875,-0.016567,0.491421,-0.668418,-0.016567,0.723,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034689,0
32,28.4729,31,0.490485,-0.668910,-0.016567,0.491275,-0.668345,-0.016567,0.972,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034776,0
33,28.5846,32,0.490740,-0.668790,-0.016567,0.491130,-0.668272,-0.016567,0.648,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.034976,0
34,28.6832,33,0.490736,-0.668847,-0.016567,0.490980,-0.668197,-0.016567,0.694,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.035176,0
35,28.7830,34,0.490499,-0.668848,-0.016567,0.490827,-0.668121,-0.016567,0.797,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.035376,0
36,28.8757,35,0.490304,-0.668936,-0.016567,0.490672,-0.668043,-0.016567,0.966,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.035576,0
37,28.9728,36,0.489971,-0.668991,-0.016567,0.490513,-0.667964,-0.016567,1.161,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.035649,0
38,29.0725,37,0.489839,-0.668914,-0.016567,0.490358,-0.667886,-0.016567,1.151,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.035797,0
39,29.1872,38,0.489709,-0.668946,-0.016567,0.490205,-0.667810,-0.016567,1.240,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.035963,0
40,29.3282,39,0.489814,-0.668962,-0.016567,0.490048,-0.667731,-0.016567,1.253,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.036163,0
41,29.3779,40,0.489585,-0.668764,-0.016567,0.489875,-0.667645,-0.016567,1.156,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.036363,0
42,29.4783,41,0.489398,-0.668762,-0.016567,0.489702,-0.667558,-0.016567,1.241,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.036495,0
43,29.5668,42,0.488988,-0.668802,-0.016567,0.489533,-0.667473,-0.016567,1.436,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.036605,0
44,29.6795,43,0.488966,-0.668901,-0.016567,0.489355,-0.667385,-0.016567,1.565,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.036790,0
45,29.7614,44,0.488963,-0.668774,-0.016567,0.489147,-0.667281,-0.016567,1.504,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.036987,0
46,29.8623,45,0.488739,-0.668874,-0.016567,0.488883,-0.667148,-0.016567,1.732,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037073,0
47,29.9591,46,0.488295,-0.668939,-0.016567,0.488618,-0.667016,-0.016567,1.950,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037114,0
48,30.0588,47,0.488265,-0.668864,-0.016567,0.488345,-0.666902,-0.016567,1.964,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037273,0
49,30.1594,48,0.488287,-0.668880,-0.016567,0.488061,-0.666820,-0.016567,2.073,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037424,0
50,30.2679,49,0.488128,-0.668853,-0.016567,0.487798,-0.666859,-0.016567,2.021,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037616,0
51,30.3626,50,0.488008,-0.668720,-0.016567,0.487661,-0.667118,-0.016567,1.639,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037790,0
52,30.4631,51,0.487797,-0.668699,-0.016567,0.487634,-0.667345,-0.016567,1.364,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.037934,0
53,30.6396,52,0.487720,-0.668624,-0.016567,0.487614,-0.667570,-0.016567,1.059,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.038072,0
54,30.6631,53,0.487558,-0.668479,-0.016567,0.487614,-0.667699,-0.016567,0.782,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.038272,0
55,30.7649,54,0.487522,-0.668252,-0.016567,0.487614,-0.667801,-0.016567,0.460,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.038347,0
56,30.8672,55,0.487218,-0.668159,-0.016567,0.487614,-0.667926,-0.016567,0.459,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.038428,0
57,30.9688,56,0.487130,-0.668559,-0.016567,0.487614,-0.668174,-0.016567,0.618,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.038542,0
58,31.0672,57,0.486965,-0.668143,-0.016567,0.487614,-0.668473,-0.016567,0.728,-0.856345,-1.945821,-1.761747,-1.033196,1.562312,-2.056397,0.038561,0
