step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.4125,0,0.495681,-0.670618,-0.016567,0.495656,-0.670561,-0.016567,0.062,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.030048,0
2,21.5124,1,0.495687,-0.670642,-0.016567,0.495460,-0.670464,-0.016567,0.288,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.030218,0
3,21.6124,2,0.495642,-0.670302,-0.016567,0.495294,-0.670380,-0.016567,0.357,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.030410,0
4,21.7124,3,0.495297,-0.670316,-0.016567,0.495133,-0.670300,-0.016567,0.165,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.030541,0
5,21.8125,4,0.495293,-0.670602,-0.016567,0.494974,-0.670221,-0.016567,0.497,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.030728,0
6,21.9125,5,0.495050,-0.670535,-0.016567,0.494817,-0.670142,-0.016567,0.456,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.030876,0
7,22.0124,6,0.494980,-0.670003,-0.016567,0.494661,-0.670064,-0.016567,0.325,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031048,0
8,22.1124,7,0.494568,-0.670246,-0.016567,0.494505,-0.669986,-0.016567,0.268,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031161,0
9,22.2126,8,0.494600,-0.669941,-0.016567,0.494349,-0.669908,-0.016567,0.254,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031346,0
10,22.3125,9,0.494605,-0.670010,-0.016567,0.494193,-0.669830,-0.016567,0.449,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031544,0
11,22.4128,10,0.494244,-0.670092,-0.016567,0.494038,-0.669752,-0.016567,0.397,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031672,0
12,22.5129,11,0.493985,-0.669901,-0.016567,0.493883,-0.669675,-0.016567,0.249,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031803,0
13,22.6128,12,0.493824,-0.670096,-0.016567,0.493728,-0.669597,-0.016567,0.508,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.031957,0
14,22.7129,13,0.493765,-0.670081,-0.016567,0.493573,-0.669520,-0.016567,0.593,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.032135,0
15,22.8128,14,0.493606,-0.670020,-0.016567,0.493418,-0.669443,-0.016567,0.608,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.032298,0
16,22.9127,15,0.493460,-0.669970,-0.016567,0.493264,-0.669365,-0.016567,0.636,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.032460,0
17,23.0128,16,0.493383,-0.669630,-0.016567,0.493109,-0.669288,-0.016567,0.438,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.032633,0
18,23.1128,17,0.493252,-0.669565,-0.016567,0.492955,-0.669211,-0.016567,0.462,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.032800,0
19,23.2128,18,0.492719,-0.669555,-0.016567,0.492801,-0.669134,-0.016567,0.429,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.032886,0
20,23.3131,19,0.492640,-0.669568,-0.016567,0.492648,-0.669057,-0.016567,0.511,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.033046,0
21,23.4132,20,0.492657,-0.669609,-0.016567,0.492494,-0.668981,-0.016567,0.650,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.033240,0
22,23.5132,21,0.492392,-0.669585,-0.016567,0.492340,-0.668904,-0.016567,0.683,-0.856333,-1.945821,-1.761759,-1.033208,1.562352,-2.056397,0.033385,0
