step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.7018,0,0.495687,-0.670624,-0.016567,0.495604,-0.670604,-0.016567,0.085,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.030110,0
2,21.8005,1,0.495671,-0.670590,-0.016567,0.495409,-0.670506,-0.016567,0.276,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.030423,0
3,21.9004,2,0.495531,-0.670585,-0.016567,0.495242,-0.670423,-0.016567,0.331,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.030759,0
4,22.0005,3,0.495601,-0.670611,-0.016567,0.495081,-0.670343,-0.016567,0.585,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.031118,0
5,22.1004,4,0.495081,-0.670335,-0.016567,0.494922,-0.670263,-0.016567,0.175,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.031374,0
6,22.2004,5,0.494566,-0.670302,-0.016567,0.494765,-0.670185,-0.016567,0.231,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.031430,0
7,22.3004,6,0.494605,-0.670263,-0.016567,0.494609,-0.670106,-0.016567,0.156,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.031590,0
8,22.4006,7,0.494534,-0.670272,-0.016567,0.494453,-0.670028,-0.016567,0.257,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.031803,0
9,22.5004,8,0.494127,-0.669954,-0.016567,0.494297,-0.669951,-0.016567,0.170,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.031861,0
10,22.6004,9,0.494243,-0.670150,-0.016567,0.494141,-0.669873,-0.016567,0.295,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.032086,0
11,22.7005,10,0.493989,-0.670032,-0.016567,0.493986,-0.669795,-0.016567,0.237,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.032252,0
12,22.8004,11,0.494021,-0.670035,-0.016567,0.493831,-0.669717,-0.016567,0.370,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.032531,0
13,22.9005,12,0.493560,-0.669544,-0.016567,0.493676,-0.669640,-0.016567,0.150,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.032620,0
14,23.0007,13,0.493429,-0.669276,-0.016567,0.493521,-0.669563,-0.016567,0.301,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.032719,0
15,23.1005,14,0.493440,-0.669212,-0.016567,0.493366,-0.669485,-0.016567,0.283,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.032917,0
16,23.2006,15,0.493441,-0.669155,-0.016567,0.493212,-0.669408,-0.016567,0.341,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.033209,0
17,23.3006,16,0.493010,-0.669293,-0.016567,0.493058,-0.669331,-0.016567,0.061,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.033339,0
18,23.4005,17,0.492686,-0.669138,-0.016567,0.492903,-0.669254,-0.016567,0.247,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.033366,0
19,23.5009,18,0.492852,-0.669241,-0.016567,0.492750,-0.669177,-0.016567,0.121,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.033588,0
20,23.6007,19,0.492598,-0.668832,-0.016567,0.492596,-0.669100,-0.016567,0.268,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.033744,0
21,23.7005,20,0.492483,-0.668851,-0.016567,0.492442,-0.669023,-0.016567,0.176,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.033924,0
22,23.8008,21,0.492298,-0.668798,-0.016567,0.492289,-0.668946,-0.016567,0.149,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.034087,0
23,23.9009,22,0.492122,-0.668775,-0.016567,0.492135,-0.668870,-0.016567,0.095,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.034237,0
24,24.0007,23,0.492084,-0.668803,-0.016567,0.491982,-0.668793,-0.016567,0.102,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.034457,0
25,24.1006,24,0.491948,-0.668746,-0.016567,0.491829,-0.668717,-0.016567,0.122,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.034688,0
26,24.2006,25,0.491789,-0.668675,-0.016567,0.491676,-0.668640,-0.016567,0.118,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.034915,0
27,24.3006,26,0.491609,-0.668442,-0.016567,0.491524,-0.668564,-0.016567,0.149,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035124,0
28,24.4004,27,0.491258,-0.668215,-0.016567,0.491371,-0.668488,-0.016567,0.295,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035210,0
29,24.5004,28,0.491209,-0.668136,-0.016567,0.491219,-0.668411,-0.016567,0.275,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035359,0
30,24.6005,29,0.491058,-0.668058,-0.016567,0.491066,-0.668335,-0.016567,0.278,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035508,0
31,24.7004,30,0.490538,-0.667920,-0.016567,0.490914,-0.668259,-0.016567,0.507,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035467,0
32,24.8004,31,0.490877,-0.667800,-0.016567,0.490762,-0.668183,-0.016567,0.400,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035627,0
33,24.9005,32,0.490647,-0.667801,-0.016567,0.490610,-0.668107,-0.016567,0.308,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.035803,0
34,25.0005,33,0.490606,-0.667773,-0.016567,0.490458,-0.668031,-0.016567,0.297,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.036046,0
35,25.1004,34,0.490603,-0.667868,-0.016567,0.490307,-0.667955,-0.016567,0.309,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.036381,0
36,25.2004,35,0.490065,-0.667957,-0.016567,0.490155,-0.667880,-0.016567,0.118,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.036515,0
37,25.3004,36,0.490020,-0.668032,-0.016567,0.490004,-0.667804,-0.016567,0.229,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.036689,0
38,25.4004,37,0.489890,-0.667857,-0.016567,0.489852,-0.667728,-0.016567,0.134,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.036873,0
39,25.5005,38,0.489824,-0.667295,-0.016567,0.489701,-0.667653,-0.016567,0.379,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.037100,0
40,25.6004,39,0.489733,-0.667498,-0.016567,0.489550,-0.667577,-0.016567,0.199,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.037367,0
41,25.7004,40,0.489694,-0.667002,-0.016567,0.489399,-0.667502,-0.016567,0.581,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.037693,0
42,25.8003,41,0.489239,-0.667007,-0.016567,0.489248,-0.667426,-0.016567,0.419,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.037839,0
43,25.9004,42,0.489095,-0.667081,-0.016567,0.489098,-0.667351,-0.016567,0.270,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.037992,0
44,26.0004,43,0.488829,-0.666893,-0.016567,0.488947,-0.667276,-0.016567,0.401,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.038074,0
45,26.1004,44,0.488730,-0.666584,-0.016567,0.488797,-0.667200,-0.016567,0.620,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.038182,0
46,26.2004,45,0.488731,-0.666568,-0.016567,0.488646,-0.667125,-0.016567,0.564,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.038382,0
47,26.3004,46,0.488617,-0.666527,-0.016567,0.488493,-0.667061,-0.016567,0.548,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.038605,0
48,26.4004,47,0.488404,-0.666544,-0.016567,0.488339,-0.667006,-0.016567,0.466,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.038795,0
49,26.5006,48,0.488421,-0.666992,-0.016567,0.488187,-0.666951,-0.016567,0.237,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039095,0
50,26.6004,49,0.488078,-0.666552,-0.016567,0.488021,-0.666961,-0.016567,0.413,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039281,0
51,26.7005,50,0.487995,-0.666573,-0.016567,0.487860,-0.667022,-0.016567,0.469,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039514,0
52,26.8004,51,0.487800,-0.666144,-0.016567,0.487737,-0.667271,-0.016567,1.129,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039665,0
53,26.9004,52,0.487453,-0.665859,-0.016567,0.487702,-0.667568,-0.016567,1.727,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039516,0
54,27.0004,53,0.487440,-0.665899,-0.016567,0.487693,-0.667866,-0.016567,1.983,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039320,0
55,27.1004,54,0.487644,-0.666108,-0.016567,0.487693,-0.668165,-0.016567,2.058,-0.856352,-1.945803,-1.761763,-1.033200,1.562355,-2.056424,0.039225,0
