step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.6918,0,0.495081,-0.671417,-0.016567,0.495017,-0.671370,-0.016567,0.079,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030039,0
2,21.7904,1,0.495022,-0.671404,-0.016567,0.494822,-0.671272,-0.016567,0.240,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030161,0
3,21.8903,2,0.495136,-0.671379,-0.016567,0.494655,-0.671189,-0.016567,0.518,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030361,0
4,21.9903,3,0.494717,-0.670631,-0.016567,0.494494,-0.671108,-0.016567,0.527,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030486,0
5,22.0903,4,0.494752,-0.670317,-0.016567,0.494335,-0.671029,-0.016567,0.824,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030686,0
6,22.1903,5,0.494554,-0.670269,-0.016567,0.494179,-0.670950,-0.016567,0.778,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030886,0
7,22.2903,6,0.494162,-0.670290,-0.016567,0.494022,-0.670872,-0.016567,0.599,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.030958,0
8,22.3903,7,0.494175,-0.670602,-0.016567,0.493866,-0.670794,-0.016567,0.364,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.031139,0
9,22.4903,8,0.494050,-0.670592,-0.016567,0.493710,-0.670716,-0.016567,0.362,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.031339,0
10,22.5904,9,0.493527,-0.670797,-0.016567,0.493555,-0.670639,-0.016567,0.161,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.031339,0
11,22.6903,10,0.493641,-0.670606,-0.016567,0.493399,-0.670561,-0.016567,0.246,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.031485,0
12,22.7903,11,0.493611,-0.670645,-0.016567,0.493244,-0.670483,-0.016567,0.401,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.031685,0
13,22.8903,12,0.493506,-0.670469,-0.016567,0.493089,-0.670406,-0.016567,0.421,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.031885,0
14,22.9903,13,0.493177,-0.670389,-0.016567,0.492934,-0.670328,-0.016567,0.250,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.032031,0
15,23.0903,14,0.493012,-0.670313,-0.016567,0.492780,-0.670251,-0.016567,0.241,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.032171,0
16,23.1903,15,0.492756,-0.670273,-0.016567,0.492625,-0.670174,-0.016567,0.164,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.032251,0
17,23.2903,16,0.492802,-0.670280,-0.016567,0.492471,-0.670097,-0.016567,0.379,-0.856348,-1.945825,-1.761751,-1.033180,1.562327,-2.056409,0.032451,0
