step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.3958,0,0.494983,-0.671314,-0.016567,0.494898,-0.671250,-0.016567,0.106,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.030112,0
2,20.4944,1,0.495001,-0.671369,-0.016567,0.494703,-0.671152,-0.016567,0.368,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.030448,0
3,20.5943,2,0.494777,-0.670635,-0.016567,0.494536,-0.671069,-0.016567,0.497,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.030744,0
4,20.6944,3,0.494558,-0.670077,-0.016567,0.494375,-0.670988,-0.016567,0.929,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.030996,0
5,20.7945,4,0.494229,-0.670088,-0.016567,0.494217,-0.670909,-0.016567,0.821,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.031148,0
6,20.8944,5,0.494224,-0.670037,-0.016567,0.494060,-0.670831,-0.016567,0.810,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.031391,0
7,20.9943,6,0.493998,-0.669963,-0.016567,0.493903,-0.670752,-0.016567,0.795,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.031592,0
8,21.0944,7,0.493805,-0.670117,-0.016567,0.493747,-0.670674,-0.016567,0.561,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.031776,0
9,21.1944,8,0.493605,-0.670038,-0.016567,0.493591,-0.670596,-0.016567,0.558,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.031933,0
10,21.2943,9,0.493482,-0.670072,-0.016567,0.493436,-0.670519,-0.016567,0.449,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.032112,0
11,21.3944,10,0.493393,-0.670026,-0.016567,0.493280,-0.670441,-0.016567,0.430,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.032331,0
12,21.4943,11,0.493074,-0.669534,-0.016567,0.493125,-0.670363,-0.016567,0.831,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.032444,0
13,21.5944,12,0.492973,-0.669593,-0.016567,0.492970,-0.670286,-0.016567,0.693,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.032592,0
14,21.6944,13,0.492681,-0.669534,-0.016567,0.492815,-0.670208,-0.016567,0.687,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.032659,0
15,21.7945,14,0.492718,-0.669508,-0.016567,0.492661,-0.670131,-0.016567,0.626,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.032841,0
16,21.8946,15,0.492716,-0.669204,-0.016567,0.492506,-0.670054,-0.016567,0.875,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.033110,0
17,21.9944,16,0.492174,-0.669255,-0.016567,0.492352,-0.669977,-0.016567,0.743,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.033180,0
18,22.0944,17,0.492209,-0.669158,-0.016567,0.492198,-0.669900,-0.016567,0.742,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.033332,0
19,22.1943,18,0.492140,-0.669250,-0.016567,0.492044,-0.669823,-0.016567,0.581,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.033538,0
20,22.2943,19,0.492130,-0.669234,-0.016567,0.491890,-0.669746,-0.016567,0.566,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.033831,0
21,22.3943,20,0.491904,-0.668787,-0.016567,0.491737,-0.669669,-0.016567,0.898,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.034075,0
22,22.4944,21,0.491692,-0.668824,-0.016567,0.491583,-0.669592,-0.016567,0.776,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.034285,0
23,22.5944,22,0.491329,-0.668777,-0.016567,0.491430,-0.669516,-0.016567,0.745,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.034370,0
24,22.6944,23,0.491365,-0.668802,-0.016567,0.491277,-0.669439,-0.016567,0.644,-0.856345,-1.945821,-1.761770,-1.033203,1.562336,-2.056412,0.034571,0
