step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.9855,0,0.495096,-0.670783,-0.016567,0.495024,-0.670756,-0.016567,0.077,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.030118,0
2,23.0327,1,0.495117,-0.670784,-0.016567,0.494829,-0.670659,-0.016567,0.314,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.030398,0
3,23.1331,2,0.494991,-0.670606,-0.016567,0.494662,-0.670575,-0.016567,0.331,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.030603,0
4,23.2328,3,0.494628,-0.670302,-0.016567,0.494501,-0.670495,-0.016567,0.231,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.030731,0
5,23.3327,4,0.494512,-0.670303,-0.016567,0.494343,-0.670416,-0.016567,0.204,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.030893,0
6,23.4338,5,0.494119,-0.669975,-0.016567,0.494186,-0.670337,-0.016567,0.368,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031007,0
7,23.5333,6,0.494072,-0.669920,-0.016567,0.494029,-0.670259,-0.016567,0.341,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031177,0
8,23.6343,7,0.493942,-0.669779,-0.016567,0.493873,-0.670181,-0.016567,0.408,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031343,0
9,23.7350,8,0.493612,-0.669538,-0.016567,0.493717,-0.670103,-0.016567,0.575,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031468,0
10,23.8331,9,0.493426,-0.669534,-0.016567,0.493562,-0.670025,-0.016567,0.509,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031615,0
11,23.9330,10,0.493432,-0.669177,-0.016567,0.493406,-0.669948,-0.016567,0.771,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031802,0
12,24.0330,11,0.493155,-0.669256,-0.016567,0.493251,-0.669870,-0.016567,0.621,-0.856367,-1.945821,-1.761754,-1.033215,1.562343,-2.056412,0.031944,0
