step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.495843,-0.670003,-0.016567,0.495754,-0.669959,-0.016567,0.099,-0.855908,-1.945586,-1.762126,-1.033582,1.562719,-2.056322,0.030060,0
1,0.1002,2,0.495843,-0.670003,-0.016567,0.495559,-0.669861,-0.016567,0.318,-0.854956,-1.945039,-1.762906,-1.034416,1.563538,-2.056134,0.030214,0
2,0.2003,3,0.495851,-0.669990,-0.016567,0.495392,-0.669778,-0.016567,0.506,-0.854153,-1.944588,-1.763541,-1.035098,1.564225,-2.055977,0.030374,0
3,0.3002,4,0.495339,-0.670033,-0.016567,0.495231,-0.669697,-0.016567,0.353,-0.853390,-1.944172,-1.764129,-1.035729,1.564875,-2.055829,0.030533,0
4,0.4001,5,0.495110,-0.669959,-0.016567,0.495073,-0.669618,-0.016567,0.343,-0.852644,-1.943779,-1.764685,-1.036326,1.565502,-2.055686,0.030693,0
5,0.5001,6,0.495033,-0.669173,-0.016567,0.494916,-0.669539,-0.016567,0.385,-0.851922,-1.943402,-1.765219,-1.036899,1.566107,-2.055547,0.030852,0
6,0.6002,7,0.494782,-0.669156,-0.016567,0.494759,-0.669461,-0.016567,0.307,-0.851263,-1.943015,-1.765769,-1.037486,1.566678,-2.055414,0.031012,0
7,0.7001,8,0.494579,-0.668999,-0.016567,0.494603,-0.669383,-0.016567,0.385,-0.850747,-1.942579,-1.766394,-1.038155,1.567179,-2.055293,0.031171,0
8,0.8002,9,0.494305,-0.668927,-0.016567,0.494447,-0.669305,-0.016567,0.404,-0.850296,-1.942127,-1.767042,-1.038849,1.567647,-2.055178,0.031331,0
9,0.9001,10,0.493931,-0.668966,-0.016567,0.494292,-0.669227,-0.016567,0.445,-0.849829,-1.941696,-1.767658,-1.039510,1.568116,-2.055064,0.031490,0
