step,t_s,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,converged
1,13.6771,0.490856,-0.669594,-0.016567,0.490879,-0.675578,-0.016567,5.983,-0.856308,-1.945821,-1.761818,-1.033131,1.562360,-2.056445,0.034000,0
2,13.7771,0.490824,-0.669591,-0.016567,0.490879,-0.675578,-0.016567,5.987,-0.856276,-1.945829,-1.761818,-1.033112,1.562360,-2.056421,0.034000,0
3,13.8771,0.490824,-0.669591,-0.016567,0.490879,-0.675578,-0.016567,5.987,-0.856312,-1.945809,-1.761818,-1.033084,1.562379,-2.056448,0.034000,0
4,13.9770,0.490925,-0.669536,-0.016567,0.490879,-0.675578,-0.016567,6.042,-0.856323,-1.945806,-1.761764,-1.033097,1.562360,-2.056424,0.034000,0
5,14.0772,0.490923,-0.669546,-0.016567,0.490879,-0.675578,-0.016567,6.032,-0.856261,-1.945825,-1.761783,-1.033112,1.562364,-2.056452,0.034000,0
6,14.1771,0.490939,-0.669614,-0.016567,0.490879,-0.675578,-0.016567,5.965,-0.856250,-1.945825,-1.761818,-1.033128,1.562391,-2.056455,0.034000,0
7,14.2770,0.490876,-0.669602,-0.016567,0.490879,-0.675578,-0.016567,5.976,-0.856261,-1.945825,-1.761814,-1.033124,1.562360,-2.056452,0.034000,0
8,14.3771,0.490824,-0.669591,-0.016567,0.490879,-0.675578,-0.016567,5.987,-0.856297,-1.945813,-1.761799,-1.033128,1.562364,-2.056421,0.034000,0
9,14.4771,0.490825,-0.669566,-0.016567,0.490879,-0.675578,-0.016567,6.013,-0.856308,-1.945825,-1.761799,-1.033128,1.562376,-2.056433,0.034000,0
10,14.5771,0.490888,-0.669507,-0.016567,0.490879,-0.675578,-0.016567,6.071,-0.856283,-1.945806,-1.761806,-1.033104,1.562376,-2.056433,0.034000,0
11,14.6770,0.490861,-0.669620,-0.016567,0.490879,-0.675578,-0.016567,5.958,-0.856326,-1.945829,-1.761818,-1.033112,1.562376,-2.056439,0.034000,0
12,14.7771,0.490956,-0.669562,-0.016567,0.490879,-0.675578,-0.016567,6.016,-0.856308,-1.945809,-1.761821,-1.033094,1.562372,-2.056452,0.034000,0
