step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.6418,0,0.495632,-0.670243,-0.016567,0.495467,-0.670189,-0.016567,0.174,-0.856333,-1.945849,-1.761758,-1.033219,1.562352,-2.056415,0.030100,0
2,16.7411,1,0.495496,-0.670226,-0.016567,0.495288,-0.670100,-0.016567,0.243,-0.856345,-1.945840,-1.761770,-1.033177,1.562352,-2.056427,0.030228,0
3,16.8411,2,0.495503,-0.670109,-0.016567,0.495152,-0.670032,-0.016567,0.359,-0.856324,-1.945852,-1.761754,-1.033189,1.562348,-2.056412,0.030428,0
4,16.9410,3,0.495188,-0.669988,-0.016567,0.495017,-0.669964,-0.016567,0.173,-0.856237,-1.945849,-1.761735,-1.033196,1.562352,-2.056424,0.030532,0
5,17.0410,4,0.495202,-0.669881,-0.016567,0.494875,-0.669893,-0.016567,0.328,-0.856177,-1.945837,-1.761758,-1.033215,1.562364,-2.056460,0.030727,0
6,17.1410,5,0.495028,-0.670033,-0.016567,0.494735,-0.669823,-0.016567,0.360,-0.856153,-1.945809,-1.761770,-1.033200,1.562410,-2.056475,0.030909,0
7,17.2411,6,0.494938,-0.669993,-0.016567,0.494588,-0.669749,-0.016567,0.426,-0.856164,-1.945840,-1.761747,-1.033193,1.562376,-2.056469,0.031109,0
8,17.3411,7,0.494677,-0.669866,-0.016567,0.494434,-0.669673,-0.016567,0.311,-0.856165,-1.945825,-1.761747,-1.033180,1.562391,-2.056469,0.031260,0
9,17.4411,8,0.494244,-0.670253,-0.016567,0.494288,-0.669600,-0.016567,0.654,-0.856028,-1.945717,-1.761989,-1.033187,1.562396,-2.056481,0.031255,0
10,17.5411,9,0.494162,-0.670054,-0.016567,0.494153,-0.669532,-0.016567,0.522,-0.855605,-1.945618,-1.762161,-1.033229,1.562543,-2.056651,0.031277,0
11,17.6410,10,0.494348,-0.670007,-0.016567,0.494029,-0.669470,-0.016567,0.625,-0.854938,-1.945418,-1.762260,-1.033340,1.562667,-2.056867,0.031477,0
12,17.7410,11,0.494226,-0.670022,-0.016567,0.493916,-0.669414,-0.016567,0.683,-0.854119,-1.945174,-1.762628,-1.033551,1.562864,-2.057150,0.031677,0
13,17.8410,12,0.494081,-0.669998,-0.016567,0.493808,-0.669359,-0.016567,0.695,-0.853696,-1.945058,-1.762768,-1.033584,1.563012,-2.057263,0.031861,0
14,17.9410,13,0.493737,-0.669986,-0.016567,0.493694,-0.669303,-0.016567,0.685,-0.853240,-1.944902,-1.762879,-1.033643,1.563107,-2.057411,0.031909,0
