step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.2914,0,0.500443,-0.670459,-0.016567,0.500405,-0.670403,-0.016567,0.068,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.024993,0
2,21.3700,0,0.500443,-0.670459,-0.016567,0.500405,-0.670403,-0.016567,0.068,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.024961,0
3,21.4813,3,0.500440,-0.670352,-0.016567,0.499940,-0.670403,-0.016567,0.502,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.025395,0
4,21.5848,4,0.500733,-0.670367,-0.016567,0.499789,-0.670403,-0.016567,0.945,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.025594,0
5,21.6996,5,0.500149,-0.670462,-0.016567,0.499635,-0.670403,-0.016567,0.517,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.025794,0
6,21.8112,6,0.499965,-0.670479,-0.016567,0.499484,-0.670403,-0.016567,0.487,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.025952,0
7,21.9206,6,0.500062,-0.670641,-0.016567,0.499484,-0.670403,-0.016567,0.625,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.025977,0
8,21.9945,7,0.499482,-0.670851,-0.016567,0.499333,-0.670403,-0.016567,0.472,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.026067,0
9,22.0922,9,0.499474,-0.670637,-0.016567,0.499030,-0.670403,-0.016567,0.501,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.026420,0
10,22.1719,10,0.499113,-0.670370,-0.016567,0.498879,-0.670403,-0.016567,0.237,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.026517,0
11,22.2676,11,0.499155,-0.670699,-0.016567,0.498728,-0.670403,-0.016567,0.520,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.026699,0
12,22.3664,12,0.498933,-0.670490,-0.016567,0.498577,-0.670403,-0.016567,0.366,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.026842,0
13,22.4677,13,0.498953,-0.670696,-0.016567,0.498427,-0.670403,-0.016567,0.602,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027028,0
14,22.5759,13,0.498643,-0.670493,-0.016567,0.498427,-0.670403,-0.016567,0.234,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.026862,0
15,22.6777,14,0.498589,-0.670615,-0.016567,0.498276,-0.670403,-0.016567,0.378,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027048,0
16,22.7823,15,0.498769,-0.670609,-0.016567,0.498126,-0.670403,-0.016567,0.675,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027248,0
17,22.8817,17,0.498263,-0.670893,-0.016567,0.497826,-0.670403,-0.016567,0.656,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027601,0
18,22.9738,18,0.497922,-0.671056,-0.016567,0.497677,-0.670403,-0.016567,0.697,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027739,0
19,23.0859,19,0.497716,-0.671090,-0.016567,0.497528,-0.670403,-0.016567,0.712,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027877,0
20,23.1705,20,0.497696,-0.670790,-0.016567,0.497379,-0.670403,-0.016567,0.500,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028051,0
21,23.2676,20,0.497686,-0.670753,-0.016567,0.497379,-0.670403,-0.016567,0.465,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.027931,0
22,23.3803,21,0.497459,-0.671109,-0.016567,0.497230,-0.670403,-0.016567,0.741,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028131,0
23,23.4946,22,0.497476,-0.671201,-0.016567,0.497081,-0.670403,-0.016567,0.890,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028331,0
24,23.5866,24,0.497120,-0.671064,-0.016567,0.496785,-0.670403,-0.016567,0.740,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028684,0
25,23.6703,25,0.497000,-0.670461,-0.016567,0.496637,-0.670403,-0.016567,0.368,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028831,0
26,23.7909,26,0.496663,-0.670857,-0.016567,0.496489,-0.670403,-0.016567,0.485,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028948,0
27,23.8815,27,0.496494,-0.670871,-0.016567,0.496342,-0.670403,-0.016567,0.492,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.029090,0
28,23.9824,27,0.496643,-0.670967,-0.016567,0.496342,-0.670403,-0.016567,0.639,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.028996,0
29,24.0931,28,0.496549,-0.671201,-0.016567,0.496194,-0.670403,-0.016567,0.873,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.029196,0
30,24.1849,29,0.496507,-0.671064,-0.016567,0.496047,-0.670403,-0.016567,0.805,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.029396,0
31,24.2887,31,0.496206,-0.671255,-0.016567,0.495753,-0.670403,-0.016567,0.965,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.029749,0
32,24.3782,32,0.495795,-0.671092,-0.016567,0.495606,-0.670403,-0.016567,0.714,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.029871,0
33,24.4789,32,0.495497,-0.671342,-0.016567,0.495606,-0.670403,-0.016567,0.945,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.029685,0
34,24.6019,34,0.495516,-0.671203,-0.016567,0.495311,-0.670403,-0.016567,0.825,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.030005,0
35,24.7285,35,0.495526,-0.671348,-0.016567,0.495165,-0.670403,-0.016567,1.012,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.030205,0
36,24.8111,36,0.495526,-0.671192,-0.016567,0.495018,-0.670403,-0.016567,0.939,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.030405,0
37,24.8966,37,0.495141,-0.671278,-0.016567,0.494871,-0.670403,-0.016567,0.916,-0.856356,-1.945849,-1.761778,-1.033215,1.562305,-2.056400,0.030605,0
