step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.5018,0,0.501028,-0.670404,-0.016567,0.501029,-0.670709,-0.016567,0.305,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.025018,0
2,23.6006,1,0.501008,-0.670435,-0.016567,0.500863,-0.670709,-0.016567,0.310,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.025188,0
3,23.7005,2,0.500798,-0.670425,-0.016567,0.500707,-0.670709,-0.016567,0.299,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.025381,0
4,23.8005,3,0.500750,-0.670469,-0.016567,0.500565,-0.670709,-0.016567,0.303,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.025640,0
5,23.9005,4,0.500497,-0.670482,-0.016567,0.500413,-0.670709,-0.016567,0.243,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.025839,0
6,24.0006,5,0.500522,-0.670285,-0.016567,0.500259,-0.670709,-0.016567,0.499,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026140,0
7,24.1005,6,0.500039,-0.670393,-0.016567,0.500108,-0.670709,-0.016567,0.324,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026245,0
8,24.2005,7,0.500028,-0.670404,-0.016567,0.499957,-0.670709,-0.016567,0.314,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026434,0
9,24.3005,8,0.499667,-0.670530,-0.016567,0.499806,-0.670709,-0.016567,0.226,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026501,0
10,24.4005,9,0.499696,-0.671251,-0.016567,0.499654,-0.670709,-0.016567,0.544,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026689,0
11,24.5006,10,0.499213,-0.671017,-0.016567,0.499503,-0.670709,-0.016567,0.423,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026678,0
12,24.6006,11,0.499266,-0.671039,-0.016567,0.499352,-0.670709,-0.016567,0.341,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026786,0
13,24.7005,12,0.499266,-0.670971,-0.016567,0.499202,-0.670709,-0.016567,0.269,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.026983,0
14,24.8005,13,0.499294,-0.671022,-0.016567,0.499051,-0.670709,-0.016567,0.396,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.027287,0
15,24.9005,14,0.499143,-0.671014,-0.016567,0.498901,-0.670709,-0.016567,0.389,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.027591,0
16,25.0006,15,0.498851,-0.671135,-0.016567,0.498750,-0.670709,-0.016567,0.437,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.027813,0
17,25.1005,16,0.498480,-0.670971,-0.016567,0.498600,-0.670709,-0.016567,0.288,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.027899,0
18,25.2005,17,0.498241,-0.671112,-0.016567,0.498451,-0.670709,-0.016567,0.454,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.027935,0
19,25.3005,18,0.498121,-0.670911,-0.016567,0.498301,-0.670709,-0.016567,0.270,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.027984,0
20,25.4005,19,0.498240,-0.670575,-0.016567,0.498152,-0.670709,-0.016567,0.160,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.028187,0
21,25.5006,20,0.498137,-0.670903,-0.016567,0.498003,-0.670709,-0.016567,0.236,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.028424,0
22,25.6005,21,0.498069,-0.670524,-0.016567,0.497854,-0.670709,-0.016567,0.283,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.028701,0
23,25.7007,22,0.497730,-0.671017,-0.016567,0.497706,-0.670709,-0.016567,0.308,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.028875,0
24,25.8007,23,0.497657,-0.671198,-0.016567,0.497557,-0.670709,-0.016567,0.499,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029097,0
25,25.9007,24,0.497407,-0.671106,-0.016567,0.497409,-0.670709,-0.016567,0.397,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029257,0
26,26.0006,25,0.497419,-0.670982,-0.016567,0.497261,-0.670709,-0.016567,0.315,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029510,0
27,26.1005,26,0.497072,-0.671135,-0.016567,0.497114,-0.670709,-0.016567,0.428,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029646,0
28,26.2005,27,0.496681,-0.671166,-0.016567,0.496966,-0.670709,-0.016567,0.538,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029638,0
29,26.3005,28,0.496807,-0.671135,-0.016567,0.496819,-0.670709,-0.016567,0.426,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029792,0
30,26.4006,29,0.496691,-0.671122,-0.016567,0.496671,-0.670709,-0.016567,0.413,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.029965,0
31,26.5006,30,0.496567,-0.671202,-0.016567,0.496524,-0.670709,-0.016567,0.495,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.030153,0
32,26.6005,31,0.496515,-0.671135,-0.016567,0.496377,-0.670709,-0.016567,0.448,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.030398,0
33,26.7006,32,0.496307,-0.671179,-0.016567,0.496230,-0.670709,-0.016567,0.476,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.030606,0
34,26.8006,33,0.495881,-0.670998,-0.016567,0.496083,-0.670709,-0.016567,0.352,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.030644,0
35,26.9006,34,0.495706,-0.670905,-0.016567,0.495936,-0.670709,-0.016567,0.301,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.030664,0
36,27.0005,35,0.495921,-0.671109,-0.016567,0.495789,-0.670709,-0.016567,0.421,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.030883,0
37,27.1005,36,0.495607,-0.671192,-0.016567,0.495642,-0.670709,-0.016567,0.484,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.031025,0
38,27.2005,37,0.495495,-0.671143,-0.016567,0.495495,-0.670709,-0.016567,0.433,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.031186,0
39,27.3006,38,0.495513,-0.671135,-0.016567,0.495348,-0.670709,-0.016567,0.456,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.031447,0
40,27.4006,39,0.495257,-0.671029,-0.016567,0.495201,-0.670709,-0.016567,0.325,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.031639,0
41,27.5005,40,0.495207,-0.671122,-0.016567,0.495055,-0.670709,-0.016567,0.440,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.031891,0
42,27.6005,41,0.494958,-0.671272,-0.016567,0.494908,-0.670709,-0.016567,0.565,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032086,0
43,27.7005,42,0.494538,-0.671285,-0.016567,0.494761,-0.670709,-0.016567,0.617,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032117,0
44,27.8005,43,0.494496,-0.671919,-0.016567,0.494614,-0.670709,-0.016567,1.216,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032223,0
45,27.9005,44,0.494482,-0.671305,-0.016567,0.494468,-0.670709,-0.016567,0.596,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032397,0
46,28.0005,45,0.494239,-0.671858,-0.016567,0.494321,-0.670709,-0.016567,1.152,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032524,0
47,28.1005,46,0.494148,-0.671315,-0.016567,0.494174,-0.670709,-0.016567,0.607,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032673,0
48,28.2005,47,0.493989,-0.671185,-0.016567,0.494028,-0.670709,-0.016567,0.477,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032812,0
49,28.3005,48,0.493685,-0.671142,-0.016567,0.493881,-0.670709,-0.016567,0.475,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.032855,0
50,28.4005,49,0.493753,-0.671352,-0.016567,0.493735,-0.670709,-0.016567,0.643,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.033032,0
51,28.5005,50,0.493567,-0.671215,-0.016567,0.493588,-0.670709,-0.016567,0.506,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.033183,0
52,28.6005,51,0.493340,-0.671848,-0.016567,0.493441,-0.670709,-0.016567,1.143,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.033298,0
53,28.7005,52,0.493233,-0.671196,-0.016567,0.493295,-0.670709,-0.016567,0.490,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.033424,0
54,28.8006,53,0.493263,-0.671282,-0.016567,0.493148,-0.670709,-0.016567,0.584,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.033657,0
55,28.9006,54,0.493077,-0.671607,-0.016567,0.493001,-0.670709,-0.016567,0.901,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.033874,0
56,29.0005,55,0.492844,-0.671776,-0.016567,0.492854,-0.670709,-0.016567,1.067,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034042,0
57,29.1006,56,0.492601,-0.671746,-0.016567,0.492707,-0.670709,-0.016567,1.042,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034153,0
58,29.2005,57,0.492480,-0.671785,-0.016567,0.492559,-0.670709,-0.016567,1.079,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034280,0
59,29.3005,58,0.492491,-0.671778,-0.016567,0.492412,-0.670709,-0.016567,1.071,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034501,0
60,29.4005,59,0.491984,-0.671719,-0.016567,0.492264,-0.670709,-0.016567,1.048,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034523,0
61,29.5005,60,0.492181,-0.671319,-0.016567,0.492116,-0.670709,-0.016567,0.613,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034726,0
62,29.6005,61,0.492098,-0.671722,-0.016567,0.491968,-0.670709,-0.016567,1.021,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.034977,0
63,29.7005,62,0.491767,-0.671314,-0.016567,0.491820,-0.670709,-0.016567,0.607,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.035110,0
64,29.8005,63,0.491885,-0.671478,-0.016567,0.491671,-0.670709,-0.016567,0.797,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.035406,0
65,29.9005,64,0.491521,-0.671193,-0.016567,0.491522,-0.670709,-0.016567,0.484,-0.856345,-1.945837,-1.761763,-1.033201,1.562327,-2.056415,0.035568,0
