step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.8619,0,0.500533,-0.670441,-0.016567,0.500512,-0.670460,-0.016567,0.029,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.024957,0
2,19.9453,2,0.500612,-0.670338,-0.016567,0.500189,-0.670460,-0.016567,0.440,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.025220,0
3,20.0450,3,0.500418,-0.670413,-0.016567,0.500047,-0.670460,-0.016567,0.374,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.025421,0
4,20.1454,4,0.500440,-0.670522,-0.016567,0.499895,-0.670460,-0.016567,0.548,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.025620,0
5,20.2443,5,0.500101,-0.670322,-0.016567,0.499742,-0.670460,-0.016567,0.384,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.025820,0
6,20.3448,6,0.499882,-0.670330,-0.016567,0.499591,-0.670460,-0.016567,0.319,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026020,0
7,20.4444,7,0.499697,-0.670341,-0.016567,0.499440,-0.670460,-0.016567,0.284,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026220,0
8,20.5426,8,0.499387,-0.670374,-0.016567,0.499288,-0.670460,-0.016567,0.132,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026320,0
9,20.6425,9,0.499249,-0.670544,-0.016567,0.499137,-0.670460,-0.016567,0.140,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026437,0
10,20.7425,9,0.499243,-0.670378,-0.016567,0.499137,-0.670460,-0.016567,0.134,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026389,0
11,20.8442,11,0.498935,-0.670513,-0.016567,0.498835,-0.670460,-0.016567,0.114,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026648,0
12,20.9435,12,0.498901,-0.670372,-0.016567,0.498684,-0.670460,-0.016567,0.235,-0.856330,-1.945825,-1.761766,-1.033200,1.562343,-2.056415,0.026848,0
