step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.5916,0,0.495607,-0.670329,-0.016567,0.495620,-0.670292,-0.016567,0.040,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.029977,0
2,18.6563,0,0.495607,-0.670329,-0.016567,0.495620,-0.670292,-0.016567,0.040,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.029893,0
3,18.7527,2,0.495708,-0.670296,-0.016567,0.495258,-0.670111,-0.016567,0.486,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.030247,0
4,18.8574,3,0.495647,-0.670409,-0.016567,0.495097,-0.670030,-0.016567,0.668,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.030447,0
5,18.9529,4,0.495708,-0.670296,-0.016567,0.494938,-0.669951,-0.016567,0.843,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.030647,0
6,19.0588,5,0.495344,-0.670112,-0.016567,0.494782,-0.669873,-0.016567,0.612,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.030847,0
7,19.1542,6,0.495099,-0.670006,-0.016567,0.494625,-0.669794,-0.016567,0.519,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.031047,0
8,19.2806,7,0.494858,-0.669996,-0.016567,0.494469,-0.669716,-0.016567,0.480,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.031226,0
9,19.3363,8,0.494584,-0.669501,-0.016567,0.494313,-0.669638,-0.016567,0.304,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.031362,0
10,19.4389,9,0.494330,-0.669616,-0.016567,0.494158,-0.669561,-0.016567,0.181,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.031499,0
11,19.5441,10,0.494057,-0.669296,-0.016567,0.494002,-0.669483,-0.016567,0.195,-0.856321,-1.945810,-1.761778,-1.033196,1.562364,-2.056415,0.031629,0
