step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,26.1741,0,0.500639,-0.670823,-0.016567,0.500584,-0.670930,-0.016567,0.120,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025002,0
2,26.1983,2,0.500651,-0.670892,-0.016567,0.500343,-0.670810,-0.016567,0.319,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025276,0
3,26.2899,2,0.500651,-0.670892,-0.016567,0.500343,-0.670810,-0.016567,0.319,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025319,0
4,26.3725,3,0.500527,-0.670473,-0.016567,0.500216,-0.670746,-0.016567,0.414,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025467,0
5,26.4640,4,0.500257,-0.670812,-0.016567,0.500090,-0.670683,-0.016567,0.211,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025598,0
6,26.5681,5,0.500209,-0.670601,-0.016567,0.499960,-0.670618,-0.016567,0.249,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025764,0
7,26.6576,6,0.500125,-0.670862,-0.016567,0.499831,-0.670554,-0.016567,0.426,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025935,0
8,26.7594,7,0.499686,-0.671003,-0.016567,0.499702,-0.670489,-0.016567,0.514,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026036,0
9,26.8607,8,0.499679,-0.671016,-0.016567,0.499573,-0.670425,-0.016567,0.601,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026207,0
10,26.9644,9,0.499131,-0.670345,-0.016567,0.499444,-0.670360,-0.016567,0.314,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026280,0
11,27.0670,10,0.499287,-0.670272,-0.016567,0.499315,-0.670295,-0.016567,0.036,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026477,0
12,27.1643,11,0.499029,-0.670435,-0.016567,0.499185,-0.670231,-0.016567,0.257,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026620,0
13,27.2639,12,0.498868,-0.670114,-0.016567,0.499055,-0.670166,-0.016567,0.194,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026766,0
14,27.3654,13,0.498797,-0.670107,-0.016567,0.498925,-0.670101,-0.016567,0.128,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026934,0
15,27.4676,14,0.498755,-0.670182,-0.016567,0.498794,-0.670035,-0.016567,0.152,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027113,0
16,27.5617,15,0.498588,-0.669710,-0.016567,0.498663,-0.669970,-0.016567,0.271,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027265,0
17,27.6677,16,0.498259,-0.669595,-0.016567,0.498531,-0.669904,-0.016567,0.412,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027382,0
18,27.7628,17,0.498067,-0.669542,-0.016567,0.498399,-0.669838,-0.016567,0.446,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027520,0
19,27.8781,18,0.497992,-0.669599,-0.016567,0.498267,-0.669772,-0.016567,0.324,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027686,0
20,27.9623,19,0.497815,-0.669543,-0.016567,0.498133,-0.669705,-0.016567,0.357,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027837,0
21,28.0624,20,0.497730,-0.669562,-0.016567,0.497999,-0.669638,-0.016567,0.280,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028004,0
22,28.1646,21,0.497575,-0.669742,-0.016567,0.497864,-0.669570,-0.016567,0.337,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028161,0
23,28.2700,22,0.497285,-0.668821,-0.016567,0.497728,-0.669502,-0.016567,0.813,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028282,0
24,28.3624,23,0.497109,-0.668827,-0.016567,0.497591,-0.669434,-0.016567,0.775,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028425,0
25,28.4696,24,0.497162,-0.668832,-0.016567,0.497453,-0.669365,-0.016567,0.607,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028618,0
26,28.5727,25,0.496797,-0.668318,-0.016567,0.497314,-0.669295,-0.016567,1.106,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028735,0
27,28.6688,26,0.496521,-0.668220,-0.016567,0.497174,-0.669225,-0.016567,1.199,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028857,0
28,28.7644,27,0.496519,-0.668329,-0.016567,0.497032,-0.669154,-0.016567,0.972,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029037,0
29,28.8667,28,0.496115,-0.668129,-0.016567,0.496889,-0.669083,-0.016567,1.228,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029146,0
30,28.9735,28,0.496115,-0.668129,-0.016567,0.496889,-0.669083,-0.016567,1.228,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029098,0
31,29.0664,30,0.496023,-0.668095,-0.016567,0.496597,-0.668937,-0.016567,1.019,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029456,0
32,29.1823,31,0.495976,-0.668089,-0.016567,0.496449,-0.668863,-0.016567,0.907,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029656,0
33,29.2758,32,0.495604,-0.668063,-0.016567,0.496298,-0.668787,-0.016567,1.003,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029792,0
34,29.3696,33,0.495619,-0.667789,-0.016567,0.496145,-0.668711,-0.016567,1.062,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029977,0
35,29.4777,34,0.495253,-0.667470,-0.016567,0.495990,-0.668633,-0.016567,1.377,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030096,0
36,29.5763,35,0.495222,-0.667481,-0.016567,0.495832,-0.668554,-0.016567,1.235,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030272,0
37,29.6677,36,0.495180,-0.667368,-0.016567,0.495671,-0.668474,-0.016567,1.210,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030456,0
38,29.7643,37,0.495009,-0.667291,-0.016567,0.495507,-0.668392,-0.016567,1.208,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030618,0
39,29.8642,38,0.495019,-0.667142,-0.016567,0.495340,-0.668308,-0.016567,1.210,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030811,0
40,29.9633,39,0.494598,-0.667307,-0.016567,0.495168,-0.668222,-0.016567,1.078,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030927,0
41,30.0610,40,0.494722,-0.666938,-0.016567,0.494992,-0.668134,-0.016567,1.226,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031127,0
42,30.1616,41,0.494499,-0.667095,-0.016567,0.494811,-0.668044,-0.016567,0.999,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031293,0
43,30.2572,42,0.493900,-0.666718,-0.016567,0.494625,-0.667951,-0.016567,1.430,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031367,0
44,30.3576,43,0.494016,-0.666738,-0.016567,0.494433,-0.667855,-0.016567,1.192,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031567,0
45,30.4561,44,0.493791,-0.666757,-0.016567,0.494230,-0.667761,-0.016567,1.096,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031730,0
46,30.5552,45,0.493625,-0.666711,-0.016567,0.494018,-0.667665,-0.016567,1.031,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031897,0
47,30.6535,46,0.493424,-0.666657,-0.016567,0.493789,-0.667581,-0.016567,0.994,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032059,0
48,30.7522,47,0.493485,-0.666731,-0.016567,0.493544,-0.667504,-0.016567,0.774,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032259,0
49,30.8509,48,0.493195,-0.667142,-0.016567,0.493272,-0.667464,-0.016567,0.331,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032439,0
50,30.9497,49,0.493273,-0.667161,-0.016567,0.492986,-0.667525,-0.016567,0.464,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032644,0
51,31.0497,50,0.492754,-0.666758,-0.016567,0.492796,-0.667749,-0.016567,0.992,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032781,0
52,31.1497,51,0.492574,-0.666721,-0.016567,0.492704,-0.668030,-0.016567,1.316,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032909,0
53,31.2496,52,0.492517,-0.666698,-0.016567,0.492660,-0.668323,-0.016567,1.631,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033030,0
54,31.3509,53,0.492459,-0.666972,-0.016567,0.492634,-0.668618,-0.016567,1.655,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033131,0
55,31.4757,54,0.492074,-0.667256,-0.016567,0.492623,-0.668914,-0.016567,1.747,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033148,0
56,31.5520,55,0.492102,-0.667419,-0.016567,0.492622,-0.669211,-0.016567,1.866,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033217,0
57,31.6524,56,0.491999,-0.667924,-0.016567,0.492622,-0.669507,-0.016567,1.701,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033261,0
58,31.7538,57,0.492044,-0.668105,-0.016567,0.492622,-0.669804,-0.016567,1.794,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033316,0
59,31.8547,58,0.491948,-0.668818,-0.016567,0.492622,-0.670100,-0.016567,1.448,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033340,0
60,31.9546,59,0.491800,-0.668793,-0.016567,0.492622,-0.670397,-0.016567,1.802,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033331,0
61,32.0573,60,0.491898,-0.669794,-0.016567,0.492622,-0.670693,-0.016567,1.155,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033363,0
62,32.1641,61,0.491892,-0.669851,-0.016567,0.492622,-0.670990,-0.016567,1.353,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033365,0
63,32.2585,62,0.491813,-0.670797,-0.016567,0.492622,-0.671286,-0.016567,0.945,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033344,0
64,32.3617,63,0.491926,-0.671137,-0.016567,0.492622,-0.671583,-0.016567,0.826,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033341,0
65,32.4624,64,0.492029,-0.671218,-0.016567,0.492622,-0.671879,-0.016567,0.887,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033329,0
66,32.5641,65,0.492081,-0.671769,-0.016567,0.492622,-0.672176,-0.016567,0.677,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033298,0
67,32.6836,66,0.492237,-0.672040,-0.016567,0.492622,-0.672472,-0.016567,0.579,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033272,0
68,32.7657,66,0.492237,-0.672040,-0.016567,0.492622,-0.672472,-0.016567,0.579,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033306,0
69,32.8634,68,0.492102,-0.672534,-0.016567,0.492626,-0.673065,-0.016567,0.746,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.033044,0
70,32.9629,69,0.492095,-0.673139,-0.016567,0.492637,-0.673361,-0.016567,0.586,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032983,0
71,33.0647,70,0.492268,-0.673321,-0.016567,0.492670,-0.673656,-0.016567,0.523,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032912,0
72,33.1824,71,0.492256,-0.674064,-0.016567,0.492729,-0.673945,-0.016567,0.488,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032792,0
73,33.2625,72,0.492883,-0.675084,-0.016567,0.492845,-0.674214,-0.016567,0.871,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032681,0
74,33.3763,73,0.492843,-0.675143,-0.016567,0.493065,-0.674393,-0.016567,0.782,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032601,0
75,33.4778,74,0.493143,-0.674750,-0.016567,0.493350,-0.674423,-0.016567,0.387,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032464,0
76,33.6262,75,0.493082,-0.675113,-0.016567,0.493619,-0.674376,-0.016567,0.912,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032264,0
77,33.6648,76,0.493325,-0.675525,-0.016567,0.493863,-0.674292,-0.016567,1.345,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.032064,0
78,33.7562,77,0.493584,-0.676063,-0.016567,0.494090,-0.674200,-0.016567,1.930,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031916,0
79,33.8560,78,0.494015,-0.676116,-0.016567,0.494304,-0.674104,-0.016567,2.034,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031801,0
80,33.9578,79,0.494046,-0.676183,-0.016567,0.494508,-0.674006,-0.016567,2.225,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031617,0
81,34.0579,80,0.494131,-0.676338,-0.016567,0.494703,-0.673909,-0.016567,2.496,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031432,0
82,34.1587,81,0.494396,-0.676164,-0.016567,0.494892,-0.673814,-0.016567,2.402,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031281,0
83,34.2966,82,0.494809,-0.676251,-0.016567,0.495076,-0.673722,-0.016567,2.543,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.031170,0
84,34.4087,83,0.494795,-0.676192,-0.016567,0.495255,-0.673633,-0.016567,2.600,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030983,0
85,34.5021,84,0.495050,-0.676360,-0.016567,0.495429,-0.673545,-0.016567,2.840,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030836,0
86,34.6093,85,0.494903,-0.675567,-0.016567,0.495600,-0.673460,-0.016567,2.219,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030636,0
87,34.7394,86,0.495105,-0.675941,-0.016567,0.495767,-0.673376,-0.016567,2.649,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030453,0
88,34.8130,87,0.495131,-0.675351,-0.016567,0.495931,-0.673294,-0.016567,2.207,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030253,0
89,34.8925,88,0.495270,-0.675369,-0.016567,0.496093,-0.673214,-0.016567,2.307,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030088,0
90,34.9712,89,0.495839,-0.675157,-0.016567,0.496251,-0.673134,-0.016567,2.064,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.030008,0
91,35.0737,90,0.495788,-0.675248,-0.016567,0.496407,-0.673056,-0.016567,2.278,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029825,0
92,35.1618,91,0.496108,-0.674983,-0.016567,0.496561,-0.672979,-0.016567,2.054,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029693,0
93,35.2654,92,0.496257,-0.674850,-0.016567,0.496713,-0.672903,-0.016567,1.999,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029539,0
94,35.3653,93,0.496215,-0.675141,-0.016567,0.496863,-0.672828,-0.016567,2.401,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029346,0
95,35.4637,94,0.496187,-0.674768,-0.016567,0.497011,-0.672754,-0.016567,2.176,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029146,0
96,35.5628,95,0.496672,-0.674802,-0.016567,0.497158,-0.672681,-0.016567,2.176,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.029044,0
97,35.6668,96,0.496382,-0.674858,-0.016567,0.497303,-0.672608,-0.016567,2.431,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028844,0
98,35.7873,97,0.496969,-0.674690,-0.016567,0.497447,-0.672536,-0.016567,2.206,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028732,0
99,35.8651,98,0.496994,-0.674782,-0.016567,0.497590,-0.672465,-0.016567,2.393,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028560,0
100,35.9623,99,0.497405,-0.674161,-0.016567,0.497731,-0.672394,-0.016567,1.796,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028449,0
101,36.0625,100,0.497238,-0.674157,-0.016567,0.497872,-0.672324,-0.016567,1.939,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028249,0
102,36.1646,101,0.497228,-0.674137,-0.016567,0.498011,-0.672254,-0.016567,2.039,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.028049,0
103,36.2638,102,0.497671,-0.673875,-0.016567,0.498150,-0.672185,-0.016567,1.756,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027935,0
104,36.3650,103,0.498033,-0.673379,-0.016567,0.498288,-0.672116,-0.016567,1.288,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027828,0
105,36.4710,104,0.497981,-0.673295,-0.016567,0.498425,-0.672048,-0.016567,1.324,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027642,0
106,36.5622,105,0.497960,-0.673245,-0.016567,0.498561,-0.671980,-0.016567,1.400,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027447,0
107,36.6706,106,0.498094,-0.673094,-0.016567,0.498696,-0.671912,-0.016567,1.326,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027280,0
108,36.7656,107,0.498131,-0.673349,-0.016567,0.498831,-0.671844,-0.016567,1.660,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.027103,0
109,36.8560,108,0.498416,-0.672994,-0.016567,0.498966,-0.671777,-0.016567,1.335,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026968,0
110,36.9634,109,0.498814,-0.672779,-0.016567,0.499100,-0.671710,-0.016567,1.106,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026866,0
111,37.0565,110,0.498920,-0.672663,-0.016567,0.499234,-0.671643,-0.016567,1.067,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026714,0
112,37.1552,111,0.499042,-0.672277,-0.016567,0.499367,-0.671576,-0.016567,0.772,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026552,0
113,37.2546,112,0.499073,-0.672732,-0.016567,0.499500,-0.671510,-0.016567,1.295,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026376,0
114,37.3547,113,0.499145,-0.672700,-0.016567,0.499633,-0.671444,-0.016567,1.348,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026203,0
115,37.4526,114,0.499133,-0.672785,-0.016567,0.499765,-0.671377,-0.016567,1.544,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.026013,0
116,37.5510,115,0.499517,-0.671952,-0.016567,0.499898,-0.671311,-0.016567,0.745,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025893,0
117,37.6514,116,0.499569,-0.671973,-0.016567,0.500030,-0.671245,-0.016567,0.862,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025728,0
118,37.7497,117,0.499943,-0.671936,-0.016567,0.500162,-0.671179,-0.016567,0.788,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025616,0
119,37.8499,118,0.500170,-0.671969,-0.016567,0.500294,-0.671113,-0.016567,0.865,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025487,0
120,37.9488,119,0.500155,-0.671874,-0.016567,0.500426,-0.671047,-0.016567,0.871,-0.856367,-1.945840,-1.761770,-1.033200,1.562339,-2.056415,0.025305,0
