step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.8116,0,0.500753,-0.670877,-0.016567,0.500658,-0.670874,-0.016567,0.096,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.025011,0
2,22.8763,0,0.500753,-0.670877,-0.016567,0.500658,-0.670874,-0.016567,0.096,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.024992,0
3,22.9797,2,0.500761,-0.670866,-0.016567,0.500416,-0.670753,-0.016567,0.363,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.025266,0
4,23.0750,3,0.500785,-0.670891,-0.016567,0.500290,-0.670690,-0.016567,0.535,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.025466,0
5,23.1696,4,0.500405,-0.670746,-0.016567,0.500164,-0.670627,-0.016567,0.270,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.025612,0
6,23.2728,5,0.500258,-0.670932,-0.016567,0.500034,-0.670562,-0.016567,0.432,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.025765,0
7,23.3759,6,0.499996,-0.671091,-0.016567,0.499905,-0.670497,-0.016567,0.601,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.025898,0
8,23.4760,7,0.499719,-0.671072,-0.016567,0.499776,-0.670433,-0.016567,0.642,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026022,0
9,23.5770,8,0.499699,-0.670906,-0.016567,0.499647,-0.670368,-0.016567,0.541,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026194,0
10,23.6870,9,0.499690,-0.671111,-0.016567,0.499518,-0.670304,-0.016567,0.826,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026382,0
11,23.7776,10,0.499643,-0.670672,-0.016567,0.499388,-0.670239,-0.016567,0.502,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026559,0
12,23.8714,11,0.499309,-0.670390,-0.016567,0.499259,-0.670174,-0.016567,0.221,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026677,0
13,23.9770,12,0.499170,-0.670667,-0.016567,0.499129,-0.670109,-0.016567,0.560,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026830,0
14,24.0720,13,0.498870,-0.669898,-0.016567,0.498998,-0.670044,-0.016567,0.195,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.026943,0
15,24.1768,14,0.498551,-0.670033,-0.016567,0.498868,-0.669979,-0.016567,0.322,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.027057,0
16,24.2763,15,0.498743,-0.669684,-0.016567,0.498737,-0.669913,-0.016567,0.229,-0.856345,-1.945837,-1.761778,-1.033212,1.562327,-2.056412,0.027257,0
