step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,27.8524,0,0.500522,-0.671070,-0.016567,0.500554,-0.671101,-0.016567,0.045,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.024931,0
2,27.9056,0,0.500522,-0.671070,-0.016567,0.500554,-0.671101,-0.016567,0.045,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.024831,0
3,28.0082,2,0.500517,-0.671085,-0.016567,0.500313,-0.670981,-0.016567,0.229,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.025066,0
4,28.1090,3,0.500550,-0.671074,-0.016567,0.500186,-0.670917,-0.016567,0.396,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.025266,0
5,28.2098,4,0.500707,-0.671010,-0.016567,0.500060,-0.670854,-0.016567,0.665,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.025467,0
6,28.3094,5,0.500302,-0.670415,-0.016567,0.499930,-0.670789,-0.016567,0.527,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.025667,0
7,28.4080,6,0.499961,-0.670499,-0.016567,0.499801,-0.670725,-0.016567,0.276,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.025847,0
8,28.5081,7,0.500092,-0.670559,-0.016567,0.499672,-0.670660,-0.016567,0.431,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026047,0
9,28.6077,8,0.499688,-0.670581,-0.016567,0.499543,-0.670596,-0.016567,0.145,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026218,0
10,28.7073,9,0.499595,-0.670461,-0.016567,0.499414,-0.670531,-0.016567,0.194,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026418,0
11,28.8210,10,0.499335,-0.670883,-0.016567,0.499285,-0.670467,-0.016567,0.419,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026510,0
12,28.9086,11,0.499182,-0.671005,-0.016567,0.499155,-0.670402,-0.016567,0.604,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026584,0
13,29.0102,12,0.498979,-0.670403,-0.016567,0.499025,-0.670337,-0.016567,0.081,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026570,0
14,29.1080,13,0.499173,-0.670422,-0.016567,0.498895,-0.670272,-0.016567,0.317,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026757,0
15,29.2079,14,0.498992,-0.670516,-0.016567,0.498764,-0.670206,-0.016567,0.384,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.026957,0
16,29.3078,15,0.498784,-0.670325,-0.016567,0.498633,-0.670141,-0.016567,0.238,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027139,0
17,29.4084,16,0.498467,-0.669612,-0.016567,0.498502,-0.670075,-0.016567,0.464,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027121,0
18,29.5087,17,0.498371,-0.669608,-0.016567,0.498369,-0.670009,-0.016567,0.401,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027140,0
19,29.6082,18,0.498402,-0.669602,-0.016567,0.498237,-0.669943,-0.016567,0.379,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027319,0
20,29.7167,19,0.498115,-0.669034,-0.016567,0.498103,-0.669876,-0.016567,0.842,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027334,0
21,29.8181,20,0.498166,-0.669743,-0.016567,0.497969,-0.669809,-0.016567,0.208,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027534,0
22,29.9093,21,0.498330,-0.669539,-0.016567,0.497834,-0.669741,-0.016567,0.535,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027734,0
23,30.0077,22,0.498077,-0.669643,-0.016567,0.497698,-0.669673,-0.016567,0.380,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.027934,0
24,30.1112,23,0.497683,-0.669753,-0.016567,0.497561,-0.669605,-0.016567,0.192,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028082,0
25,30.2084,24,0.497450,-0.669799,-0.016567,0.497423,-0.669536,-0.016567,0.264,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028139,0
26,30.3082,25,0.497476,-0.669873,-0.016567,0.497284,-0.669466,-0.016567,0.450,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028339,0
27,30.4085,26,0.497161,-0.669655,-0.016567,0.497144,-0.669396,-0.016567,0.260,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028385,0
28,30.5092,27,0.497260,-0.669495,-0.016567,0.497002,-0.669325,-0.016567,0.309,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028585,0
29,30.6096,28,0.496859,-0.669038,-0.016567,0.496859,-0.669254,-0.016567,0.216,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028599,0
30,30.7121,29,0.496778,-0.668905,-0.016567,0.496714,-0.669181,-0.016567,0.283,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028672,0
31,30.8143,30,0.496759,-0.668400,-0.016567,0.496568,-0.669108,-0.016567,0.733,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.028853,0
32,30.9212,31,0.496695,-0.668351,-0.016567,0.496419,-0.669034,-0.016567,0.736,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029053,0
33,31.0146,32,0.496520,-0.668628,-0.016567,0.496268,-0.668958,-0.016567,0.415,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029253,0
34,31.1108,33,0.496044,-0.668938,-0.016567,0.496115,-0.668882,-0.016567,0.091,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029253,0
35,31.2099,34,0.496194,-0.669136,-0.016567,0.495960,-0.668804,-0.016567,0.405,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029453,0
36,31.3073,35,0.495958,-0.668922,-0.016567,0.495802,-0.668725,-0.016567,0.251,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029616,0
37,31.4095,36,0.495921,-0.668733,-0.016567,0.495641,-0.668645,-0.016567,0.293,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029816,0
38,31.5102,37,0.495657,-0.668283,-0.016567,0.495477,-0.668563,-0.016567,0.333,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.029983,0
39,31.6086,38,0.495501,-0.668322,-0.016567,0.495310,-0.668479,-0.016567,0.248,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.030160,0
40,31.7109,39,0.495259,-0.668140,-0.016567,0.495138,-0.668393,-0.016567,0.281,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.030263,0
41,31.8083,40,0.495139,-0.668118,-0.016567,0.494962,-0.668305,-0.016567,0.257,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.030418,0
42,31.9076,41,0.494903,-0.668188,-0.016567,0.494781,-0.668215,-0.016567,0.124,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.030519,0
43,32.0101,42,0.494981,-0.668293,-0.016567,0.494595,-0.668122,-0.016567,0.422,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.030719,0
44,32.1092,43,0.494947,-0.668088,-0.016567,0.494403,-0.668026,-0.016567,0.548,-0.856348,-1.945837,-1.761778,-1.033200,1.562331,-2.056412,0.030919,0
