step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,26.0019,0,0.500740,-0.670305,-0.016567,0.500755,-0.670450,-0.016567,0.145,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025019,0
2,26.1006,1,0.500762,-0.670328,-0.016567,0.500641,-0.670393,-0.016567,0.137,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025187,0
3,26.2006,2,0.500644,-0.670467,-0.016567,0.500514,-0.670329,-0.016567,0.190,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025403,0
4,26.3006,3,0.500485,-0.670451,-0.016567,0.500387,-0.670266,-0.016567,0.209,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025623,0
5,26.4006,4,0.500276,-0.670349,-0.016567,0.500261,-0.670203,-0.016567,0.146,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025794,0
6,26.5006,5,0.499950,-0.670354,-0.016567,0.500131,-0.670138,-0.016567,0.282,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025848,0
7,26.6006,6,0.499952,-0.670547,-0.016567,0.500002,-0.670073,-0.016567,0.476,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.025985,0
8,26.7007,7,0.500020,-0.670328,-0.016567,0.499873,-0.670009,-0.016567,0.351,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.026237,0
9,26.8007,8,0.499537,-0.670354,-0.016567,0.499744,-0.669945,-0.016567,0.459,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.026290,0
10,26.9007,9,0.499506,-0.670486,-0.016567,0.499615,-0.669880,-0.016567,0.615,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.026395,0
11,27.0006,10,0.499434,-0.670535,-0.016567,0.499485,-0.669815,-0.016567,0.722,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.026537,0
12,27.1006,11,0.499324,-0.670367,-0.016567,0.499356,-0.669750,-0.016567,0.617,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.026688,0
13,27.2007,12,0.499177,-0.670337,-0.016567,0.499226,-0.669685,-0.016567,0.654,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.026830,0
14,27.3006,13,0.499119,-0.670166,-0.016567,0.499096,-0.669620,-0.016567,0.546,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027013,0
15,27.4006,14,0.498970,-0.669961,-0.016567,0.498965,-0.669555,-0.016567,0.406,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027182,0
16,27.5006,15,0.498489,-0.669600,-0.016567,0.498834,-0.669489,-0.016567,0.362,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027152,0
17,27.6006,16,0.498710,-0.669524,-0.016567,0.498702,-0.669424,-0.016567,0.100,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027316,0
18,27.7007,17,0.498264,-0.669147,-0.016567,0.498570,-0.669358,-0.016567,0.372,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027287,0
19,27.8006,18,0.498293,-0.669259,-0.016567,0.498438,-0.669291,-0.016567,0.148,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027358,0
20,27.9007,19,0.498308,-0.669174,-0.016567,0.498304,-0.669225,-0.016567,0.051,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027517,0
21,28.0006,20,0.498248,-0.669040,-0.016567,0.498170,-0.669158,-0.016567,0.141,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027720,0
22,28.1006,21,0.498052,-0.669041,-0.016567,0.498035,-0.669090,-0.016567,0.052,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027887,0
23,28.2007,22,0.497751,-0.669709,-0.016567,0.497899,-0.669022,-0.016567,0.703,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.027970,0
24,28.3006,23,0.497730,-0.669349,-0.016567,0.497762,-0.668954,-0.016567,0.397,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.028117,0
25,28.4006,24,0.497758,-0.669151,-0.016567,0.497624,-0.668885,-0.016567,0.298,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.028360,0
26,28.5006,25,0.497395,-0.668931,-0.016567,0.497485,-0.668815,-0.016567,0.147,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.028467,0
27,28.6007,26,0.497252,-0.669047,-0.016567,0.497345,-0.668745,-0.016567,0.316,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.028575,0
28,28.7007,27,0.497244,-0.668942,-0.016567,0.497203,-0.668674,-0.016567,0.271,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.028763,0
29,28.8006,28,0.497251,-0.668889,-0.016567,0.497060,-0.668602,-0.016567,0.344,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029041,0
30,28.9007,29,0.496821,-0.668486,-0.016567,0.496915,-0.668530,-0.016567,0.104,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029142,0
31,29.0007,30,0.496551,-0.668903,-0.016567,0.496768,-0.668457,-0.016567,0.496,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029179,0
32,29.1006,31,0.496513,-0.668419,-0.016567,0.496620,-0.668382,-0.016567,0.113,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029274,0
33,29.2006,32,0.496347,-0.668496,-0.016567,0.496469,-0.668307,-0.016567,0.225,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029362,0
34,29.3006,33,0.496381,-0.668480,-0.016567,0.496316,-0.668231,-0.016567,0.258,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029564,0
35,29.4006,34,0.496116,-0.668139,-0.016567,0.496161,-0.668153,-0.016567,0.047,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029695,0
36,29.5006,35,0.496044,-0.668255,-0.016567,0.496003,-0.668074,-0.016567,0.185,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.029882,0
37,29.6006,36,0.495873,-0.668070,-0.016567,0.495842,-0.667994,-0.016567,0.082,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.030060,0
38,29.7006,37,0.495645,-0.667916,-0.016567,0.495678,-0.667912,-0.016567,0.033,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.030198,0
39,29.8006,38,0.495377,-0.667933,-0.016567,0.495510,-0.667828,-0.016567,0.170,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.030279,0
40,29.9007,39,0.495425,-0.667905,-0.016567,0.495339,-0.667742,-0.016567,0.185,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.030492,0
41,30.0006,40,0.495321,-0.667881,-0.016567,0.495163,-0.667654,-0.016567,0.276,-0.856329,-1.945840,-1.761785,-1.033200,1.562339,-2.056424,0.030749,0
