step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.6891,0,0.500665,-0.670547,-0.016567,0.500638,-0.670573,-0.016567,0.038,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.024989,0
2,19.7409,1,0.500735,-0.670525,-0.016567,0.500524,-0.670517,-0.016567,0.211,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025155,0
3,19.8435,2,0.500847,-0.670612,-0.016567,0.500396,-0.670453,-0.016567,0.478,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025332,0
4,19.9447,3,0.500578,-0.670547,-0.016567,0.500270,-0.670389,-0.016567,0.346,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025532,0
5,20.0421,4,0.500059,-0.670362,-0.016567,0.500144,-0.670326,-0.016567,0.092,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025533,0
6,20.1487,5,0.500082,-0.670703,-0.016567,0.500014,-0.670261,-0.016567,0.447,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025641,0
7,20.2429,6,0.500069,-0.670508,-0.016567,0.499884,-0.670197,-0.016567,0.361,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025841,0
8,20.3447,7,0.499652,-0.670440,-0.016567,0.499756,-0.670133,-0.016567,0.325,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025841,0
9,20.4444,8,0.499644,-0.670567,-0.016567,0.499627,-0.670068,-0.016567,0.499,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025902,0
10,20.5436,9,0.499518,-0.670483,-0.016567,0.499498,-0.670003,-0.016567,0.480,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.025967,0
11,20.6431,10,0.499594,-0.670479,-0.016567,0.499368,-0.669939,-0.016567,0.585,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026167,0
12,20.7550,11,0.499420,-0.669861,-0.016567,0.499239,-0.669874,-0.016567,0.182,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026367,0
13,20.8431,12,0.499157,-0.669751,-0.016567,0.499109,-0.669809,-0.016567,0.075,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026444,0
14,20.9456,13,0.499164,-0.670349,-0.016567,0.498978,-0.669744,-0.016567,0.633,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026644,0
15,21.0430,14,0.498970,-0.669806,-0.016567,0.498848,-0.669678,-0.016567,0.176,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026797,0
16,21.1427,15,0.498678,-0.669652,-0.016567,0.498717,-0.669613,-0.016567,0.054,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026792,0
17,21.2432,16,0.498455,-0.669760,-0.016567,0.498585,-0.669547,-0.016567,0.250,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026718,0
18,21.3442,17,0.498727,-0.669790,-0.016567,0.498453,-0.669481,-0.016567,0.413,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.026845,0
19,21.4435,18,0.498589,-0.669313,-0.016567,0.498320,-0.669415,-0.016567,0.288,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.027045,0
20,21.5445,19,0.498273,-0.669079,-0.016567,0.498187,-0.669348,-0.016567,0.282,-0.856345,-1.945840,-1.761739,-1.033215,1.562327,-2.056397,0.027151,0
