step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.0713,0,0.500961,-0.670277,-0.016567,0.500991,-0.670415,-0.016567,0.141,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.024931,0
2,18.1264,0,0.500961,-0.670277,-0.016567,0.500991,-0.670415,-0.016567,0.141,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.024830,0
3,18.2273,2,0.501055,-0.670378,-0.016567,0.500750,-0.670294,-0.016567,0.317,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.025066,0
4,18.3284,3,0.501069,-0.670403,-0.016567,0.500623,-0.670231,-0.016567,0.478,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.025266,0
5,18.4263,4,0.501043,-0.670415,-0.016567,0.500497,-0.670168,-0.016567,0.599,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.025466,0
6,18.5305,5,0.500904,-0.670602,-0.016567,0.500367,-0.670103,-0.016567,0.733,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.025666,0
7,18.6294,6,0.500576,-0.670631,-0.016567,0.500238,-0.670038,-0.016567,0.682,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.025866,0
8,18.7278,7,0.500337,-0.670461,-0.016567,0.500109,-0.669974,-0.016567,0.538,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026066,0
9,18.8266,8,0.499976,-0.670451,-0.016567,0.499980,-0.669909,-0.016567,0.541,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026115,0
10,18.9283,9,0.499636,-0.670199,-0.016567,0.499851,-0.669845,-0.016567,0.414,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.025997,0
11,19.0280,10,0.499748,-0.669889,-0.016567,0.499721,-0.669780,-0.016567,0.112,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026056,0
12,19.1269,11,0.499748,-0.669889,-0.016567,0.499592,-0.669715,-0.016567,0.233,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026245,0
13,19.2267,12,0.499793,-0.669775,-0.016567,0.499462,-0.669650,-0.016567,0.354,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026445,0
14,19.3294,13,0.499372,-0.669854,-0.016567,0.499332,-0.669585,-0.016567,0.272,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026528,0
15,19.4274,14,0.499420,-0.669861,-0.016567,0.499201,-0.669520,-0.016567,0.405,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026728,0
16,19.5281,15,0.499346,-0.669771,-0.016567,0.499070,-0.669454,-0.016567,0.421,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.026928,0
17,19.6265,16,0.499161,-0.669877,-0.016567,0.498938,-0.669389,-0.016567,0.537,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027128,0
18,19.7274,17,0.499029,-0.669676,-0.016567,0.498806,-0.669322,-0.016567,0.418,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027328,0
19,19.8277,18,0.498665,-0.669662,-0.016567,0.498674,-0.669256,-0.016567,0.406,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027373,0
20,19.9289,19,0.498562,-0.669088,-0.016567,0.498540,-0.669189,-0.016567,0.103,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027406,0
21,20.0282,20,0.498434,-0.669073,-0.016567,0.498406,-0.669122,-0.016567,0.057,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027451,0
22,20.1288,21,0.498305,-0.669018,-0.016567,0.498271,-0.669055,-0.016567,0.050,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027501,0
23,20.2298,22,0.498401,-0.669079,-0.016567,0.498135,-0.668987,-0.016567,0.281,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027701,0
24,20.3300,23,0.498115,-0.668883,-0.016567,0.497998,-0.668918,-0.016567,0.122,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027830,0
25,20.4309,24,0.497850,-0.668872,-0.016567,0.497860,-0.668849,-0.016567,0.025,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.027839,0
26,20.5287,25,0.497891,-0.668929,-0.016567,0.497721,-0.668780,-0.016567,0.226,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.028032,0
27,20.6300,26,0.497936,-0.668857,-0.016567,0.497581,-0.668710,-0.016567,0.385,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.028232,0
28,20.7304,27,0.497725,-0.668871,-0.016567,0.497439,-0.668639,-0.016567,0.368,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.028432,0
29,20.8328,28,0.497595,-0.668990,-0.016567,0.497296,-0.668567,-0.016567,0.518,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.028632,0
30,20.9293,29,0.497305,-0.669068,-0.016567,0.497151,-0.668495,-0.016567,0.593,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.028832,0
31,21.0363,30,0.496967,-0.668909,-0.016567,0.497004,-0.668422,-0.016567,0.489,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.028855,0
32,21.1286,31,0.497065,-0.668936,-0.016567,0.496856,-0.668347,-0.016567,0.625,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029055,0
33,21.2340,32,0.496995,-0.668467,-0.016567,0.496705,-0.668272,-0.016567,0.349,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029255,0
34,21.3390,33,0.496576,-0.668312,-0.016567,0.496552,-0.668196,-0.016567,0.119,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029292,0
35,21.4316,34,0.496408,-0.668374,-0.016567,0.496397,-0.668118,-0.016567,0.257,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029329,0
36,21.5346,35,0.496439,-0.668463,-0.016567,0.496239,-0.668039,-0.016567,0.469,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029529,0
37,21.6320,36,0.496439,-0.668463,-0.016567,0.496078,-0.667958,-0.016567,0.620,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029729,0
38,21.7306,37,0.496030,-0.668102,-0.016567,0.495914,-0.667876,-0.016567,0.254,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.029858,0
39,21.8331,38,0.495962,-0.667926,-0.016567,0.495746,-0.667793,-0.016567,0.253,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.030058,0
40,21.9289,39,0.495870,-0.667658,-0.016567,0.495575,-0.667707,-0.016567,0.300,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.030258,0
41,22.0367,40,0.495554,-0.667410,-0.016567,0.495399,-0.667619,-0.016567,0.260,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.030360,0
42,22.1404,41,0.495797,-0.667390,-0.016567,0.495218,-0.667528,-0.016567,0.596,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.030560,0
43,22.2292,41,0.495797,-0.667390,-0.016567,0.495218,-0.667528,-0.016567,0.596,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.030601,0
44,22.3320,43,0.494944,-0.667519,-0.016567,0.494839,-0.667339,-0.016567,0.208,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.030848,0
45,22.4310,44,0.494954,-0.667528,-0.016567,0.494637,-0.667246,-0.016567,0.425,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.031048,0
46,22.5331,45,0.494955,-0.667721,-0.016567,0.494425,-0.667150,-0.016567,0.780,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.031248,0
47,22.6334,46,0.494803,-0.667896,-0.016567,0.494196,-0.667065,-0.016567,1.029,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.031448,0
48,22.7347,47,0.494528,-0.668178,-0.016567,0.493950,-0.666988,-0.016567,1.323,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.031648,0
49,22.8294,48,0.494451,-0.667859,-0.016567,0.493678,-0.666949,-0.016567,1.194,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.031848,0
50,22.9323,49,0.494031,-0.667517,-0.016567,0.493393,-0.667009,-0.016567,0.815,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.032053,0
51,23.0278,50,0.493909,-0.667419,-0.016567,0.493203,-0.667233,-0.016567,0.731,-0.856348,-1.945837,-1.761766,-1.033193,1.562336,-2.056397,0.032260,0
