step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.4145,0,0.500516,-0.670848,-0.016567,0.500509,-0.670655,-0.016567,0.193,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.024974,0
2,19.4720,1,0.500407,-0.670679,-0.016567,0.500396,-0.670598,-0.016567,0.081,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.024949,0
3,19.5781,2,0.500498,-0.670737,-0.016567,0.500268,-0.670534,-0.016567,0.307,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025125,0
4,19.6699,3,0.500459,-0.670623,-0.016567,0.500142,-0.670471,-0.016567,0.352,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025325,0
5,19.7692,4,0.500422,-0.670514,-0.016567,0.500016,-0.670408,-0.016567,0.420,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025525,0
6,19.8986,5,0.500224,-0.670727,-0.016567,0.499886,-0.670343,-0.016567,0.512,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025725,0
7,19.9824,6,0.499712,-0.670703,-0.016567,0.499756,-0.670278,-0.016567,0.427,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025725,0
8,20.0705,7,0.499517,-0.670498,-0.016567,0.499628,-0.670214,-0.016567,0.305,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025665,0
9,20.1732,8,0.499449,-0.670716,-0.016567,0.499499,-0.670149,-0.016567,0.569,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025664,0
10,20.2789,9,0.499517,-0.670628,-0.016567,0.499369,-0.670085,-0.016567,0.563,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.025854,0
11,20.3772,10,0.499535,-0.670522,-0.016567,0.499240,-0.670020,-0.016567,0.582,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026054,0
12,20.4783,11,0.499463,-0.670268,-0.016567,0.499110,-0.669955,-0.016567,0.472,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026254,0
13,20.5728,12,0.499175,-0.670512,-0.016567,0.498980,-0.669890,-0.016567,0.651,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026454,0
14,20.6694,13,0.499081,-0.670547,-0.016567,0.498850,-0.669825,-0.016567,0.758,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026654,0
15,20.8215,14,0.498691,-0.669710,-0.016567,0.498720,-0.669760,-0.016567,0.058,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026654,0
16,20.9591,15,0.498547,-0.669144,-0.016567,0.498589,-0.669694,-0.016567,0.552,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026625,0
17,21.0360,16,0.498653,-0.669680,-0.016567,0.498457,-0.669629,-0.016567,0.202,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026795,0
18,21.1006,17,0.498606,-0.669222,-0.016567,0.498325,-0.669562,-0.016567,0.441,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.026995,0
19,21.1786,18,0.498635,-0.669222,-0.016567,0.498192,-0.669496,-0.016567,0.521,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.027195,0
20,21.2754,19,0.497930,-0.669010,-0.016567,0.498059,-0.669429,-0.016567,0.439,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.027195,0
21,21.4557,20,0.498035,-0.669737,-0.016567,0.497925,-0.669362,-0.016567,0.391,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.027346,0
22,21.4941,21,0.497908,-0.669555,-0.016567,0.497790,-0.669295,-0.016567,0.286,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.027496,0
23,21.6683,22,0.497922,-0.669946,-0.016567,0.497654,-0.669227,-0.016567,0.768,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.027696,0
24,21.8372,23,0.497551,-0.670479,-0.016567,0.497517,-0.669158,-0.016567,1.321,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.027797,0
25,21.8741,25,0.497633,-0.669835,-0.016567,0.497240,-0.669020,-0.016567,0.905,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028156,0
26,21.9142,25,0.497628,-0.669986,-0.016567,0.497240,-0.669020,-0.016567,1.041,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028197,0
27,22.0866,26,0.497283,-0.669625,-0.016567,0.497099,-0.668950,-0.016567,0.700,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028397,0
28,22.2115,28,0.496736,-0.669141,-0.016567,0.496814,-0.668807,-0.016567,0.343,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028556,0
29,22.3105,29,0.496752,-0.668480,-0.016567,0.496670,-0.668735,-0.016567,0.267,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028644,0
30,22.4125,30,0.496701,-0.668222,-0.016567,0.496523,-0.668661,-0.016567,0.474,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028822,0
31,22.4681,31,0.496463,-0.668100,-0.016567,0.496374,-0.668587,-0.016567,0.495,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.028910,0
32,22.5138,32,0.496464,-0.668293,-0.016567,0.496224,-0.668512,-0.016567,0.325,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029110,0
33,22.5815,32,0.496453,-0.668225,-0.016567,0.496224,-0.668512,-0.016567,0.367,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029152,0
34,22.6655,33,0.496068,-0.668311,-0.016567,0.496071,-0.668435,-0.016567,0.124,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029157,0
35,22.7664,34,0.495836,-0.668504,-0.016567,0.495916,-0.668358,-0.016567,0.167,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029099,0
36,22.8725,35,0.495823,-0.668524,-0.016567,0.495758,-0.668279,-0.016567,0.254,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029176,0
37,22.9677,36,0.495838,-0.668438,-0.016567,0.495597,-0.668198,-0.016567,0.340,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029376,0
38,23.0672,37,0.495818,-0.668545,-0.016567,0.495433,-0.668116,-0.016567,0.576,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029576,0
39,23.1731,38,0.495639,-0.668480,-0.016567,0.495265,-0.668033,-0.016567,0.584,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029776,0
40,23.2622,39,0.495402,-0.668103,-0.016567,0.495093,-0.667947,-0.016567,0.346,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.029976,0
41,23.3810,40,0.495175,-0.667881,-0.016567,0.494918,-0.667859,-0.016567,0.258,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.030176,0
42,23.4788,41,0.494899,-0.667453,-0.016567,0.494737,-0.667768,-0.016567,0.355,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.030309,0
43,23.5735,42,0.494955,-0.667534,-0.016567,0.494551,-0.667675,-0.016567,0.429,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.030509,0
44,23.7484,43,0.494942,-0.667523,-0.016567,0.494358,-0.667579,-0.016567,0.587,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.030709,0
45,23.8047,44,0.494779,-0.667280,-0.016567,0.494155,-0.667486,-0.016567,0.656,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.030909,0
46,23.8847,45,0.494679,-0.667599,-0.016567,0.493943,-0.667390,-0.016567,0.765,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.031109,0
47,24.0201,46,0.494243,-0.668008,-0.016567,0.493714,-0.667305,-0.016567,0.879,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.031309,0
48,24.0956,47,0.494073,-0.667850,-0.016567,0.493469,-0.667228,-0.016567,0.867,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.031509,0
49,24.1824,48,0.493768,-0.668311,-0.016567,0.493197,-0.667189,-0.016567,1.259,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.031709,0
50,24.2681,49,0.493433,-0.668282,-0.016567,0.492912,-0.667249,-0.016567,1.157,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.031914,0
51,24.4776,50,0.493115,-0.667635,-0.016567,0.492722,-0.667473,-0.016567,0.426,-0.856333,-1.945840,-1.761766,-1.033196,1.562359,-2.056415,0.032121,0
