step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.4971,0,0.500652,-0.670532,-0.016567,0.500485,-0.670516,-0.016567,0.168,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025126,0
2,23.5242,2,0.500774,-0.670538,-0.016567,0.500244,-0.670396,-0.016567,0.549,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025400,0
3,23.5964,2,0.500577,-0.670504,-0.016567,0.500244,-0.670396,-0.016567,0.350,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025442,0
4,23.6667,3,0.500424,-0.670403,-0.016567,0.500117,-0.670332,-0.016567,0.315,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025642,0
5,23.7749,4,0.499878,-0.670313,-0.016567,0.499991,-0.670269,-0.016567,0.121,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025642,0
6,23.8677,5,0.499828,-0.670467,-0.016567,0.499861,-0.670204,-0.016567,0.265,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025648,0
7,23.9702,6,0.499606,-0.670451,-0.016567,0.499732,-0.670140,-0.016567,0.336,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025580,0
8,24.0758,7,0.499566,-0.670547,-0.016567,0.499603,-0.670075,-0.016567,0.473,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025592,0
9,24.1682,8,0.499593,-0.670424,-0.016567,0.499474,-0.670011,-0.016567,0.430,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025755,0
10,24.3100,9,0.499705,-0.670342,-0.016567,0.499345,-0.669946,-0.016567,0.536,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.025955,0
11,24.3748,10,0.499580,-0.670435,-0.016567,0.499215,-0.669882,-0.016567,0.663,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026155,0
12,24.4940,11,0.499598,-0.669760,-0.016567,0.499086,-0.669817,-0.016567,0.515,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026355,0
13,24.6149,12,0.499100,-0.670510,-0.016567,0.498956,-0.669752,-0.016567,0.772,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026555,0
14,24.6847,13,0.499036,-0.670395,-0.016567,0.498825,-0.669687,-0.016567,0.739,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026755,0
15,24.8486,14,0.498440,-0.669710,-0.016567,0.498695,-0.669621,-0.016567,0.270,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026755,0
16,24.8866,15,0.498472,-0.669597,-0.016567,0.498564,-0.669556,-0.016567,0.101,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026699,0
17,24.9707,16,0.498659,-0.669423,-0.016567,0.498432,-0.669490,-0.016567,0.237,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026842,0
18,25.0807,17,0.498310,-0.669144,-0.016567,0.498300,-0.669424,-0.016567,0.280,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026858,0
19,25.1750,18,0.498289,-0.669160,-0.016567,0.498167,-0.669358,-0.016567,0.232,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.026985,0
20,25.2872,19,0.498336,-0.669233,-0.016567,0.498034,-0.669291,-0.016567,0.308,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.027185,0
21,25.3911,20,0.498194,-0.669298,-0.016567,0.497900,-0.669224,-0.016567,0.303,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.027385,0
22,25.5515,21,0.497896,-0.669623,-0.016567,0.497765,-0.669156,-0.016567,0.485,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.027572,0
23,25.6123,21,0.497896,-0.669623,-0.016567,0.497765,-0.669156,-0.016567,0.485,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.027600,0
24,25.7059,23,0.497988,-0.669733,-0.016567,0.497492,-0.669020,-0.016567,0.869,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.027958,0
25,25.9056,24,0.497727,-0.669685,-0.016567,0.497354,-0.668951,-0.016567,0.823,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.028158,0
26,25.9890,26,0.497301,-0.669216,-0.016567,0.497075,-0.668811,-0.016567,0.463,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.028517,0
27,26.0515,27,0.497147,-0.668932,-0.016567,0.496933,-0.668740,-0.016567,0.287,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.028717,0
28,26.1300,27,0.496937,-0.668991,-0.016567,0.496933,-0.668740,-0.016567,0.250,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.028599,0
29,26.2037,28,0.496789,-0.668337,-0.016567,0.496790,-0.668669,-0.016567,0.332,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.028570,0
30,26.2828,29,0.496766,-0.668491,-0.016567,0.496645,-0.668596,-0.016567,0.160,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.028684,0
31,26.4118,31,0.496509,-0.668493,-0.016567,0.496350,-0.668449,-0.016567,0.165,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029006,0
32,26.4857,32,0.496437,-0.668270,-0.016567,0.496199,-0.668373,-0.016567,0.260,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029206,0
33,26.5911,33,0.496186,-0.668197,-0.016567,0.496046,-0.668297,-0.016567,0.171,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029329,0
34,26.7485,33,0.496020,-0.668390,-0.016567,0.496046,-0.668297,-0.016567,0.097,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029157,0
35,26.8073,34,0.495871,-0.668420,-0.016567,0.495891,-0.668219,-0.016567,0.202,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029158,0
36,26.9115,35,0.496083,-0.668096,-0.016567,0.495733,-0.668140,-0.016567,0.353,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029358,0
37,27.0286,36,0.495970,-0.668379,-0.016567,0.495572,-0.668060,-0.016567,0.510,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029558,0
38,27.1628,37,0.495872,-0.668322,-0.016567,0.495408,-0.667978,-0.016567,0.578,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029758,0
39,27.2414,38,0.495849,-0.668224,-0.016567,0.495240,-0.667894,-0.016567,0.692,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.029958,0
40,27.3566,39,0.495816,-0.668082,-0.016567,0.495069,-0.667808,-0.016567,0.796,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.030158,0
41,27.4363,40,0.495297,-0.667664,-0.016567,0.494893,-0.667720,-0.016567,0.408,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.030358,0
42,27.5459,41,0.495212,-0.667723,-0.016567,0.494712,-0.667630,-0.016567,0.509,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.030558,0
43,27.6786,42,0.494970,-0.667411,-0.016567,0.494526,-0.667537,-0.016567,0.462,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.030758,0
44,27.7922,44,0.495031,-0.667305,-0.016567,0.494131,-0.667347,-0.016567,0.901,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.031116,0
45,27.8903,45,0.494730,-0.667404,-0.016567,0.493919,-0.667251,-0.016567,0.826,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.031316,0
46,27.9913,46,0.494530,-0.667570,-0.016567,0.493690,-0.667167,-0.016567,0.932,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.031516,0
47,28.0469,47,0.494154,-0.667546,-0.016567,0.493444,-0.667090,-0.016567,0.844,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.031716,0
48,28.1371,47,0.494185,-0.667671,-0.016567,0.493444,-0.667090,-0.016567,0.941,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.031758,0
49,28.2308,48,0.493747,-0.667947,-0.016567,0.493172,-0.667050,-0.016567,1.065,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.031958,0
50,28.3391,49,0.493613,-0.667493,-0.016567,0.492887,-0.667111,-0.016567,0.820,-0.856318,-1.945821,-1.761770,-1.033177,1.562331,-2.056397,0.032163,0
