step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.3730,0,0.500551,-0.670786,-0.016567,0.500534,-0.670854,-0.016567,0.070,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.024960,0
2,21.4436,1,0.500567,-0.670728,-0.016567,0.500380,-0.670854,-0.016567,0.226,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.025096,0
3,21.5461,2,0.500786,-0.670820,-0.016567,0.500229,-0.670854,-0.016567,0.559,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.025288,0
4,21.6462,4,0.500468,-0.670900,-0.016567,0.499937,-0.670854,-0.016567,0.532,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.025644,0
5,21.7477,5,0.500292,-0.670353,-0.016567,0.499788,-0.670854,-0.016567,0.710,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.025844,0
6,21.8460,6,0.499834,-0.670267,-0.016567,0.499640,-0.670854,-0.016567,0.618,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026033,0
7,21.9434,7,0.499693,-0.670351,-0.016567,0.499492,-0.670854,-0.016567,0.541,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026231,0
8,22.0441,7,0.499658,-0.670356,-0.016567,0.499492,-0.670854,-0.016567,0.525,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026239,0
9,22.1464,9,0.499206,-0.670690,-0.016567,0.499195,-0.670854,-0.016567,0.165,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026413,0
10,22.2436,10,0.499229,-0.670799,-0.016567,0.499046,-0.670854,-0.016567,0.191,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026600,0
11,22.3444,11,0.499118,-0.670871,-0.016567,0.498897,-0.670854,-0.016567,0.222,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026800,0
12,22.4442,12,0.498943,-0.670893,-0.016567,0.498748,-0.670854,-0.016567,0.198,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.027000,0
13,22.5427,13,0.498769,-0.670879,-0.016567,0.498599,-0.670854,-0.016567,0.172,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.027176,0
14,22.6449,13,0.498478,-0.670912,-0.016567,0.498599,-0.670854,-0.016567,0.135,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026996,0
15,22.7448,14,0.498408,-0.670870,-0.016567,0.498450,-0.670854,-0.016567,0.045,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.026965,0
16,22.8459,16,0.498399,-0.670879,-0.016567,0.498151,-0.670854,-0.016567,0.249,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.027289,0
17,22.9472,16,0.498386,-0.670862,-0.016567,0.498151,-0.670854,-0.016567,0.235,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.027334,0
18,23.0446,18,0.498229,-0.670699,-0.016567,0.497851,-0.670854,-0.016567,0.408,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.027689,0
19,23.1469,19,0.498005,-0.670889,-0.016567,0.497701,-0.670854,-0.016567,0.306,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.027889,0
20,23.2459,20,0.497787,-0.670916,-0.016567,0.497550,-0.670854,-0.016567,0.245,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028089,0
21,23.3467,20,0.497722,-0.670928,-0.016567,0.497550,-0.670854,-0.016567,0.188,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028110,0
22,23.4439,21,0.497558,-0.670887,-0.016567,0.497400,-0.670854,-0.016567,0.162,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028272,0
23,23.5457,22,0.497308,-0.670915,-0.016567,0.497249,-0.670854,-0.016567,0.085,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028339,0
24,23.6450,24,0.497128,-0.671129,-0.016567,0.496947,-0.670854,-0.016567,0.329,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028680,0
25,23.7455,25,0.496961,-0.671110,-0.016567,0.496796,-0.670854,-0.016567,0.305,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028850,0
26,23.8437,25,0.496831,-0.671049,-0.016567,0.496796,-0.670854,-0.016567,0.198,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.028738,0
27,23.9464,27,0.496778,-0.671088,-0.016567,0.496493,-0.670854,-0.016567,0.368,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.029093,0
28,24.0463,27,0.496850,-0.671154,-0.016567,0.496493,-0.670854,-0.016567,0.466,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.029138,0
29,24.1444,28,0.496637,-0.671158,-0.016567,0.496342,-0.670854,-0.016567,0.424,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.029338,0
30,24.2473,29,0.496538,-0.671125,-0.016567,0.496190,-0.670854,-0.016567,0.441,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.029538,0
31,24.3456,31,0.495975,-0.671124,-0.016567,0.495887,-0.670854,-0.016567,0.284,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.029788,0
32,24.4464,32,0.496122,-0.671088,-0.016567,0.495736,-0.670854,-0.016567,0.452,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.029988,0
33,24.5451,33,0.495838,-0.671077,-0.016567,0.495584,-0.670854,-0.016567,0.337,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030188,0
34,24.6465,34,0.495470,-0.671095,-0.016567,0.495433,-0.670854,-0.016567,0.244,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030233,0
35,24.7450,35,0.495316,-0.671105,-0.016567,0.495282,-0.670854,-0.016567,0.253,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030274,0
36,24.8472,36,0.495470,-0.671095,-0.016567,0.495131,-0.670854,-0.016567,0.416,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030474,0
37,24.9456,37,0.495344,-0.671081,-0.016567,0.494980,-0.670854,-0.016567,0.429,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030674,0
38,25.0456,38,0.495105,-0.670948,-0.016567,0.494830,-0.670854,-0.016567,0.291,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030874,0
39,25.1453,39,0.494752,-0.671115,-0.016567,0.494679,-0.670854,-0.016567,0.271,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.030954,0
40,25.2459,40,0.494809,-0.671144,-0.016567,0.494529,-0.670854,-0.016567,0.403,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.031154,0
41,25.3449,41,0.494794,-0.671132,-0.016567,0.494379,-0.670854,-0.016567,0.499,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.031354,0
42,25.4473,42,0.494458,-0.671119,-0.016567,0.494229,-0.670854,-0.016567,0.350,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.031554,0
43,25.5446,43,0.494277,-0.671114,-0.016567,0.494080,-0.670854,-0.016567,0.326,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.031754,0
44,25.6440,44,0.494067,-0.671144,-0.016567,0.493930,-0.670854,-0.016567,0.321,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.031897,0
45,25.7460,45,0.493901,-0.671163,-0.016567,0.493781,-0.670854,-0.016567,0.332,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032023,0
46,25.8440,46,0.493689,-0.671134,-0.016567,0.493632,-0.670854,-0.016567,0.286,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032088,0
47,25.9457,47,0.493650,-0.671159,-0.016567,0.493483,-0.670854,-0.016567,0.348,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032261,0
48,26.0458,48,0.493320,-0.671272,-0.016567,0.493334,-0.670854,-0.016567,0.419,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032258,0
49,26.1472,49,0.493321,-0.671308,-0.016567,0.493186,-0.670854,-0.016567,0.474,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032399,0
50,26.2466,50,0.493201,-0.671152,-0.016567,0.493037,-0.670854,-0.016567,0.340,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032569,0
51,26.3453,51,0.492951,-0.671266,-0.016567,0.492889,-0.670854,-0.016567,0.416,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032641,0
52,26.4461,52,0.492908,-0.671249,-0.016567,0.492740,-0.670854,-0.016567,0.429,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032815,0
53,26.5491,53,0.492749,-0.671871,-0.016567,0.492591,-0.670854,-0.016567,1.029,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.032978,0
54,26.6469,54,0.492555,-0.671833,-0.016567,0.492443,-0.670854,-0.016567,0.986,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.033097,0
55,26.7465,55,0.492731,-0.671773,-0.016567,0.492294,-0.670854,-0.016567,1.018,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.033297,0
56,26.8468,56,0.492283,-0.671633,-0.016567,0.492145,-0.670854,-0.016567,0.792,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.033441,0
57,26.9478,57,0.492272,-0.671587,-0.016567,0.491996,-0.670854,-0.016567,0.783,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.033641,0
58,27.0460,58,0.492165,-0.671248,-0.016567,0.491847,-0.670854,-0.016567,0.506,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.033841,0
59,27.1455,59,0.491821,-0.671184,-0.016567,0.491698,-0.670854,-0.016567,0.352,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.033972,0
60,27.2444,60,0.491594,-0.671108,-0.016567,0.491549,-0.670854,-0.016567,0.258,-0.856340,-1.945825,-1.761763,-1.033177,1.562352,-2.056415,0.034027,0
