step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.6878,0,0.500285,-0.670819,-0.016567,0.500353,-0.670753,-0.016567,0.095,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.025002,0
2,17.7866,1,0.500497,-0.670812,-0.016567,0.500199,-0.670753,-0.016567,0.304,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.025284,0
3,17.8865,2,0.500422,-0.670732,-0.016567,0.500048,-0.670753,-0.016567,0.374,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.025632,0
4,17.9866,3,0.500353,-0.670525,-0.016567,0.499904,-0.670753,-0.016567,0.503,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.025988,0
5,18.0866,4,0.499767,-0.670363,-0.016567,0.499757,-0.670753,-0.016567,0.389,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026143,0
6,18.1866,5,0.499640,-0.670310,-0.016567,0.499607,-0.670753,-0.016567,0.444,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026308,0
7,18.2866,6,0.499453,-0.670321,-0.016567,0.499459,-0.670753,-0.016567,0.432,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026451,0
8,18.3865,7,0.499276,-0.670325,-0.016567,0.499311,-0.670753,-0.016567,0.429,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026577,0
9,18.4865,8,0.499259,-0.670381,-0.016567,0.499162,-0.670753,-0.016567,0.384,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026783,0
10,18.5866,9,0.498935,-0.670362,-0.016567,0.499014,-0.670753,-0.016567,0.399,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026883,0
11,18.6866,10,0.498776,-0.670373,-0.016567,0.498865,-0.670753,-0.016567,0.390,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.026977,0
12,18.7866,11,0.498728,-0.670372,-0.016567,0.498716,-0.670753,-0.016567,0.381,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.027132,0
13,18.8865,12,0.498609,-0.670349,-0.016567,0.498567,-0.670753,-0.016567,0.405,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.027304,0
14,18.9865,13,0.498308,-0.670534,-0.016567,0.498418,-0.670753,-0.016567,0.245,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.027388,0
15,19.0866,14,0.498097,-0.670886,-0.016567,0.498269,-0.670753,-0.016567,0.218,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.027443,0
16,19.1865,15,0.498232,-0.670815,-0.016567,0.498120,-0.670753,-0.016567,0.129,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.027667,0
17,19.2866,16,0.498106,-0.670876,-0.016567,0.497970,-0.670753,-0.016567,0.183,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.027906,0
18,19.3865,17,0.498050,-0.670916,-0.016567,0.497820,-0.670753,-0.016567,0.283,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.028202,0
19,19.4866,18,0.497810,-0.671102,-0.016567,0.497670,-0.670753,-0.016567,0.376,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.028448,0
20,19.5866,19,0.497672,-0.671092,-0.016567,0.497520,-0.670753,-0.016567,0.372,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.028701,0
21,19.6865,20,0.497383,-0.671090,-0.016567,0.497369,-0.670753,-0.016567,0.338,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.028871,0
22,19.7865,21,0.497145,-0.671100,-0.016567,0.497219,-0.670753,-0.016567,0.355,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.028989,0
23,19.8865,22,0.496902,-0.671090,-0.016567,0.497068,-0.670753,-0.016567,0.376,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.029052,0
24,19.9865,23,0.496828,-0.671077,-0.016567,0.496917,-0.670753,-0.016567,0.337,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.029160,0
25,20.0866,24,0.497004,-0.671101,-0.016567,0.496766,-0.670753,-0.016567,0.422,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.029465,0
26,20.1865,25,0.496673,-0.671051,-0.016567,0.496615,-0.670753,-0.016567,0.304,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.029660,0
27,20.2865,26,0.496367,-0.671099,-0.016567,0.496464,-0.670753,-0.016567,0.359,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.029765,0
28,20.3865,27,0.496240,-0.671119,-0.016567,0.496312,-0.670753,-0.016567,0.374,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.029884,0
29,20.4865,28,0.496293,-0.671122,-0.016567,0.496161,-0.670753,-0.016567,0.392,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.030125,0
30,20.5865,29,0.496042,-0.671101,-0.016567,0.496009,-0.670753,-0.016567,0.350,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.030307,0
31,20.6865,30,0.495871,-0.671114,-0.016567,0.495858,-0.670753,-0.016567,0.361,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.030477,0
32,20.7865,31,0.495844,-0.671067,-0.016567,0.495706,-0.670753,-0.016567,0.343,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.030720,0
33,20.8866,32,0.495559,-0.671108,-0.016567,0.495555,-0.670753,-0.016567,0.356,-0.856336,-1.945852,-1.761782,-1.033184,1.562348,-2.056427,0.030885,0
