step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,15.7579,0,0.500655,-0.670491,-0.016567,0.500599,-0.670566,-0.016567,0.094,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.025073,0
2,15.8565,1,0.500662,-0.670537,-0.016567,0.500445,-0.670566,-0.016567,0.218,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.025324,0
3,15.9565,2,0.500573,-0.670304,-0.016567,0.500294,-0.670566,-0.016567,0.383,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.025633,0
4,16.0565,3,0.500342,-0.670637,-0.016567,0.500150,-0.670566,-0.016567,0.205,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.025905,0
5,16.1565,4,0.500015,-0.670437,-0.016567,0.500003,-0.670566,-0.016567,0.129,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026065,0
6,16.2565,5,0.499693,-0.670377,-0.016567,0.499853,-0.670566,-0.016567,0.248,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026121,0
7,16.3565,6,0.499657,-0.670331,-0.016567,0.499705,-0.670566,-0.016567,0.240,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026243,0
8,16.4565,7,0.499429,-0.670351,-0.016567,0.499557,-0.670566,-0.016567,0.250,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026317,0
9,16.5566,8,0.499330,-0.670342,-0.016567,0.499408,-0.670566,-0.016567,0.238,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026421,0
10,16.6565,9,0.499297,-0.670393,-0.016567,0.499260,-0.670566,-0.016567,0.177,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026595,0
11,16.7565,10,0.499114,-0.670444,-0.016567,0.499111,-0.670566,-0.016567,0.123,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026749,0
12,16.8565,11,0.498803,-0.670273,-0.016567,0.498962,-0.670566,-0.016567,0.334,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.026803,0
13,16.9565,12,0.498922,-0.670368,-0.016567,0.498814,-0.670566,-0.016567,0.226,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027020,0
14,17.0565,13,0.498701,-0.670411,-0.016567,0.498664,-0.670566,-0.016567,0.160,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027194,0
15,17.1565,14,0.498385,-0.670625,-0.016567,0.498515,-0.670566,-0.016567,0.142,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027273,0
16,17.2565,15,0.498350,-0.670890,-0.016567,0.498366,-0.670566,-0.016567,0.324,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027425,0
17,17.3566,16,0.498171,-0.670923,-0.016567,0.498216,-0.670566,-0.016567,0.360,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027561,0
18,17.4566,17,0.498133,-0.670949,-0.016567,0.498066,-0.670566,-0.016567,0.389,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027764,0
19,17.5565,18,0.497981,-0.670983,-0.016567,0.497916,-0.670566,-0.016567,0.422,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.027966,0
20,17.6566,19,0.497881,-0.670978,-0.016567,0.497766,-0.670566,-0.016567,0.428,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.028199,0
21,17.7565,20,0.497656,-0.671093,-0.016567,0.497616,-0.670566,-0.016567,0.528,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.028389,0
22,17.8565,21,0.497411,-0.670866,-0.016567,0.497465,-0.670566,-0.016567,0.304,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.028518,0
23,17.9565,21,0.497440,-0.670971,-0.016567,0.497465,-0.670566,-0.016567,0.405,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.028511,0
24,18.0565,23,0.496924,-0.670865,-0.016567,0.497163,-0.670566,-0.016567,0.383,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.028684,0
25,18.1565,24,0.497062,-0.671122,-0.016567,0.497012,-0.670566,-0.016567,0.558,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.028880,0
26,18.2565,25,0.496919,-0.670943,-0.016567,0.496861,-0.670566,-0.016567,0.381,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029077,0
27,18.3565,26,0.496721,-0.670690,-0.016567,0.496710,-0.670566,-0.016567,0.125,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029241,0
28,18.4565,27,0.496639,-0.670485,-0.016567,0.496558,-0.670566,-0.016567,0.114,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029443,0
29,18.5565,27,0.496488,-0.670922,-0.016567,0.496558,-0.670566,-0.016567,0.362,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029408,0
30,18.6568,28,0.496199,-0.671166,-0.016567,0.496407,-0.670566,-0.016567,0.634,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029451,0
31,18.7565,30,0.496044,-0.670858,-0.016567,0.496104,-0.670566,-0.016567,0.298,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029731,0
32,18.8567,30,0.496032,-0.670923,-0.016567,0.496104,-0.670566,-0.016567,0.364,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.029695,0
33,18.9566,32,0.495861,-0.670998,-0.016567,0.495801,-0.670566,-0.016567,0.436,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.030050,0
34,19.0565,33,0.495694,-0.671061,-0.016567,0.495650,-0.670566,-0.016567,0.497,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.030242,0
35,19.1565,34,0.495595,-0.671025,-0.016567,0.495498,-0.670566,-0.016567,0.469,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.030464,0
36,19.2567,35,0.495261,-0.670901,-0.016567,0.495347,-0.670566,-0.016567,0.346,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.030574,0
37,19.3567,36,0.495250,-0.671062,-0.016567,0.495196,-0.670566,-0.016567,0.498,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.030771,0
38,19.4565,37,0.495078,-0.671055,-0.016567,0.495045,-0.670566,-0.016567,0.490,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.030956,0
39,19.5565,38,0.494889,-0.671051,-0.016567,0.494895,-0.670566,-0.016567,0.485,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.031117,0
40,19.6565,39,0.494749,-0.671053,-0.016567,0.494744,-0.670566,-0.016567,0.486,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.031285,0
41,19.7565,40,0.494496,-0.671065,-0.016567,0.494594,-0.670566,-0.016567,0.508,-0.856336,-1.945825,-1.761782,-1.033196,1.562317,-2.056403,0.031391,0
