step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.3837,0,0.500755,-0.670661,-0.016567,0.500606,-0.670775,-0.016567,0.187,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.025086,0
2,20.4542,0,0.500755,-0.670661,-0.016567,0.500606,-0.670775,-0.016567,0.187,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.025131,0
3,20.5576,2,0.500402,-0.670576,-0.016567,0.500300,-0.670775,-0.016567,0.223,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.025339,0
4,20.6598,3,0.500393,-0.670384,-0.016567,0.500157,-0.670775,-0.016567,0.456,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.025540,0
5,20.7577,4,0.500370,-0.670362,-0.016567,0.500009,-0.670775,-0.016567,0.548,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.025740,0
6,20.8583,5,0.499984,-0.670716,-0.016567,0.499860,-0.670775,-0.016567,0.138,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.025869,0
7,20.9586,6,0.499919,-0.670632,-0.016567,0.499711,-0.670775,-0.016567,0.252,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026069,0
8,21.0573,7,0.499547,-0.670615,-0.016567,0.499563,-0.670775,-0.016567,0.161,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026069,0
9,21.1595,8,0.499577,-0.670537,-0.016567,0.499415,-0.670775,-0.016567,0.287,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026230,0
10,21.2556,9,0.499389,-0.670814,-0.016567,0.499266,-0.670775,-0.016567,0.129,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026362,0
11,21.3577,10,0.499110,-0.670850,-0.016567,0.499118,-0.670775,-0.016567,0.076,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026368,0
12,21.4577,11,0.499214,-0.670840,-0.016567,0.498969,-0.670775,-0.016567,0.253,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026568,0
13,21.5581,12,0.499140,-0.670787,-0.016567,0.498820,-0.670775,-0.016567,0.320,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026768,0
14,21.6587,13,0.498842,-0.670906,-0.016567,0.498671,-0.670775,-0.016567,0.215,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026948,0
15,21.7578,14,0.498547,-0.670907,-0.016567,0.498522,-0.670775,-0.016567,0.134,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.026987,0
16,21.8587,15,0.498519,-0.670882,-0.016567,0.498372,-0.670775,-0.016567,0.182,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.027143,0
17,21.9583,16,0.498491,-0.670876,-0.016567,0.498222,-0.670775,-0.016567,0.287,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.027343,0
18,22.0679,17,0.498175,-0.670272,-0.016567,0.498073,-0.670775,-0.016567,0.513,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.027436,0
19,22.1570,18,0.498178,-0.670482,-0.016567,0.497923,-0.670775,-0.016567,0.388,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.027636,0
20,22.2584,19,0.498002,-0.670953,-0.016567,0.497772,-0.670775,-0.016567,0.291,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.027836,0
21,22.3589,20,0.497907,-0.670855,-0.016567,0.497622,-0.670775,-0.016567,0.296,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.028036,0
22,22.4580,21,0.497622,-0.670995,-0.016567,0.497471,-0.670775,-0.016567,0.267,-0.856336,-1.945821,-1.761778,-1.033193,1.562348,-2.056419,0.028198,0
