step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.8643,0,0.500586,-0.670712,-0.016567,0.500535,-0.670819,-0.016567,0.118,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.024991,0
2,16.9349,0,0.500586,-0.670712,-0.016567,0.500535,-0.670819,-0.016567,0.118,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.024940,0
3,17.0367,2,0.500515,-0.670790,-0.016567,0.500230,-0.670819,-0.016567,0.287,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.025254,0
4,17.1376,3,0.500275,-0.670924,-0.016567,0.500086,-0.670819,-0.016567,0.217,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.025454,0
5,17.2385,5,0.500217,-0.670873,-0.016567,0.499789,-0.670819,-0.016567,0.431,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.025809,0
6,17.3383,6,0.499962,-0.670529,-0.016567,0.499641,-0.670819,-0.016567,0.432,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026009,0
7,17.4366,7,0.499683,-0.670365,-0.016567,0.499493,-0.670819,-0.016567,0.492,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026198,0
8,17.5365,8,0.499519,-0.670365,-0.016567,0.499344,-0.670819,-0.016567,0.486,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026370,0
9,17.6357,8,0.499313,-0.670365,-0.016567,0.499344,-0.670819,-0.016567,0.455,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026188,0
10,17.7376,9,0.499277,-0.670424,-0.016567,0.499196,-0.670819,-0.016567,0.403,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026271,0
11,17.8366,10,0.499113,-0.670889,-0.016567,0.499047,-0.670819,-0.016567,0.096,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026347,0
12,17.9371,12,0.499250,-0.670860,-0.016567,0.498749,-0.670819,-0.016567,0.502,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026702,0
13,18.0376,13,0.498922,-0.670892,-0.016567,0.498600,-0.670819,-0.016567,0.330,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026902,0
14,18.1377,14,0.498482,-0.670975,-0.016567,0.498451,-0.670819,-0.016567,0.160,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.026945,0
15,18.2371,15,0.498608,-0.670958,-0.016567,0.498301,-0.670819,-0.016567,0.337,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.027145,0
16,18.3378,15,0.498517,-0.670913,-0.016567,0.498301,-0.670819,-0.016567,0.235,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.027190,0
17,18.4367,17,0.498340,-0.670989,-0.016567,0.498002,-0.670819,-0.016567,0.378,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.027545,0
18,18.5380,17,0.498138,-0.670921,-0.016567,0.498002,-0.670819,-0.016567,0.170,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.027532,0
19,18.6384,19,0.498101,-0.670963,-0.016567,0.497702,-0.670819,-0.016567,0.425,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.027887,0
20,18.7375,20,0.497778,-0.670947,-0.016567,0.497551,-0.670819,-0.016567,0.260,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028087,0
21,18.8384,21,0.497537,-0.670904,-0.016567,0.497401,-0.670819,-0.016567,0.161,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028230,0
22,18.9361,22,0.497369,-0.670931,-0.016567,0.497250,-0.670819,-0.016567,0.164,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028355,0
23,19.0389,23,0.497412,-0.671153,-0.016567,0.497099,-0.670819,-0.016567,0.458,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028555,0
24,19.1364,23,0.497296,-0.671106,-0.016567,0.497099,-0.670819,-0.016567,0.348,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028599,0
25,19.2369,24,0.497123,-0.671202,-0.016567,0.496948,-0.670819,-0.016567,0.422,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028780,0
26,19.3371,26,0.496617,-0.670823,-0.016567,0.496646,-0.670819,-0.016567,0.028,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028916,0
27,19.4390,26,0.496613,-0.670828,-0.016567,0.496646,-0.670819,-0.016567,0.034,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.028737,0
28,19.5382,28,0.496616,-0.670906,-0.016567,0.496343,-0.670819,-0.016567,0.287,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.029068,0
29,19.6383,28,0.496537,-0.670931,-0.016567,0.496343,-0.670819,-0.016567,0.224,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.029109,0
30,19.7386,29,0.496456,-0.670888,-0.016567,0.496191,-0.670819,-0.016567,0.273,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.029309,0
31,19.8372,31,0.496159,-0.670964,-0.016567,0.495888,-0.670819,-0.016567,0.307,-0.856333,-1.945840,-1.761778,-1.033193,1.562352,-2.056412,0.029665,0
