step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.9850,0,0.500510,-0.670409,-0.016567,0.500552,-0.670362,-0.016567,0.063,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.024905,0
2,22.0557,0,0.500510,-0.670409,-0.016567,0.500552,-0.670362,-0.016567,0.063,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.024768,0
3,22.1590,3,0.500780,-0.670803,-0.016567,0.500103,-0.670362,-0.016567,0.807,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.025185,0
4,22.2578,3,0.500764,-0.670691,-0.016567,0.500103,-0.670362,-0.016567,0.738,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.025230,0
5,22.3575,5,0.500417,-0.670254,-0.016567,0.499806,-0.670362,-0.016567,0.620,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.025585,0
6,22.4677,6,0.500162,-0.669946,-0.016567,0.499658,-0.670362,-0.016567,0.654,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.025785,0
7,22.5572,7,0.499813,-0.669781,-0.016567,0.499510,-0.670362,-0.016567,0.656,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.025985,0
8,22.6568,8,0.499697,-0.670112,-0.016567,0.499361,-0.670362,-0.016567,0.419,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026185,0
9,22.7564,9,0.499550,-0.670353,-0.016567,0.499213,-0.670362,-0.016567,0.337,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026385,0
10,22.8557,9,0.499199,-0.670644,-0.016567,0.499213,-0.670362,-0.016567,0.282,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026236,0
11,22.9570,10,0.499253,-0.670752,-0.016567,0.499064,-0.670362,-0.016567,0.433,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026436,0
12,23.0556,11,0.499021,-0.670653,-0.016567,0.498915,-0.670362,-0.016567,0.310,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026558,0
13,23.1562,12,0.499052,-0.670636,-0.016567,0.498766,-0.670362,-0.016567,0.396,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026758,0
14,23.2569,13,0.498966,-0.670448,-0.016567,0.498617,-0.670362,-0.016567,0.359,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.026958,0
15,23.3570,14,0.498626,-0.670109,-0.016567,0.498468,-0.670362,-0.016567,0.298,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.027115,0
16,23.4565,15,0.498328,-0.670167,-0.016567,0.498319,-0.670362,-0.016567,0.196,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.027129,0
17,23.5568,16,0.498393,-0.670303,-0.016567,0.498169,-0.670362,-0.016567,0.232,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.027329,0
18,23.6593,17,0.498402,-0.670333,-0.016567,0.498019,-0.670362,-0.016567,0.383,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.027529,0
19,23.7611,18,0.498029,-0.670751,-0.016567,0.497869,-0.670362,-0.016567,0.420,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.027706,0
20,23.8587,20,0.497872,-0.670864,-0.016567,0.497568,-0.670362,-0.016567,0.586,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028061,0
21,23.9577,21,0.497470,-0.671097,-0.016567,0.497418,-0.670362,-0.016567,0.736,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028143,0
22,24.0580,21,0.497490,-0.671082,-0.016567,0.497418,-0.670362,-0.016567,0.724,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028087,0
23,24.1597,22,0.497459,-0.670931,-0.016567,0.497267,-0.670362,-0.016567,0.601,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028287,0
24,24.2591,23,0.497058,-0.670881,-0.016567,0.497116,-0.670362,-0.016567,0.521,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028287,0
25,24.3575,24,0.497142,-0.670889,-0.016567,0.496965,-0.670362,-0.016567,0.556,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028483,0
26,24.4561,25,0.497071,-0.670717,-0.016567,0.496814,-0.670362,-0.016567,0.438,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028683,0
27,24.5591,26,0.497110,-0.670868,-0.016567,0.496663,-0.670362,-0.016567,0.675,-0.856317,-1.945806,-1.761781,-1.033193,1.562364,-2.056403,0.028883,0
