step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.1782,0,0.500437,-0.670435,-0.016567,0.500542,-0.670422,-0.016567,0.106,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.024855,0
2,25.2493,0,0.500437,-0.670435,-0.016567,0.500542,-0.670422,-0.016567,0.106,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.024669,0
3,25.3535,2,0.500732,-0.670384,-0.016567,0.500237,-0.670422,-0.016567,0.496,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.024881,0
4,25.4535,3,0.500747,-0.670687,-0.016567,0.500093,-0.670422,-0.016567,0.706,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.025081,0
5,25.5511,4,0.500643,-0.670374,-0.016567,0.499946,-0.670422,-0.016567,0.699,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.025281,0
6,25.6514,5,0.500362,-0.670167,-0.016567,0.499796,-0.670422,-0.016567,0.621,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.025481,0
7,25.7501,6,0.500158,-0.670346,-0.016567,0.499648,-0.670422,-0.016567,0.516,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.025681,0
8,25.8519,7,0.499902,-0.670227,-0.016567,0.499500,-0.670422,-0.016567,0.447,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.025881,0
9,25.9509,8,0.499825,-0.670228,-0.016567,0.499351,-0.670422,-0.016567,0.512,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.026081,0
10,26.0504,9,0.499580,-0.670198,-0.016567,0.499203,-0.670422,-0.016567,0.439,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.026281,0
11,26.1512,10,0.499167,-0.670339,-0.016567,0.499054,-0.670422,-0.016567,0.140,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.026401,0
12,26.2515,11,0.499269,-0.670446,-0.016567,0.498905,-0.670422,-0.016567,0.365,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.026601,0
13,26.3511,12,0.498702,-0.670630,-0.016567,0.498756,-0.670422,-0.016567,0.214,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.026601,0
14,26.4515,13,0.498900,-0.670503,-0.016567,0.498607,-0.670422,-0.016567,0.303,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.026801,0
15,26.5505,14,0.498726,-0.670742,-0.016567,0.498458,-0.670422,-0.016567,0.418,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027001,0
16,26.6512,15,0.498548,-0.670472,-0.016567,0.498309,-0.670422,-0.016567,0.245,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027201,0
17,26.7516,16,0.498281,-0.670438,-0.016567,0.498159,-0.670422,-0.016567,0.123,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027330,0
18,26.8504,17,0.498286,-0.670366,-0.016567,0.498009,-0.670422,-0.016567,0.283,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027530,0
19,26.9507,18,0.497915,-0.670366,-0.016567,0.497859,-0.670422,-0.016567,0.079,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027594,0
20,27.0511,19,0.497852,-0.670539,-0.016567,0.497709,-0.670422,-0.016567,0.184,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027743,0
21,27.1520,20,0.497702,-0.670786,-0.016567,0.497558,-0.670422,-0.016567,0.391,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.027895,0
22,27.2516,21,0.497841,-0.670860,-0.016567,0.497408,-0.670422,-0.016567,0.615,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.028095,0
23,27.3509,22,0.497518,-0.670897,-0.016567,0.497257,-0.670422,-0.016567,0.541,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.028295,0
24,27.4544,23,0.497240,-0.670893,-0.016567,0.497106,-0.670422,-0.016567,0.489,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.028437,0
25,27.5509,24,0.497029,-0.670944,-0.016567,0.496955,-0.670422,-0.016567,0.527,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.028520,0
26,27.6510,25,0.497022,-0.671130,-0.016567,0.496804,-0.670422,-0.016567,0.740,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.028720,0
27,27.7512,26,0.496940,-0.671082,-0.016567,0.496653,-0.670422,-0.016567,0.720,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.028920,0
28,27.8505,27,0.496672,-0.671008,-0.016567,0.496501,-0.670422,-0.016567,0.610,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.029097,0
29,27.9499,28,0.496400,-0.670912,-0.016567,0.496350,-0.670422,-0.016567,0.492,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.029156,0
30,28.0536,29,0.496420,-0.670858,-0.016567,0.496198,-0.670422,-0.016567,0.489,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.029356,0
31,28.1500,30,0.496221,-0.670903,-0.016567,0.496047,-0.670422,-0.016567,0.511,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.029535,0
32,28.2523,31,0.496015,-0.670886,-0.016567,0.495895,-0.670422,-0.016567,0.478,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.029661,0
33,28.3505,32,0.495958,-0.670902,-0.016567,0.495744,-0.670422,-0.016567,0.526,-0.856321,-1.945837,-1.761782,-1.033200,1.562364,-2.056400,0.029861,0
