step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,29.0036,0,0.495630,-0.670237,-0.016567,0.495523,-0.670194,-0.016567,0.116,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.030001,0
2,29.0533,0,0.495630,-0.670237,-0.016567,0.495523,-0.670194,-0.016567,0.116,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.029941,0
3,29.1673,2,0.495657,-0.670227,-0.016567,0.495161,-0.670013,-0.016567,0.540,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.030295,0
4,29.2730,3,0.495657,-0.670227,-0.016567,0.495000,-0.669933,-0.016567,0.720,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.030495,0
5,29.3701,4,0.495441,-0.670216,-0.016567,0.494841,-0.669853,-0.016567,0.702,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.030695,0
6,29.4693,5,0.495116,-0.670133,-0.016567,0.494684,-0.669775,-0.016567,0.561,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.030895,0
7,29.5909,6,0.495019,-0.669987,-0.016567,0.494528,-0.669697,-0.016567,0.571,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031088,0
8,29.6517,7,0.494956,-0.669663,-0.016567,0.494372,-0.669618,-0.016567,0.586,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031271,0
9,29.7566,8,0.494513,-0.669452,-0.016567,0.494216,-0.669541,-0.016567,0.310,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031377,0
10,29.8555,9,0.494068,-0.669551,-0.016567,0.494060,-0.669463,-0.016567,0.089,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031469,0
11,29.9527,10,0.494142,-0.669422,-0.016567,0.493905,-0.669385,-0.016567,0.240,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031660,0
12,30.0587,11,0.494093,-0.669112,-0.016567,0.493750,-0.669308,-0.016567,0.395,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031846,0
13,30.1656,12,0.493730,-0.669385,-0.016567,0.493595,-0.669230,-0.016567,0.206,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.031971,0
14,30.2709,13,0.493570,-0.668933,-0.016567,0.493440,-0.669153,-0.016567,0.256,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.032120,0
15,30.3576,14,0.493408,-0.668792,-0.016567,0.493285,-0.669075,-0.016567,0.309,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.032276,0
16,30.4885,15,0.493246,-0.668806,-0.016567,0.493131,-0.668998,-0.016567,0.224,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.032433,0
17,30.5888,16,0.493337,-0.668670,-0.016567,0.492976,-0.668921,-0.016567,0.439,-0.856354,-1.945837,-1.761763,-1.033196,1.562343,-2.056412,0.032633,0
