step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.3236,0,0.495687,-0.670642,-0.016567,0.495631,-0.670575,-0.016567,0.087,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.030054,0
2,18.4237,0,0.495687,-0.670642,-0.016567,0.495631,-0.670575,-0.016567,0.087,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.030108,0
3,18.5238,2,0.495561,-0.670615,-0.016567,0.495269,-0.670394,-0.016567,0.366,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.030308,0
4,18.6238,3,0.495654,-0.670490,-0.016567,0.495108,-0.670314,-0.016567,0.574,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.030508,0
5,18.7235,4,0.495292,-0.670265,-0.016567,0.494950,-0.670234,-0.016567,0.344,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.030708,0
6,18.8234,5,0.494886,-0.670303,-0.016567,0.494793,-0.670156,-0.016567,0.175,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.030843,0
7,18.9234,6,0.494887,-0.670295,-0.016567,0.494636,-0.670077,-0.016567,0.332,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031029,0
8,19.0235,7,0.494505,-0.670305,-0.016567,0.494480,-0.669999,-0.016567,0.307,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031150,0
9,19.1233,8,0.494568,-0.670246,-0.016567,0.494324,-0.669922,-0.016567,0.406,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031345,0
10,19.2236,9,0.494521,-0.669956,-0.016567,0.494169,-0.669844,-0.016567,0.370,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031530,0
11,19.3237,10,0.494064,-0.670067,-0.016567,0.494013,-0.669766,-0.016567,0.305,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031638,0
12,19.4240,11,0.494022,-0.669973,-0.016567,0.493858,-0.669688,-0.016567,0.329,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031808,0
13,19.5235,12,0.493826,-0.670116,-0.016567,0.493703,-0.669611,-0.016567,0.520,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.031966,0
14,19.6236,13,0.493621,-0.669913,-0.016567,0.493548,-0.669534,-0.016567,0.386,-0.856352,-1.945849,-1.761766,-1.033212,1.562352,-2.056427,0.032113,0
