step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.3682,0,0.495630,-0.670303,-0.016567,0.495515,-0.670301,-0.016567,0.115,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.030002,0
2,20.4678,0,0.495630,-0.670303,-0.016567,0.495515,-0.670301,-0.016567,0.115,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.029944,0
3,20.5696,2,0.495667,-0.670469,-0.016567,0.495153,-0.670120,-0.016567,0.622,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.030298,0
4,20.6685,3,0.495630,-0.670303,-0.016567,0.494992,-0.670040,-0.016567,0.690,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.030498,0
5,20.7699,4,0.495279,-0.670272,-0.016567,0.494833,-0.669960,-0.016567,0.544,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.030698,0
6,20.8688,5,0.495088,-0.670268,-0.016567,0.494676,-0.669882,-0.016567,0.564,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.030898,0
7,20.9681,6,0.494907,-0.670290,-0.016567,0.494520,-0.669804,-0.016567,0.621,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.031070,0
8,21.0679,7,0.494650,-0.669984,-0.016567,0.494364,-0.669726,-0.016567,0.386,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.031210,0
9,21.1683,8,0.494735,-0.670032,-0.016567,0.494208,-0.669648,-0.016567,0.652,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.031410,0
10,21.2684,9,0.494295,-0.669655,-0.016567,0.494052,-0.669570,-0.016567,0.257,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.031521,0
11,21.3680,10,0.494171,-0.669517,-0.016567,0.493897,-0.669492,-0.016567,0.276,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.031676,0
12,21.4679,11,0.493892,-0.669214,-0.016567,0.493742,-0.669415,-0.016567,0.250,-0.856364,-1.945837,-1.761794,-1.033205,1.562355,-2.056396,0.031806,0
