step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.3280,0,0.500616,-0.669872,-0.016567,0.500454,-0.669811,-0.016567,0.173,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025000,0
2,24.3470,0,0.500616,-0.669872,-0.016567,0.500454,-0.669811,-0.016567,0.173,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025000,0
3,24.4196,3,0.500478,-0.669871,-0.016567,0.499923,-0.669432,-0.016567,0.708,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025188,0
4,24.5179,4,0.500392,-0.669491,-0.016567,0.499726,-0.669291,-0.016567,0.695,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025378,0
5,24.6180,5,0.500042,-0.669424,-0.016567,0.499529,-0.669150,-0.016567,0.581,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025567,0
6,24.7177,6,0.499893,-0.669451,-0.016567,0.499333,-0.669010,-0.016567,0.712,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025756,0
7,24.8186,6,0.499793,-0.669433,-0.016567,0.499333,-0.669010,-0.016567,0.625,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.025945,0
8,24.9175,7,0.499644,-0.669440,-0.016567,0.499138,-0.668871,-0.016567,0.762,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.026134,0
9,25.0179,8,0.499297,-0.669424,-0.016567,0.498943,-0.668731,-0.016567,0.778,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.026323,0
10,25.1177,10,0.498991,-0.669479,-0.016567,0.498557,-0.668456,-0.016567,1.111,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.026512,0
11,25.2175,11,0.498823,-0.669436,-0.016567,0.498366,-0.668320,-0.016567,1.206,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.026701,0
12,25.3250,11,0.498640,-0.669412,-0.016567,0.498366,-0.668320,-0.016567,1.126,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.026890,0
13,25.4314,13,0.498499,-0.669430,-0.016567,0.497990,-0.668051,-0.016567,1.470,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.027079,0
14,25.5201,13,0.498415,-0.669440,-0.016567,0.497990,-0.668051,-0.016567,1.453,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.027268,0
15,25.6182,14,0.498141,-0.669431,-0.016567,0.497804,-0.667918,-0.016567,1.550,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.027457,0
16,25.7340,15,0.498011,-0.669621,-0.016567,0.497620,-0.667787,-0.016567,1.875,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.027646,0
17,25.8456,16,0.497933,-0.669499,-0.016567,0.497438,-0.667657,-0.016567,1.908,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.027835,0
18,25.9233,18,0.497595,-0.669647,-0.016567,0.497079,-0.667400,-0.016567,2.305,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.028024,0
19,26.1098,19,0.497306,-0.669632,-0.016567,0.496903,-0.667274,-0.016567,2.392,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.028214,0
20,26.1205,19,0.497365,-0.669962,-0.016567,0.496903,-0.667274,-0.016567,2.727,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.028403,0
21,26.2434,20,0.497036,-0.669596,-0.016567,0.496728,-0.667149,-0.016567,2.466,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.028592,0
22,26.3316,22,0.496707,-0.669621,-0.016567,0.496383,-0.666903,-0.016567,2.737,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.028781,0
23,26.4180,23,0.496433,-0.669621,-0.016567,0.496214,-0.666782,-0.016567,2.847,-0.856317,-1.945840,-1.761763,-1.033212,1.562355,-2.056424,0.028970,0
