step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.9151,0,0.500816,-0.670244,-0.016567,0.500751,-0.670197,-0.016567,0.081,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.025094,0
2,24.0431,2,0.500792,-0.670228,-0.016567,0.500420,-0.669960,-0.016567,0.459,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.025294,0
3,24.2049,3,0.500792,-0.670228,-0.016567,0.500221,-0.669818,-0.016567,0.703,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.025494,0
4,24.3442,4,0.500665,-0.670044,-0.016567,0.500024,-0.669677,-0.016567,0.739,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.025694,0
5,24.5319,6,0.500469,-0.669980,-0.016567,0.499631,-0.669396,-0.016567,1.021,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.025894,0
6,24.7294,8,0.500072,-0.669489,-0.016567,0.499240,-0.669118,-0.016567,0.911,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.026094,0
7,24.8333,9,0.499910,-0.669454,-0.016567,0.499047,-0.668979,-0.016567,0.985,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.026294,0
8,25.0814,11,0.499687,-0.669479,-0.016567,0.498664,-0.668706,-0.016567,1.282,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.026494,0
9,25.2505,13,0.499406,-0.669273,-0.016567,0.498287,-0.668437,-0.016567,1.396,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.026694,0
10,25.5005,15,0.499431,-0.669037,-0.016567,0.497918,-0.668173,-0.016567,1.743,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.026894,0
11,25.6516,17,0.498856,-0.668713,-0.016567,0.497555,-0.667914,-0.016567,1.526,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.027094,0
12,25.8281,18,0.498818,-0.668695,-0.016567,0.497377,-0.667787,-0.016567,1.704,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.027294,0
13,26.1043,20,0.498669,-0.668719,-0.016567,0.497025,-0.667535,-0.016567,2.026,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.027494,0
14,26.4223,23,0.498483,-0.668713,-0.016567,0.496511,-0.667169,-0.016567,2.504,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.027694,0
15,26.6402,26,0.498224,-0.668770,-0.016567,0.496015,-0.666814,-0.016567,2.950,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.027894,0
16,26.7957,29,0.497887,-0.668693,-0.016567,0.495534,-0.666470,-0.016567,3.236,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.028094,0
17,27.0902,30,0.497821,-0.668833,-0.016567,0.495377,-0.666358,-0.016567,3.478,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.028294,0
18,27.2604,33,0.497783,-0.669019,-0.016567,0.494913,-0.666027,-0.016567,4.146,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.028494,0
19,27.5592,35,0.497513,-0.668744,-0.016567,0.494609,-0.665810,-0.016567,4.128,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.028694,0
20,27.8609,38,0.497188,-0.669188,-0.016567,0.494160,-0.665489,-0.016567,4.781,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.028894,0
21,28.1524,41,0.496782,-0.668814,-0.016567,0.493714,-0.665170,-0.016567,4.764,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.029094,0
22,28.4942,44,0.496802,-0.668881,-0.016567,0.493272,-0.664855,-0.016567,5.355,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.029294,0
23,28.8239,47,0.496569,-0.668720,-0.016567,0.492833,-0.664541,-0.016567,5.606,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.029494,0
24,29.1437,50,0.496358,-0.668719,-0.016567,0.492395,-0.664228,-0.016567,5.989,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.029694,0
25,29.5083,54,0.496147,-0.668728,-0.016567,0.491809,-0.663810,-0.016567,6.557,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.029894,0
26,29.8350,57,0.495913,-0.668762,-0.016567,0.491364,-0.663492,-0.016567,6.961,-0.856329,-1.945837,-1.761747,-1.033215,1.562348,-2.056382,0.030094,0
