step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.2748,0,0.500870,-0.670131,-0.016567,0.500793,-0.670125,-0.016567,0.077,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.025096,0
2,24.3540,2,0.500768,-0.670103,-0.016567,0.500462,-0.669889,-0.016567,0.374,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.025296,0
3,24.4239,2,0.500830,-0.670071,-0.016567,0.500462,-0.669889,-0.016567,0.411,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.025496,0
4,24.4892,3,0.500965,-0.669823,-0.016567,0.500262,-0.669746,-0.016567,0.707,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.025696,0
5,24.5811,4,0.500157,-0.669514,-0.016567,0.500065,-0.669606,-0.016567,0.130,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.025831,0
6,24.6979,6,0.499972,-0.669417,-0.016567,0.499672,-0.669325,-0.016567,0.313,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.026031,0
7,24.8171,6,0.499841,-0.669687,-0.016567,0.499672,-0.669325,-0.016567,0.400,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.026231,0
8,24.8957,7,0.499679,-0.669429,-0.016567,0.499477,-0.669185,-0.016567,0.317,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.026431,0
9,24.9790,8,0.499408,-0.669465,-0.016567,0.499282,-0.669046,-0.016567,0.438,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.026592,0
10,25.0888,8,0.499408,-0.669465,-0.016567,0.499282,-0.669046,-0.016567,0.438,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.026754,0
11,25.1876,10,0.498924,-0.668953,-0.016567,0.498896,-0.668770,-0.016567,0.185,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.026938,0
12,25.2882,11,0.498829,-0.668961,-0.016567,0.498706,-0.668634,-0.016567,0.350,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.027138,0
13,25.3876,12,0.498639,-0.668817,-0.016567,0.498516,-0.668499,-0.016567,0.340,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.027337,0
14,25.4880,13,0.498526,-0.668764,-0.016567,0.498329,-0.668365,-0.016567,0.445,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.027537,0
15,25.5912,14,0.498222,-0.668810,-0.016567,0.498143,-0.668233,-0.016567,0.583,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.027713,0
16,25.6875,15,0.497917,-0.668919,-0.016567,0.497960,-0.668101,-0.016567,0.819,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.027877,0
17,25.7808,16,0.497877,-0.669089,-0.016567,0.497777,-0.667971,-0.016567,1.122,-0.856355,-1.945852,-1.761782,-1.033212,1.562345,-2.056415,0.028077,0
