step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.3448,0,0.500481,-0.670218,-0.016567,0.500365,-0.670200,-0.016567,0.117,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.025103,0
2,21.4439,0,0.500481,-0.670218,-0.016567,0.500365,-0.670200,-0.016567,0.117,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.025207,0
3,21.5460,2,0.500323,-0.670260,-0.016567,0.500034,-0.669964,-0.016567,0.414,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.025407,0
4,21.6447,3,0.500148,-0.669987,-0.016567,0.499834,-0.669821,-0.016567,0.355,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.025607,0
5,21.7454,4,0.499864,-0.669969,-0.016567,0.499637,-0.669681,-0.016567,0.366,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.025807,0
6,21.8453,5,0.499756,-0.670007,-0.016567,0.499440,-0.669540,-0.016567,0.564,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.026007,0
7,21.9457,6,0.499570,-0.670006,-0.016567,0.499244,-0.669400,-0.016567,0.688,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.026207,0
8,22.0456,7,0.499332,-0.669879,-0.016567,0.499049,-0.669260,-0.016567,0.680,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.026407,0
9,22.1452,8,0.499216,-0.669957,-0.016567,0.498854,-0.669121,-0.016567,0.911,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.026607,0
10,22.2455,9,0.498880,-0.669447,-0.016567,0.498660,-0.668983,-0.016567,0.513,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.026798,0
11,22.3448,10,0.498604,-0.669195,-0.016567,0.498468,-0.668846,-0.016567,0.375,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.026970,0
12,22.4454,11,0.498444,-0.669314,-0.016567,0.498277,-0.668709,-0.016567,0.627,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.027163,0
13,22.5454,12,0.498265,-0.669262,-0.016567,0.498088,-0.668574,-0.016567,0.710,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.027356,0
14,22.6450,13,0.498069,-0.669228,-0.016567,0.497901,-0.668440,-0.016567,0.805,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.027545,0
15,22.7454,14,0.497968,-0.669215,-0.016567,0.497715,-0.668308,-0.016567,0.942,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.027745,0
16,22.8451,15,0.497861,-0.669235,-0.016567,0.497532,-0.668177,-0.016567,1.109,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.027945,0
17,22.9452,16,0.497675,-0.669308,-0.016567,0.497349,-0.668047,-0.016567,1.303,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.028145,0
18,23.0452,17,0.497302,-0.668747,-0.016567,0.497169,-0.667918,-0.016567,0.840,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.028301,0
19,23.1450,18,0.497197,-0.668716,-0.016567,0.496990,-0.667790,-0.016567,0.949,-0.856336,-1.945849,-1.761747,-1.033200,1.562355,-2.056397,0.028499,0
