step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.2332,0,0.500727,-0.669917,-0.016567,0.500665,-0.669924,-0.016567,0.063,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025093,0
2,21.3059,1,0.500737,-0.669982,-0.016567,0.500528,-0.669827,-0.016567,0.260,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025293,0
3,21.4738,3,0.500463,-0.669515,-0.016567,0.500134,-0.669545,-0.016567,0.330,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
4,21.5661,4,0.500469,-0.669475,-0.016567,0.499937,-0.669405,-0.016567,0.536,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
5,21.6626,5,0.500234,-0.669535,-0.016567,0.499740,-0.669264,-0.016567,0.564,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
6,21.7626,6,0.500149,-0.669527,-0.016567,0.499544,-0.669124,-0.016567,0.727,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
7,21.8638,7,0.500122,-0.669438,-0.016567,0.499348,-0.668984,-0.016567,0.897,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
8,21.9648,8,0.500191,-0.669491,-0.016567,0.499154,-0.668845,-0.016567,1.222,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
9,22.0627,9,0.500191,-0.669491,-0.016567,0.498960,-0.668707,-0.016567,1.459,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
10,22.1645,10,0.500170,-0.669474,-0.016567,0.498768,-0.668570,-0.016567,1.669,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
11,22.2668,11,0.500087,-0.669504,-0.016567,0.498577,-0.668433,-0.016567,1.851,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
12,22.3627,12,0.500191,-0.669491,-0.016567,0.498388,-0.668298,-0.016567,2.162,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
13,22.4628,13,0.500191,-0.669491,-0.016567,0.498201,-0.668164,-0.016567,2.392,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
14,22.5630,13,0.500191,-0.669491,-0.016567,0.498201,-0.668164,-0.016567,2.392,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
15,22.6629,15,0.500276,-0.669500,-0.016567,0.497831,-0.667901,-0.016567,2.921,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
16,22.7635,15,0.500191,-0.669491,-0.016567,0.497831,-0.667901,-0.016567,2.845,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
17,22.8626,17,0.500389,-0.669449,-0.016567,0.497469,-0.667642,-0.016567,3.434,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
18,22.9628,18,0.500214,-0.669517,-0.016567,0.497290,-0.667514,-0.016567,3.544,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
19,23.0628,19,0.500191,-0.669491,-0.016567,0.497114,-0.667388,-0.016567,3.727,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
20,23.1629,20,0.500118,-0.669498,-0.016567,0.496939,-0.667263,-0.016567,3.886,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
21,23.2631,21,0.500191,-0.669491,-0.016567,0.496766,-0.667139,-0.016567,4.155,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025493,0
22,23.3636,21,0.500170,-0.669474,-0.016567,0.496766,-0.667139,-0.016567,4.128,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
23,23.4643,22,0.500191,-0.669491,-0.016567,0.496594,-0.667017,-0.016567,4.365,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
24,23.5629,23,0.500087,-0.669504,-0.016567,0.496425,-0.666896,-0.016567,4.496,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
25,23.6630,25,0.499735,-0.669460,-0.016567,0.496092,-0.666658,-0.016567,4.595,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
26,23.7627,26,0.499787,-0.669464,-0.016567,0.495929,-0.666542,-0.016567,4.840,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
27,23.8630,27,0.499764,-0.669385,-0.016567,0.495767,-0.666426,-0.016567,4.974,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
28,23.9628,28,0.499764,-0.669385,-0.016567,0.495607,-0.666311,-0.016567,5.171,-0.856324,-1.945825,-1.761790,-1.033208,1.562367,-2.056397,0.025693,0
