step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,26.6958,0,0.500683,-0.670485,-0.016567,0.500670,-0.670508,-0.016567,0.026,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025007,0
2,26.7944,1,0.500573,-0.670420,-0.016567,0.500533,-0.670410,-0.016567,0.041,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025031,0
3,26.8944,2,0.500610,-0.670362,-0.016567,0.500338,-0.670271,-0.016567,0.287,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025196,0
4,26.9945,3,0.500469,-0.670239,-0.016567,0.500139,-0.670129,-0.016567,0.348,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025395,0
5,27.0944,4,0.500254,-0.670111,-0.016567,0.499942,-0.669988,-0.016567,0.335,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025584,0
6,27.1944,5,0.500042,-0.670169,-0.016567,0.499745,-0.669847,-0.016567,0.437,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025767,0
7,27.2944,6,0.499785,-0.670147,-0.016567,0.499549,-0.669707,-0.016567,0.499,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.025916,0
8,27.3944,7,0.499577,-0.669990,-0.016567,0.499353,-0.669568,-0.016567,0.478,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.026058,0
9,27.4945,8,0.499439,-0.670032,-0.016567,0.499159,-0.669429,-0.016567,0.666,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.026236,0
10,27.5944,9,0.499413,-0.669558,-0.016567,0.498965,-0.669290,-0.016567,0.522,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.026436,0
11,27.6944,10,0.499003,-0.669820,-0.016567,0.498773,-0.669153,-0.016567,0.706,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.026586,0
12,27.7945,11,0.498854,-0.669597,-0.016567,0.498582,-0.669017,-0.016567,0.641,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.026759,0
13,27.8944,12,0.498535,-0.669962,-0.016567,0.498393,-0.668882,-0.016567,1.090,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.026864,0
14,27.9945,13,0.498529,-0.669973,-0.016567,0.498205,-0.668748,-0.016567,1.267,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.027064,0
15,28.0944,14,0.498322,-0.670032,-0.016567,0.498020,-0.668615,-0.016567,1.449,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.027264,0
16,28.1944,15,0.498208,-0.670003,-0.016567,0.497836,-0.668484,-0.016567,1.564,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.027464,0
17,28.2944,16,0.498091,-0.670134,-0.016567,0.497654,-0.668354,-0.016567,1.833,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.027664,0
18,28.3944,17,0.497807,-0.670169,-0.016567,0.497474,-0.668225,-0.016567,1.972,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.027864,0
19,28.4944,18,0.497760,-0.670186,-0.016567,0.497295,-0.668097,-0.016567,2.140,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.028064,0
20,28.5944,19,0.497395,-0.670208,-0.016567,0.497118,-0.667971,-0.016567,2.254,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.028264,0
21,28.6944,20,0.497204,-0.670199,-0.016567,0.496943,-0.667846,-0.016567,2.367,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.028462,0
22,28.7944,21,0.497036,-0.670004,-0.016567,0.496770,-0.667723,-0.016567,2.297,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.028662,0
23,28.8944,22,0.496660,-0.669387,-0.016567,0.496599,-0.667600,-0.016567,1.788,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.028730,0
24,28.9945,23,0.496490,-0.669555,-0.016567,0.496430,-0.667479,-0.016567,2.076,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.028803,0
25,29.0945,24,0.496551,-0.669416,-0.016567,0.496263,-0.667360,-0.016567,2.076,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.029003,0
26,29.1944,25,0.496291,-0.669440,-0.016567,0.496097,-0.667242,-0.016567,2.206,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.029159,0
27,29.2944,26,0.496170,-0.669501,-0.016567,0.495934,-0.667125,-0.016567,2.388,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.029344,0
28,29.3944,27,0.495943,-0.669400,-0.016567,0.495772,-0.667009,-0.016567,2.397,-0.856364,-1.945821,-1.761778,-1.033168,1.562327,-2.056409,0.029490,0
