step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.1327,0,0.500498,-0.669582,-0.016567,0.500535,-0.669632,-0.016567,0.062,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.025073,0
2,24.2079,1,0.500497,-0.669675,-0.016567,0.500398,-0.669534,-0.016567,0.171,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.025273,0
3,24.3433,3,0.500503,-0.669590,-0.016567,0.500004,-0.669253,-0.016567,0.602,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.025473,0
4,24.4052,3,0.500503,-0.669590,-0.016567,0.500004,-0.669253,-0.016567,0.602,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.025673,0
5,24.5417,5,0.500015,-0.669572,-0.016567,0.499610,-0.668972,-0.016567,0.725,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.025873,0
6,24.6172,6,0.499816,-0.669999,-0.016567,0.499414,-0.668832,-0.016567,1.235,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.026073,0
7,24.7173,7,0.499507,-0.669674,-0.016567,0.499219,-0.668692,-0.016567,1.023,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.026273,0
8,24.8156,8,0.499408,-0.669465,-0.016567,0.499024,-0.668553,-0.016567,0.990,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.026473,0
9,24.9131,9,0.499153,-0.669369,-0.016567,0.498830,-0.668414,-0.016567,1.008,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.026673,0
10,25.0060,10,0.498896,-0.669264,-0.016567,0.498638,-0.668277,-0.016567,1.020,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.026873,0
11,25.1103,11,0.498605,-0.669098,-0.016567,0.498447,-0.668141,-0.016567,0.970,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.027073,0
12,25.1958,12,0.498438,-0.669284,-0.016567,0.498258,-0.668006,-0.016567,1.291,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.027273,0
13,25.3032,13,0.498398,-0.669134,-0.016567,0.498071,-0.667872,-0.016567,1.304,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.027473,0
14,25.4066,14,0.498327,-0.669044,-0.016567,0.497885,-0.667739,-0.016567,1.377,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.027673,0
15,25.5024,15,0.498045,-0.669416,-0.016567,0.497701,-0.667608,-0.016567,1.840,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.027873,0
16,25.6110,16,0.497664,-0.669476,-0.016567,0.497519,-0.667478,-0.016567,2.003,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.028073,0
17,25.6906,16,0.497583,-0.669528,-0.016567,0.497519,-0.667478,-0.016567,2.051,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.028273,0
18,25.7929,17,0.497146,-0.668936,-0.016567,0.497339,-0.667349,-0.016567,1.598,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.028273,0
19,25.8935,18,0.497043,-0.669495,-0.016567,0.497160,-0.667222,-0.016567,2.276,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.028438,0
20,26.0343,20,0.497021,-0.669220,-0.016567,0.496809,-0.666971,-0.016567,2.259,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.028638,0
21,26.1989,21,0.496950,-0.669046,-0.016567,0.496636,-0.666847,-0.016567,2.221,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.028838,0
22,26.3220,22,0.496767,-0.668896,-0.016567,0.496465,-0.666725,-0.016567,2.193,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.029038,0
23,26.4507,23,0.496408,-0.668911,-0.016567,0.496295,-0.666604,-0.016567,2.310,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.029238,0
24,26.5585,24,0.496234,-0.668792,-0.016567,0.496128,-0.666484,-0.016567,2.310,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.029438,0
25,26.6583,25,0.496078,-0.668818,-0.016567,0.495962,-0.666366,-0.016567,2.454,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.029638,0
26,26.8399,27,0.495921,-0.668952,-0.016567,0.495637,-0.666133,-0.016567,2.832,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.029838,0
27,27.0318,29,0.495656,-0.668763,-0.016567,0.495318,-0.665906,-0.016567,2.877,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.030038,0
28,27.1547,30,0.495367,-0.668748,-0.016567,0.495161,-0.665793,-0.016567,2.961,-0.856364,-1.945818,-1.761739,-1.033223,1.562339,-2.056400,0.030238,0
