step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.2898,0,0.500391,-0.671853,-0.016567,0.500294,-0.671808,-0.016567,0.107,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.025059,0
2,21.3889,1,0.500300,-0.671871,-0.016567,0.500157,-0.671710,-0.016567,0.215,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.025147,0
3,21.4891,2,0.500465,-0.671869,-0.016567,0.499962,-0.671571,-0.016567,0.585,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.025347,0
4,21.5889,3,0.500214,-0.671909,-0.016567,0.499763,-0.671429,-0.016567,0.659,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.025547,0
5,21.6890,4,0.500051,-0.671825,-0.016567,0.499566,-0.671288,-0.016567,0.723,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.025747,0
6,21.7890,5,0.499864,-0.671827,-0.016567,0.499369,-0.671147,-0.016567,0.841,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.025947,0
7,21.8890,6,0.499504,-0.671857,-0.016567,0.499173,-0.671007,-0.016567,0.912,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.026147,0
8,21.9889,7,0.499516,-0.672306,-0.016567,0.498978,-0.670867,-0.016567,1.536,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.026347,0
9,22.0889,8,0.499061,-0.671889,-0.016567,0.498783,-0.670728,-0.016567,1.193,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.026534,0
10,22.1890,9,0.498966,-0.671891,-0.016567,0.498589,-0.670590,-0.016567,1.354,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.026734,0
11,22.2889,10,0.498740,-0.671932,-0.016567,0.498397,-0.670453,-0.016567,1.519,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.026934,0
12,22.3889,11,0.498300,-0.671857,-0.016567,0.498206,-0.670317,-0.016567,1.543,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.027018,0
13,22.4889,12,0.498355,-0.671864,-0.016567,0.498017,-0.670182,-0.016567,1.716,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.027218,0
14,22.5890,13,0.498120,-0.671760,-0.016567,0.497830,-0.670048,-0.016567,1.736,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.027418,0
15,22.6890,14,0.498145,-0.671862,-0.016567,0.497644,-0.669915,-0.016567,2.010,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.027618,0
16,22.7891,15,0.497558,-0.671798,-0.016567,0.497460,-0.669784,-0.016567,2.017,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.027713,0
17,22.8892,16,0.497667,-0.671645,-0.016567,0.497278,-0.669654,-0.016567,2.028,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.027913,0
18,22.9889,17,0.497554,-0.671694,-0.016567,0.497098,-0.669525,-0.016567,2.216,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.028113,0
19,23.0889,18,0.497358,-0.671678,-0.016567,0.496919,-0.669397,-0.016567,2.323,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.028313,0
20,23.1888,19,0.497271,-0.671633,-0.016567,0.496743,-0.669271,-0.016567,2.420,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.028513,0
21,23.2888,20,0.496891,-0.671618,-0.016567,0.496568,-0.669146,-0.016567,2.493,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.028713,0
22,23.3889,21,0.496478,-0.671683,-0.016567,0.496395,-0.669023,-0.016567,2.661,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.028811,0
23,23.4890,21,0.496840,-0.671693,-0.016567,0.496395,-0.669023,-0.016567,2.707,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.029011,0
24,23.5891,23,0.496511,-0.671513,-0.016567,0.496054,-0.668779,-0.016567,2.772,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.029211,0
25,23.6890,24,0.496271,-0.671202,-0.016567,0.495887,-0.668660,-0.016567,2.571,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.029411,0
26,23.7890,25,0.496172,-0.671145,-0.016567,0.495721,-0.668542,-0.016567,2.642,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.029611,0
27,23.8890,26,0.495894,-0.671163,-0.016567,0.495558,-0.668425,-0.016567,2.759,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.029811,0
28,23.9891,27,0.495623,-0.671121,-0.016567,0.495396,-0.668309,-0.016567,2.821,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.029998,0
29,24.0890,28,0.495405,-0.671222,-0.016567,0.495236,-0.668195,-0.016567,3.032,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.030154,0
30,24.1890,28,0.495401,-0.671278,-0.016567,0.495236,-0.668195,-0.016567,3.088,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.030309,0
31,24.2889,30,0.495204,-0.671132,-0.016567,0.494920,-0.667969,-0.016567,3.176,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.030509,0
32,24.3889,31,0.494809,-0.671068,-0.016567,0.494764,-0.667858,-0.016567,3.211,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.030594,0
33,24.4890,32,0.494695,-0.671134,-0.016567,0.494609,-0.667747,-0.016567,3.388,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.030706,0
34,24.5891,33,0.494541,-0.671120,-0.016567,0.494456,-0.667638,-0.016567,3.484,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.030820,0
35,24.6889,34,0.494503,-0.671099,-0.016567,0.494304,-0.667529,-0.016567,3.575,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031004,0
36,24.7889,35,0.494307,-0.671111,-0.016567,0.494152,-0.667421,-0.016567,3.693,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031163,0
37,24.8890,36,0.494090,-0.671080,-0.016567,0.494002,-0.667313,-0.016567,3.768,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031284,0
38,24.9891,37,0.494064,-0.671066,-0.016567,0.493852,-0.667206,-0.016567,3.865,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031481,0
39,25.0889,38,0.493800,-0.671186,-0.016567,0.493702,-0.667099,-0.016567,4.088,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031613,0
40,25.1889,39,0.493674,-0.671104,-0.016567,0.493553,-0.666993,-0.016567,4.113,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031759,0
41,25.2889,40,0.493407,-0.671128,-0.016567,0.493405,-0.666887,-0.016567,4.241,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.031838,0
42,25.3889,41,0.493473,-0.671125,-0.016567,0.493257,-0.666781,-0.016567,4.349,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032038,0
43,25.4890,42,0.493328,-0.671113,-0.016567,0.493109,-0.666676,-0.016567,4.443,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032238,0
44,25.5895,43,0.493275,-0.670991,-0.016567,0.492962,-0.666570,-0.016567,4.431,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032438,0
45,25.6889,44,0.492971,-0.671035,-0.016567,0.492815,-0.666465,-0.016567,4.573,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032614,0
46,25.7888,45,0.492878,-0.671013,-0.016567,0.492668,-0.666361,-0.016567,4.658,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032814,0
47,25.8890,46,0.492438,-0.670978,-0.016567,0.492522,-0.666256,-0.016567,4.722,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032849,0
48,25.9890,47,0.492398,-0.670944,-0.016567,0.492375,-0.666152,-0.016567,4.792,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.032949,0
49,26.0889,48,0.492418,-0.670943,-0.016567,0.492230,-0.666047,-0.016567,4.900,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.033149,0
50,26.1889,49,0.492333,-0.670884,-0.016567,0.492084,-0.665943,-0.016567,4.947,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.033349,0
51,26.2889,50,0.492041,-0.671082,-0.016567,0.491938,-0.665839,-0.016567,5.244,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.033505,0
52,26.3890,51,0.491996,-0.670911,-0.016567,0.491792,-0.665735,-0.016567,5.180,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.033705,0
53,26.4892,52,0.491660,-0.671185,-0.016567,0.491646,-0.665630,-0.016567,5.555,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.033814,0
54,26.5889,53,0.491509,-0.671098,-0.016567,0.491499,-0.665526,-0.016567,5.573,-0.856333,-1.945840,-1.761751,-1.033212,1.562348,-2.056397,0.033921,0
