step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.0937,0,0.495397,-0.670713,-0.016567,0.495323,-0.670695,-0.016567,0.076,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030044,0
2,24.1924,1,0.495354,-0.670696,-0.016567,0.495144,-0.670606,-0.016567,0.229,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030173,0
3,24.2924,2,0.495210,-0.670014,-0.016567,0.495008,-0.670538,-0.016567,0.561,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030277,0
4,24.3924,3,0.495340,-0.670516,-0.016567,0.494873,-0.670470,-0.016567,0.469,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030477,0
5,24.4924,4,0.495135,-0.670064,-0.016567,0.494731,-0.670399,-0.016567,0.525,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030677,0
6,24.5924,5,0.494783,-0.670067,-0.016567,0.494591,-0.670329,-0.016567,0.324,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030783,0
7,24.6925,6,0.494641,-0.669922,-0.016567,0.494444,-0.670255,-0.016567,0.387,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.030890,0
8,24.7924,7,0.494634,-0.669979,-0.016567,0.494290,-0.670179,-0.016567,0.397,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031089,0
9,24.8924,8,0.494203,-0.670212,-0.016567,0.494144,-0.670105,-0.016567,0.122,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031127,0
10,24.9924,9,0.494316,-0.670210,-0.016567,0.494009,-0.670038,-0.016567,0.352,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031316,0
11,25.0925,10,0.494391,-0.670077,-0.016567,0.493885,-0.669976,-0.016567,0.516,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031516,0
12,25.1924,11,0.493847,-0.670106,-0.016567,0.493772,-0.669920,-0.016567,0.201,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031567,0
13,25.2924,12,0.493626,-0.670060,-0.016567,0.493664,-0.669865,-0.016567,0.198,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031551,0
14,25.3924,13,0.493656,-0.670054,-0.016567,0.493550,-0.669809,-0.016567,0.267,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031622,0
15,25.4924,14,0.493743,-0.669852,-0.016567,0.493428,-0.669747,-0.016567,0.332,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.031814,0
16,25.5924,15,0.493634,-0.670024,-0.016567,0.493297,-0.669682,-0.016567,0.479,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.032014,0
17,25.6924,16,0.493513,-0.669866,-0.016567,0.493163,-0.669615,-0.016567,0.430,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.032214,0
18,25.7924,17,0.493367,-0.670045,-0.016567,0.493030,-0.669549,-0.016567,0.600,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.032414,0
19,25.8924,18,0.493118,-0.670020,-0.016567,0.492898,-0.669482,-0.016567,0.581,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.032563,0
20,25.9924,19,0.492839,-0.669769,-0.016567,0.492764,-0.669415,-0.016567,0.362,-0.856355,-1.945837,-1.761754,-1.033180,1.562359,-2.056431,0.032619,0
