step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.1116,0,0.495304,-0.670456,-0.016567,0.495300,-0.670546,-0.016567,0.090,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030036,0
2,25.1586,0,0.495304,-0.670456,-0.016567,0.495300,-0.670546,-0.016567,0.090,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030071,0
3,25.2138,2,0.495333,-0.670478,-0.016567,0.494985,-0.670388,-0.016567,0.360,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030271,0
4,25.3155,2,0.495333,-0.670478,-0.016567,0.494985,-0.670388,-0.016567,0.360,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030471,0
5,25.4128,4,0.495111,-0.670180,-0.016567,0.494707,-0.670250,-0.016567,0.410,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030671,0
6,25.5109,5,0.494768,-0.669891,-0.016567,0.494567,-0.670180,-0.016567,0.352,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030846,0
7,25.6166,6,0.494282,-0.669537,-0.016567,0.494420,-0.670106,-0.016567,0.586,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.030937,0
8,25.7161,6,0.494282,-0.669537,-0.016567,0.494420,-0.670106,-0.016567,0.586,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.031028,0
9,25.8250,8,0.494226,-0.669609,-0.016567,0.494120,-0.669956,-0.016567,0.363,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.031228,0
10,25.9363,9,0.494001,-0.669603,-0.016567,0.493985,-0.669889,-0.016567,0.286,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.031428,0
11,26.0301,10,0.493940,-0.669506,-0.016567,0.493862,-0.669827,-0.016567,0.330,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.031611,0
12,26.1140,11,0.493546,-0.669525,-0.016567,0.493749,-0.669770,-0.016567,0.319,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.031722,0
13,26.2191,12,0.493456,-0.669534,-0.016567,0.493640,-0.669716,-0.016567,0.259,-0.856348,-1.945837,-1.761778,-1.033184,1.562320,-2.056412,0.031877,0
