step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.3939,0,0.495199,-0.671027,-0.016567,0.495193,-0.671103,-0.016567,0.075,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.030003,0
2,19.4931,1,0.495275,-0.671009,-0.016567,0.494997,-0.671005,-0.016567,0.277,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.030169,0
3,19.5930,2,0.495210,-0.671038,-0.016567,0.494831,-0.670922,-0.016567,0.397,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.030369,0
4,19.6931,3,0.494827,-0.670282,-0.016567,0.494670,-0.670841,-0.016567,0.580,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.030452,0
5,19.7931,4,0.494951,-0.670998,-0.016567,0.494511,-0.670762,-0.016567,0.499,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.030652,0
6,19.8930,5,0.494871,-0.669940,-0.016567,0.494354,-0.670683,-0.016567,0.906,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.030852,0
7,19.9931,6,0.494470,-0.669966,-0.016567,0.494198,-0.670605,-0.016567,0.694,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.031003,0
8,20.0931,7,0.494113,-0.670090,-0.016567,0.494042,-0.670527,-0.016567,0.443,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.031038,0
9,20.1931,8,0.494160,-0.670267,-0.016567,0.493886,-0.670449,-0.016567,0.329,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.031199,0
10,20.2933,9,0.494220,-0.670023,-0.016567,0.493730,-0.670371,-0.016567,0.601,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.031399,0
11,20.3930,10,0.493969,-0.670232,-0.016567,0.493575,-0.670294,-0.016567,0.399,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.031599,0
12,20.4930,11,0.493782,-0.670501,-0.016567,0.493420,-0.670216,-0.016567,0.460,-0.856314,-1.945840,-1.761763,-1.033208,1.562324,-2.056385,0.031799,0
