step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.0841,0,0.495274,-0.670815,-0.016567,0.495166,-0.670748,-0.016567,0.127,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.030065,0
2,23.1319,1,0.495280,-0.670766,-0.016567,0.494970,-0.670650,-0.016567,0.331,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.030238,0
3,23.2335,3,0.495110,-0.670271,-0.016567,0.494643,-0.670487,-0.016567,0.515,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.030438,0
4,23.3321,3,0.494926,-0.670269,-0.016567,0.494643,-0.670487,-0.016567,0.357,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.030569,0
5,23.4317,4,0.494733,-0.670050,-0.016567,0.494484,-0.670407,-0.016567,0.436,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.030715,0
6,23.5314,5,0.494620,-0.669985,-0.016567,0.494327,-0.670329,-0.016567,0.452,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.030881,0
7,23.6343,7,0.494192,-0.670279,-0.016567,0.494014,-0.670172,-0.016567,0.207,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031081,0
8,23.7329,8,0.494082,-0.670282,-0.016567,0.493859,-0.670095,-0.016567,0.292,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031281,0
9,23.8335,9,0.493851,-0.670294,-0.016567,0.493703,-0.670017,-0.016567,0.314,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031479,0
10,23.9315,10,0.493517,-0.670063,-0.016567,0.493548,-0.669939,-0.016567,0.128,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031610,0
11,24.0319,10,0.493640,-0.669985,-0.016567,0.493548,-0.669939,-0.016567,0.103,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031660,0
12,24.1322,11,0.493515,-0.670014,-0.016567,0.493393,-0.669862,-0.016567,0.195,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031804,0
13,24.2316,12,0.493452,-0.669945,-0.016567,0.493238,-0.669784,-0.016567,0.268,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.031979,0
14,24.3343,14,0.493436,-0.669524,-0.016567,0.492928,-0.669629,-0.016567,0.519,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.032179,0
15,24.4340,15,0.493000,-0.669533,-0.016567,0.492774,-0.669552,-0.016567,0.227,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.032379,0
16,24.5340,15,0.492902,-0.669715,-0.016567,0.492774,-0.669552,-0.016567,0.207,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.032460,0
17,24.6328,16,0.492889,-0.669572,-0.016567,0.492619,-0.669475,-0.016567,0.287,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.032630,0
18,24.7332,17,0.492681,-0.669534,-0.016567,0.492465,-0.669398,-0.016567,0.255,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.032782,0
19,24.8336,18,0.492416,-0.669494,-0.016567,0.492311,-0.669321,-0.016567,0.202,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.032918,0
20,24.9333,19,0.492318,-0.669524,-0.016567,0.492158,-0.669244,-0.016567,0.323,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.033084,0
21,25.0340,21,0.492130,-0.669491,-0.016567,0.491850,-0.669090,-0.016567,0.488,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.033284,0
22,25.1348,22,0.492064,-0.669336,-0.016567,0.491697,-0.669014,-0.016567,0.488,-0.856345,-1.945845,-1.761761,-1.033187,1.562355,-2.056393,0.033484,0
