step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.1850,0,0.495466,-0.671016,-0.016567,0.495416,-0.670974,-0.016567,0.065,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.030053,0
2,24.2327,0,0.495466,-0.671016,-0.016567,0.495416,-0.670974,-0.016567,0.065,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.030105,0
3,24.3354,2,0.495384,-0.670995,-0.016567,0.495054,-0.670793,-0.016567,0.387,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.030305,0
4,24.4354,3,0.495313,-0.671008,-0.016567,0.494894,-0.670712,-0.016567,0.514,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.030505,0
5,24.5324,4,0.494993,-0.670270,-0.016567,0.494735,-0.670633,-0.016567,0.445,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.030702,0
6,24.6316,5,0.494887,-0.670294,-0.016567,0.494578,-0.670555,-0.016567,0.405,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.030880,0
7,24.7334,6,0.494584,-0.669986,-0.016567,0.494422,-0.670476,-0.016567,0.516,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.031011,0
8,24.8324,7,0.494315,-0.670286,-0.016567,0.494265,-0.670398,-0.016567,0.123,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.031146,0
9,24.9316,8,0.494218,-0.670243,-0.016567,0.494110,-0.670320,-0.016567,0.133,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.031312,0
10,25.0319,9,0.494171,-0.670279,-0.016567,0.493954,-0.670243,-0.016567,0.220,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.031496,0
11,25.1318,10,0.494079,-0.670275,-0.016567,0.493799,-0.670165,-0.016567,0.301,-0.856342,-1.945844,-1.761778,-1.033219,1.562352,-2.056412,0.031673,0
