step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.9806,0,0.495702,-0.670623,-0.016567,0.495565,-0.670600,-0.016567,0.138,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.030130,0
2,21.0288,1,0.495728,-0.670595,-0.016567,0.495370,-0.670503,-0.016567,0.370,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.030414,0
3,21.1290,2,0.495485,-0.670273,-0.016567,0.495203,-0.670419,-0.016567,0.317,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.030596,0
4,21.2290,3,0.495302,-0.670272,-0.016567,0.495042,-0.670339,-0.016567,0.268,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.030756,0
5,21.3289,4,0.495036,-0.670279,-0.016567,0.494884,-0.670259,-0.016567,0.153,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.030896,0
6,21.4289,5,0.494926,-0.670269,-0.016567,0.494727,-0.670181,-0.016567,0.218,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031061,0
7,21.5294,6,0.494938,-0.670068,-0.016567,0.494570,-0.670103,-0.016567,0.369,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031254,0
8,21.6290,7,0.494725,-0.669990,-0.016567,0.494414,-0.670025,-0.016567,0.313,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031409,0
9,21.7295,8,0.494361,-0.670050,-0.016567,0.494258,-0.669947,-0.016567,0.145,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031527,0
10,21.8296,9,0.494218,-0.669591,-0.016567,0.494103,-0.669869,-0.016567,0.301,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031678,0
11,21.9292,10,0.494005,-0.669481,-0.016567,0.493947,-0.669791,-0.016567,0.316,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031824,0
12,22.0293,11,0.493831,-0.669204,-0.016567,0.493792,-0.669714,-0.016567,0.511,-0.856355,-1.945825,-1.761744,-1.033219,1.562343,-2.056409,0.031976,0
