step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.1893,0,0.500542,-0.670210,-0.016567,0.500494,-0.670215,-0.016567,0.049,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.024991,0
2,22.2558,1,0.500585,-0.670198,-0.016567,0.500340,-0.670215,-0.016567,0.246,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.025178,0
3,22.3569,3,0.500301,-0.670161,-0.016567,0.500045,-0.670215,-0.016567,0.262,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.025526,0
4,22.4556,4,0.500147,-0.670120,-0.016567,0.499897,-0.670215,-0.016567,0.267,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.025726,0
5,22.5566,5,0.499975,-0.670006,-0.016567,0.499748,-0.670215,-0.016567,0.308,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.025926,0
6,22.6558,6,0.499835,-0.670397,-0.016567,0.499600,-0.670215,-0.016567,0.297,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026126,0
7,22.7611,7,0.499717,-0.670332,-0.016567,0.499452,-0.670215,-0.016567,0.290,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026326,0
8,22.8588,8,0.499013,-0.670146,-0.016567,0.499303,-0.670215,-0.016567,0.298,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026326,0
9,22.9572,9,0.499064,-0.670151,-0.016567,0.499154,-0.670215,-0.016567,0.110,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026258,0
10,23.0575,10,0.499011,-0.670143,-0.016567,0.499006,-0.670215,-0.016567,0.071,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026271,0
11,23.1586,11,0.498987,-0.670215,-0.016567,0.498857,-0.670215,-0.016567,0.130,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026408,0
12,23.2568,12,0.499084,-0.670144,-0.016567,0.498708,-0.670215,-0.016567,0.382,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026608,0
13,23.3579,12,0.499086,-0.670114,-0.016567,0.498708,-0.670215,-0.016567,0.391,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026653,0
14,23.4577,13,0.498899,-0.670282,-0.016567,0.498559,-0.670215,-0.016567,0.346,-0.856336,-1.945837,-1.761763,-1.033184,1.562358,-2.056400,0.026853,0
