step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.6702,0,0.500821,-0.670155,-0.016567,0.500711,-0.670163,-0.016567,0.111,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025051,0
2,20.7399,1,0.500782,-0.670169,-0.016567,0.500557,-0.670163,-0.016567,0.225,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025229,0
3,20.8419,2,0.500750,-0.670195,-0.016567,0.500406,-0.670163,-0.016567,0.346,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025420,0
4,20.9425,4,0.500333,-0.670193,-0.016567,0.500114,-0.670163,-0.016567,0.221,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025776,0
5,21.0413,4,0.500218,-0.670153,-0.016567,0.500114,-0.670163,-0.016567,0.104,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025733,0
6,21.1421,6,0.499938,-0.670260,-0.016567,0.499817,-0.670163,-0.016567,0.155,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026019,0
7,21.2403,6,0.499818,-0.670155,-0.016567,0.499817,-0.670163,-0.016567,0.009,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025876,0
8,21.3419,7,0.499745,-0.670098,-0.016567,0.499669,-0.670163,-0.016567,0.101,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.025959,0
9,21.4425,8,0.499811,-0.670164,-0.016567,0.499520,-0.670163,-0.016567,0.291,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026159,0
10,21.5428,9,0.499762,-0.670215,-0.016567,0.499372,-0.670163,-0.016567,0.394,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026359,0
11,21.6430,10,0.499268,-0.670005,-0.016567,0.499223,-0.670163,-0.016567,0.165,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026411,0
12,21.7421,11,0.499095,-0.670139,-0.016567,0.499074,-0.670163,-0.016567,0.032,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026441,0
13,21.8414,12,0.499095,-0.670139,-0.016567,0.498925,-0.670163,-0.016567,0.172,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026616,0
14,21.9414,13,0.498903,-0.670150,-0.016567,0.498776,-0.670163,-0.016567,0.128,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026751,0
15,22.0433,14,0.498705,-0.670155,-0.016567,0.498627,-0.670163,-0.016567,0.079,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.026839,0
16,22.1431,15,0.498812,-0.670340,-0.016567,0.498477,-0.670163,-0.016567,0.379,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027039,0
17,22.2416,16,0.498674,-0.670326,-0.016567,0.498328,-0.670163,-0.016567,0.383,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027239,0
18,22.3534,17,0.498500,-0.670925,-0.016567,0.498178,-0.670163,-0.016567,0.827,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027439,0
19,22.4431,18,0.498046,-0.670735,-0.016567,0.498028,-0.670163,-0.016567,0.571,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027484,0
20,22.5413,19,0.497997,-0.670706,-0.016567,0.497878,-0.670163,-0.016567,0.555,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027624,0
21,22.6427,20,0.497707,-0.670563,-0.016567,0.497727,-0.670163,-0.016567,0.400,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027627,0
22,22.7428,21,0.497827,-0.670490,-0.016567,0.497577,-0.670163,-0.016567,0.412,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.027827,0
23,22.8433,22,0.497610,-0.670397,-0.016567,0.497426,-0.670163,-0.016567,0.297,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.028023,0
24,22.9421,23,0.497286,-0.670330,-0.016567,0.497275,-0.670163,-0.016567,0.167,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.028049,0
25,23.0426,24,0.497275,-0.670320,-0.016567,0.497124,-0.670163,-0.016567,0.217,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.028209,0
26,23.1428,25,0.497090,-0.670366,-0.016567,0.496973,-0.670163,-0.016567,0.234,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.028339,0
27,23.2426,27,0.497048,-0.670403,-0.016567,0.496670,-0.670163,-0.016567,0.448,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.028694,0
28,23.3448,28,0.496747,-0.670713,-0.016567,0.496519,-0.670163,-0.016567,0.595,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.028894,0
29,23.4428,29,0.496728,-0.670883,-0.016567,0.496367,-0.670163,-0.016567,0.805,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029094,0
30,23.5422,29,0.496533,-0.670703,-0.016567,0.496367,-0.670163,-0.016567,0.564,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029125,0
31,23.6424,30,0.496357,-0.670883,-0.016567,0.496216,-0.670163,-0.016567,0.734,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029293,0
32,23.7432,31,0.496245,-0.671014,-0.016567,0.496064,-0.670163,-0.016567,0.869,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029493,0
33,23.8449,33,0.496101,-0.671093,-0.016567,0.495761,-0.670163,-0.016567,0.989,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029848,0
34,23.9423,34,0.495458,-0.671297,-0.016567,0.495610,-0.670163,-0.016567,1.143,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029848,0
35,24.0440,34,0.495669,-0.671149,-0.016567,0.495610,-0.670163,-0.016567,0.988,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.029789,0
36,24.1444,36,0.495700,-0.671122,-0.016567,0.495308,-0.670163,-0.016567,1.036,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.030144,0
37,24.2428,36,0.495698,-0.671131,-0.016567,0.495308,-0.670163,-0.016567,1.044,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.030189,0
38,24.3433,37,0.495231,-0.670921,-0.016567,0.495157,-0.670163,-0.016567,0.761,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.030293,0
39,24.4434,38,0.495382,-0.670923,-0.016567,0.495007,-0.670163,-0.016567,0.847,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.030493,0
40,24.5432,40,0.495225,-0.670419,-0.016567,0.494706,-0.670163,-0.016567,0.579,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.030848,0
41,24.6433,41,0.494878,-0.670389,-0.016567,0.494556,-0.670163,-0.016567,0.393,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031048,0
42,24.7424,42,0.494695,-0.670227,-0.016567,0.494406,-0.670163,-0.016567,0.296,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031248,0
43,24.8438,43,0.494513,-0.670246,-0.016567,0.494257,-0.670163,-0.016567,0.269,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031448,0
44,24.9421,43,0.494237,-0.670346,-0.016567,0.494257,-0.670163,-0.016567,0.183,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031293,0
45,25.0467,45,0.494265,-0.671087,-0.016567,0.493958,-0.670163,-0.016567,0.974,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031648,0
46,25.1447,45,0.493929,-0.670923,-0.016567,0.493958,-0.670163,-0.016567,0.760,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031499,0
47,25.2534,47,0.494130,-0.671882,-0.016567,0.493660,-0.670163,-0.016567,1.782,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.031855,0
48,25.3566,48,0.493615,-0.671491,-0.016567,0.493511,-0.670163,-0.016567,1.332,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032009,0
49,25.4446,49,0.493749,-0.671062,-0.016567,0.493363,-0.670163,-0.016567,0.978,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032209,0
50,25.5432,50,0.493319,-0.670902,-0.016567,0.493214,-0.670163,-0.016567,0.746,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032345,0
51,25.6428,51,0.493094,-0.670940,-0.016567,0.493066,-0.670163,-0.016567,0.777,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032407,0
52,25.7427,51,0.493151,-0.670980,-0.016567,0.493066,-0.670163,-0.016567,0.821,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032371,0
53,25.8427,52,0.492895,-0.670928,-0.016567,0.492917,-0.670163,-0.016567,0.765,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032385,0
54,25.9430,53,0.493030,-0.670877,-0.016567,0.492768,-0.670163,-0.016567,0.760,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032585,0
55,26.0458,55,0.492830,-0.671120,-0.016567,0.492471,-0.670163,-0.016567,1.022,-0.856352,-1.945856,-1.761778,-1.033180,1.562352,-2.056385,0.032941,0
