step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.4777,0,0.500755,-0.672867,-0.016567,0.500734,-0.672575,-0.016567,0.293,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.025111,0
2,18.5780,1,0.500710,-0.672672,-0.016567,0.500597,-0.672477,-0.016567,0.225,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.025369,0
3,18.6777,2,0.500197,-0.672010,-0.016567,0.500403,-0.672338,-0.016567,0.387,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.025428,0
4,18.7778,3,0.500107,-0.672364,-0.016567,0.500203,-0.672196,-0.016567,0.193,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.025563,0
5,18.8777,4,0.499971,-0.672165,-0.016567,0.500006,-0.672055,-0.016567,0.115,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.025733,0
6,18.9777,5,0.499782,-0.672107,-0.016567,0.499809,-0.671915,-0.016567,0.194,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.025909,0
7,19.0777,6,0.499853,-0.672011,-0.016567,0.499613,-0.671775,-0.016567,0.337,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.026246,0
8,19.1777,7,0.499520,-0.672037,-0.016567,0.499418,-0.671635,-0.016567,0.415,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.026503,0
9,19.2777,8,0.499360,-0.671960,-0.016567,0.499223,-0.671496,-0.016567,0.484,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.026782,0
10,19.3777,9,0.499187,-0.672139,-0.016567,0.499029,-0.671357,-0.016567,0.798,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.027080,0
11,19.4777,10,0.499127,-0.671828,-0.016567,0.498837,-0.671220,-0.016567,0.673,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.027453,0
12,19.5778,11,0.498772,-0.671757,-0.016567,0.498646,-0.671084,-0.016567,0.685,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.027729,0
13,19.6777,12,0.498427,-0.671234,-0.016567,0.498457,-0.670949,-0.016567,0.287,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.027905,0
14,19.7777,13,0.498218,-0.671441,-0.016567,0.498270,-0.670815,-0.016567,0.628,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.028074,0
15,19.8777,14,0.497883,-0.671060,-0.016567,0.498084,-0.670682,-0.016567,0.428,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.028150,0
16,19.9777,15,0.497905,-0.670476,-0.016567,0.497900,-0.670551,-0.016567,0.075,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.028340,0
17,20.0777,16,0.497682,-0.670136,-0.016567,0.497718,-0.670421,-0.016567,0.288,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.028502,0
18,20.1777,17,0.497461,-0.669863,-0.016567,0.497538,-0.670292,-0.016567,0.436,-0.856336,-1.945818,-1.761785,-1.033196,1.562327,-2.056415,0.028637,0
