step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.0872,0,0.500497,-0.672185,-0.016567,0.500461,-0.672115,-0.016567,0.078,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.025023,0
2,18.1872,1,0.500520,-0.672263,-0.016567,0.500324,-0.672018,-0.016567,0.314,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.025144,0
3,18.2872,2,0.500501,-0.672066,-0.016567,0.500130,-0.671878,-0.016567,0.416,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.025344,0
4,18.3872,3,0.500154,-0.672067,-0.016567,0.499930,-0.671736,-0.016567,0.399,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.025484,0
5,18.4871,4,0.500125,-0.672028,-0.016567,0.499734,-0.671596,-0.016567,0.583,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.025684,0
6,18.5871,5,0.500125,-0.672028,-0.016567,0.499537,-0.671455,-0.016567,0.821,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.025884,0
7,18.6871,6,0.499836,-0.671917,-0.016567,0.499340,-0.671315,-0.016567,0.780,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.026084,0
8,18.7871,7,0.499218,-0.671953,-0.016567,0.499145,-0.671175,-0.016567,0.781,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.026142,0
9,18.8872,8,0.499379,-0.672028,-0.016567,0.498950,-0.671036,-0.016567,1.081,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.026342,0
10,18.9871,9,0.499318,-0.672057,-0.016567,0.498756,-0.670898,-0.016567,1.288,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.026542,0
11,19.0871,10,0.498851,-0.671965,-0.016567,0.498564,-0.670760,-0.016567,1.239,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.026735,0
12,19.1870,11,0.498627,-0.672025,-0.016567,0.498374,-0.670624,-0.016567,1.423,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.026912,0
13,19.2872,12,0.498528,-0.671965,-0.016567,0.498184,-0.670489,-0.016567,1.516,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.027112,0
14,19.3871,13,0.498539,-0.671983,-0.016567,0.497997,-0.670355,-0.016567,1.716,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.027312,0
15,19.4871,14,0.498241,-0.671816,-0.016567,0.497811,-0.670223,-0.016567,1.650,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.027512,0
16,19.5872,15,0.498151,-0.671973,-0.016567,0.497628,-0.670091,-0.016567,1.953,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.027712,0
17,19.6871,16,0.497546,-0.671762,-0.016567,0.497446,-0.669961,-0.016567,1.804,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.027805,0
18,19.7871,17,0.497620,-0.672174,-0.016567,0.497265,-0.669832,-0.016567,2.369,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.028005,0
19,19.8872,18,0.497688,-0.671850,-0.016567,0.497087,-0.669705,-0.016567,2.227,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.028205,0
20,19.9871,19,0.497531,-0.671887,-0.016567,0.496910,-0.669579,-0.016567,2.391,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.028405,0
21,20.0872,20,0.497189,-0.671859,-0.016567,0.496735,-0.669454,-0.016567,2.448,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.028605,0
22,20.1871,21,0.496985,-0.671787,-0.016567,0.496562,-0.669330,-0.016567,2.493,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.028805,0
23,20.2871,22,0.496604,-0.671452,-0.016567,0.496391,-0.669208,-0.016567,2.255,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.028973,0
24,20.3871,23,0.496478,-0.671282,-0.016567,0.496221,-0.669087,-0.016567,2.210,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.029167,0
25,20.4870,24,0.496184,-0.671267,-0.016567,0.496054,-0.668967,-0.016567,2.303,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.029286,0
26,20.5871,25,0.496214,-0.671711,-0.016567,0.495889,-0.668849,-0.016567,2.880,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.029486,0
27,20.6872,26,0.496223,-0.671839,-0.016567,0.495725,-0.668732,-0.016567,3.146,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.029686,0
28,20.7873,27,0.495965,-0.671837,-0.016567,0.495563,-0.668617,-0.016567,3.245,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.029886,0
29,20.8871,28,0.495782,-0.671639,-0.016567,0.495403,-0.668502,-0.016567,3.160,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.030086,0
30,20.9872,29,0.495350,-0.671315,-0.016567,0.495244,-0.668389,-0.016567,2.928,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.030202,0
31,21.0870,30,0.495257,-0.671331,-0.016567,0.495087,-0.668277,-0.016567,3.060,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.030359,0
32,21.1871,31,0.495141,-0.671865,-0.016567,0.494931,-0.668165,-0.016567,3.706,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.030551,0
33,21.2871,32,0.494817,-0.671327,-0.016567,0.494777,-0.668055,-0.016567,3.273,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.030635,0
34,21.3872,33,0.494843,-0.671240,-0.016567,0.494623,-0.667945,-0.016567,3.302,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.030825,0
35,21.4872,34,0.494727,-0.671439,-0.016567,0.494471,-0.667836,-0.016567,3.612,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031025,0
36,21.5871,35,0.494350,-0.671805,-0.016567,0.494319,-0.667728,-0.016567,4.077,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031117,0
37,21.6872,36,0.494221,-0.671875,-0.016567,0.494169,-0.667621,-0.016567,4.254,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031226,0
38,21.7871,37,0.494232,-0.672188,-0.016567,0.494019,-0.667514,-0.016567,4.679,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031426,0
39,21.8872,38,0.493922,-0.672162,-0.016567,0.493869,-0.667407,-0.016567,4.755,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031543,0
40,21.9871,39,0.493745,-0.672040,-0.016567,0.493720,-0.667301,-0.016567,4.740,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031644,0
41,22.0870,40,0.493735,-0.671989,-0.016567,0.493572,-0.667194,-0.016567,4.797,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031828,0
42,22.1870,41,0.493262,-0.672070,-0.016567,0.493424,-0.667089,-0.016567,4.984,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031821,0
43,22.2871,42,0.493383,-0.672051,-0.016567,0.493276,-0.666983,-0.016567,5.069,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.031977,0
44,22.3870,43,0.493340,-0.671613,-0.016567,0.493129,-0.666878,-0.016567,4.740,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.032177,0
45,22.4871,44,0.493277,-0.671566,-0.016567,0.492982,-0.666773,-0.016567,4.803,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.032377,0
46,22.5872,45,0.492980,-0.671341,-0.016567,0.492835,-0.666668,-0.016567,4.675,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.032548,0
47,22.6871,46,0.492829,-0.671329,-0.016567,0.492689,-0.666564,-0.016567,4.768,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.032718,0
48,22.7872,47,0.492710,-0.671805,-0.016567,0.492543,-0.666459,-0.016567,5.349,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.032915,0
49,22.8871,48,0.492482,-0.671756,-0.016567,0.492397,-0.666355,-0.016567,5.402,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033063,0
50,22.9870,49,0.492451,-0.671787,-0.016567,0.492251,-0.666251,-0.016567,5.540,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033263,0
51,23.0871,50,0.492221,-0.671719,-0.016567,0.492105,-0.666147,-0.016567,5.573,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033433,0
52,23.1872,51,0.491984,-0.671839,-0.016567,0.491959,-0.666042,-0.016567,5.796,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033553,0
53,23.2871,52,0.491714,-0.672055,-0.016567,0.491813,-0.665938,-0.016567,6.118,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033604,0
54,23.3871,53,0.491961,-0.672169,-0.016567,0.491666,-0.665833,-0.016567,6.342,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033804,0
55,23.4871,54,0.491439,-0.671980,-0.016567,0.491519,-0.665728,-0.016567,6.252,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.033870,0
56,23.5870,55,0.491543,-0.671943,-0.016567,0.491372,-0.665623,-0.016567,6.322,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034070,0
57,23.6871,56,0.491497,-0.671872,-0.016567,0.491223,-0.665517,-0.016567,6.361,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034270,0
58,23.7873,57,0.491256,-0.671774,-0.016567,0.491074,-0.665410,-0.016567,6.367,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034470,0
59,23.8872,58,0.491394,-0.671646,-0.016567,0.490924,-0.665303,-0.016567,6.360,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034670,0
60,23.9871,59,0.490663,-0.671999,-0.016567,0.490773,-0.665195,-0.016567,6.805,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034727,0
61,24.0871,60,0.490510,-0.672066,-0.016567,0.490620,-0.665086,-0.016567,6.981,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034788,0
62,24.1871,61,0.490875,-0.672004,-0.016567,0.490465,-0.664975,-0.016567,7.041,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.034988,0
63,24.2872,62,0.490585,-0.672010,-0.016567,0.490309,-0.664864,-0.016567,7.152,-0.856348,-1.945825,-1.761766,-1.033200,1.562352,-2.056397,0.035188,0
