step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.7819,0,0.500291,-0.672820,-0.016567,0.500357,-0.672650,-0.016567,0.182,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.024895,0
2,21.8539,0,0.500291,-0.672820,-0.016567,0.500357,-0.672650,-0.016567,0.182,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.024698,0
3,21.9656,2,0.500472,-0.672895,-0.016567,0.500026,-0.672414,-0.016567,0.656,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.025062,0
4,22.0650,3,0.500478,-0.672629,-0.016567,0.499827,-0.672271,-0.016567,0.743,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.025262,0
5,22.1672,4,0.500316,-0.672524,-0.016567,0.499630,-0.672131,-0.016567,0.791,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.025462,0
6,22.2591,5,0.499823,-0.672179,-0.016567,0.499433,-0.671990,-0.016567,0.434,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.025662,0
7,22.3621,6,0.499579,-0.671778,-0.016567,0.499237,-0.671850,-0.016567,0.350,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.025862,0
8,22.4639,8,0.499379,-0.671411,-0.016567,0.498846,-0.671571,-0.016567,0.557,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.026251,0
9,22.5593,8,0.499334,-0.671553,-0.016567,0.498846,-0.671571,-0.016567,0.488,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.026262,0
10,22.6640,10,0.499054,-0.671817,-0.016567,0.498461,-0.671295,-0.016567,0.790,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.026651,0
11,22.7676,11,0.498826,-0.671892,-0.016567,0.498270,-0.671159,-0.016567,0.920,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.026851,0
12,22.8642,11,0.498736,-0.671825,-0.016567,0.498270,-0.671159,-0.016567,0.812,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.026862,0
13,22.9650,12,0.498448,-0.671360,-0.016567,0.498081,-0.671024,-0.016567,0.498,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.027062,0
14,23.0604,13,0.498335,-0.671269,-0.016567,0.497893,-0.670890,-0.016567,0.581,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.027262,0
15,23.1650,15,0.498139,-0.670141,-0.016567,0.497524,-0.670626,-0.016567,0.783,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.027651,0
16,23.2708,15,0.497588,-0.669999,-0.016567,0.497524,-0.670626,-0.016567,0.630,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.027513,0
17,23.3785,16,0.497605,-0.669762,-0.016567,0.497342,-0.670496,-0.016567,0.780,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.027713,0
18,23.4804,17,0.497469,-0.669719,-0.016567,0.497161,-0.670368,-0.016567,0.718,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.027913,0
19,23.5819,18,0.497239,-0.669580,-0.016567,0.496983,-0.670240,-0.016567,0.708,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.028113,0
20,23.6689,19,0.497321,-0.669840,-0.016567,0.496806,-0.670114,-0.016567,0.583,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.028313,0
21,23.7850,20,0.496955,-0.669772,-0.016567,0.496631,-0.669989,-0.016567,0.389,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.028513,0
22,23.8740,21,0.496715,-0.669875,-0.016567,0.496458,-0.669865,-0.016567,0.257,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.028713,0
23,23.9728,22,0.496346,-0.669908,-0.016567,0.496287,-0.669743,-0.016567,0.176,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.028796,0
24,24.0597,23,0.496090,-0.670363,-0.016567,0.496118,-0.669622,-0.016567,0.741,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.028812,0
25,24.1685,24,0.496349,-0.669597,-0.016567,0.495950,-0.669502,-0.016567,0.410,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.029012,0
26,24.2693,25,0.496139,-0.669269,-0.016567,0.495785,-0.669384,-0.016567,0.372,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.029212,0
27,24.3739,26,0.495873,-0.668759,-0.016567,0.495621,-0.669267,-0.016567,0.567,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.029412,0
28,24.4760,27,0.495743,-0.668241,-0.016567,0.495459,-0.669152,-0.016567,0.954,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.029612,0
29,24.5756,28,0.495634,-0.668313,-0.016567,0.495299,-0.669037,-0.016567,0.798,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.029812,0
30,24.6698,29,0.495340,-0.667963,-0.016567,0.495140,-0.668924,-0.016567,0.982,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030012,0
31,24.7629,30,0.495093,-0.668286,-0.016567,0.494983,-0.668812,-0.016567,0.537,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030142,0
32,24.8704,31,0.494834,-0.668314,-0.016567,0.494828,-0.668700,-0.016567,0.387,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030176,0
33,24.9704,32,0.494824,-0.668261,-0.016567,0.494673,-0.668590,-0.016567,0.362,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030353,0
34,25.0692,34,0.494553,-0.668274,-0.016567,0.494367,-0.668372,-0.016567,0.210,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030742,0
35,25.1759,35,0.494635,-0.668039,-0.016567,0.494216,-0.668263,-0.016567,0.476,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030942,0
36,25.2731,36,0.494264,-0.667841,-0.016567,0.494065,-0.668156,-0.016567,0.372,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.031142,0
37,25.3698,36,0.494072,-0.667540,-0.016567,0.494065,-0.668156,-0.016567,0.615,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.030987,0
38,25.4811,37,0.494156,-0.667264,-0.016567,0.493915,-0.668049,-0.016567,0.821,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.031187,0
39,25.5709,39,0.493803,-0.666853,-0.016567,0.493617,-0.667836,-0.016567,1.000,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.031576,0
40,25.6751,40,0.493682,-0.666809,-0.016567,0.493468,-0.667730,-0.016567,0.945,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.031776,0
41,25.7805,41,0.493694,-0.666746,-0.016567,0.493320,-0.667624,-0.016567,0.954,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.031976,0
42,25.8758,42,0.493318,-0.666492,-0.016567,0.493172,-0.667518,-0.016567,1.037,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.032137,0
43,25.9721,43,0.493209,-0.666233,-0.016567,0.493025,-0.667413,-0.016567,1.194,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.032330,0
44,26.0714,43,0.493179,-0.666218,-0.016567,0.493025,-0.667413,-0.016567,1.205,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.032304,0
45,26.1736,44,0.493108,-0.666098,-0.016567,0.492878,-0.667308,-0.016567,1.232,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.032504,0
46,26.2701,45,0.492802,-0.666107,-0.016567,0.492731,-0.667203,-0.016567,1.099,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.032591,0
47,26.3756,47,0.492636,-0.665919,-0.016567,0.492439,-0.666994,-0.016567,1.094,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.032980,0
48,26.4737,48,0.492400,-0.665938,-0.016567,0.492293,-0.666890,-0.016567,0.958,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.033108,0
49,26.5778,49,0.492458,-0.665793,-0.016567,0.492147,-0.666786,-0.016567,1.041,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.033308,0
50,26.6764,50,0.492234,-0.665365,-0.016567,0.492001,-0.666682,-0.016567,1.337,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.033508,0
51,26.7671,50,0.491891,-0.665250,-0.016567,0.492001,-0.666682,-0.016567,1.436,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.033319,0
52,26.8717,51,0.491994,-0.665083,-0.016567,0.491855,-0.666578,-0.016567,1.501,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.033477,0
53,26.9711,52,0.491989,-0.664978,-0.016567,0.491709,-0.666473,-0.016567,1.521,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.033677,0
54,27.0658,54,0.491633,-0.664613,-0.016567,0.491416,-0.666263,-0.016567,1.665,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034066,0
55,27.1663,55,0.491648,-0.664546,-0.016567,0.491268,-0.666158,-0.016567,1.656,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034266,0
56,27.2672,56,0.491401,-0.664432,-0.016567,0.491120,-0.666052,-0.016567,1.644,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034466,0
57,27.3709,57,0.491080,-0.664310,-0.016567,0.490971,-0.665945,-0.016567,1.639,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034589,0
58,27.4662,57,0.491113,-0.664204,-0.016567,0.490971,-0.665945,-0.016567,1.748,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034543,0
59,27.5691,58,0.490872,-0.664080,-0.016567,0.490820,-0.665838,-0.016567,1.759,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034617,0
60,27.6614,59,0.490794,-0.664049,-0.016567,0.490669,-0.665730,-0.016567,1.685,-0.856360,-1.945837,-1.761759,-1.033172,1.562324,-2.056427,0.034768,0
