step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.7856,0,0.500303,-0.672435,-0.016567,0.500149,-0.672501,-0.016567,0.169,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.025100,0
2,17.8582,0,0.500303,-0.672435,-0.016567,0.500149,-0.672501,-0.016567,0.169,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.025108,0
3,17.9594,2,0.500092,-0.672366,-0.016567,0.499817,-0.672265,-0.016567,0.293,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.025495,0
4,18.0679,4,0.499930,-0.671866,-0.016567,0.499421,-0.671982,-0.016567,0.522,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.025885,0
5,18.1639,4,0.499819,-0.671786,-0.016567,0.499421,-0.671982,-0.016567,0.443,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.025896,0
6,18.2594,5,0.499379,-0.671929,-0.016567,0.499224,-0.671841,-0.016567,0.178,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.026043,0
7,18.3585,6,0.499231,-0.671799,-0.016567,0.499028,-0.671701,-0.016567,0.225,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.026236,0
8,18.4605,7,0.499141,-0.671819,-0.016567,0.498833,-0.671561,-0.016567,0.402,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.026436,0
9,18.5586,8,0.498822,-0.671958,-0.016567,0.498638,-0.671422,-0.016567,0.567,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.026625,0
10,18.6590,9,0.498571,-0.671709,-0.016567,0.498444,-0.671284,-0.016567,0.444,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.026756,0
11,18.7616,10,0.498432,-0.671996,-0.016567,0.498252,-0.671147,-0.016567,0.868,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.026952,0
12,18.8696,11,0.498415,-0.671260,-0.016567,0.498061,-0.671010,-0.016567,0.433,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.027152,0
13,18.9623,12,0.498093,-0.670877,-0.016567,0.497872,-0.670875,-0.016567,0.221,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.027352,0
14,19.0612,13,0.497556,-0.670460,-0.016567,0.497685,-0.670741,-0.016567,0.310,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.027352,0
15,19.1676,14,0.497678,-0.669651,-0.016567,0.497499,-0.670609,-0.016567,0.974,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.027504,0
16,19.2687,15,0.497735,-0.670184,-0.016567,0.497315,-0.670478,-0.016567,0.512,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.027704,0
17,19.3629,16,0.497380,-0.670192,-0.016567,0.497133,-0.670348,-0.016567,0.291,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.027904,0
18,19.4614,17,0.497201,-0.670175,-0.016567,0.496953,-0.670219,-0.016567,0.252,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028104,0
19,19.5599,18,0.497041,-0.670308,-0.016567,0.496774,-0.670091,-0.016567,0.344,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028304,0
20,19.6651,19,0.496626,-0.669766,-0.016567,0.496598,-0.669965,-0.016567,0.200,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028341,0
21,19.7625,20,0.496530,-0.669746,-0.016567,0.496423,-0.669840,-0.016567,0.142,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028459,0
22,19.8669,21,0.496379,-0.669222,-0.016567,0.496250,-0.669716,-0.016567,0.511,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028591,0
23,19.9734,22,0.496251,-0.669035,-0.016567,0.496079,-0.669594,-0.016567,0.586,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028765,0
24,20.0684,22,0.496251,-0.669035,-0.016567,0.496079,-0.669594,-0.016567,0.586,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.028750,0
25,20.1734,24,0.495918,-0.668862,-0.016567,0.495742,-0.669354,-0.016567,0.522,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.029123,0
26,20.2739,25,0.495776,-0.668849,-0.016567,0.495576,-0.669236,-0.016567,0.435,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.029323,0
27,20.3695,25,0.495776,-0.668849,-0.016567,0.495576,-0.669236,-0.016567,0.435,-0.856360,-1.945837,-1.761739,-1.033212,1.562324,-2.056393,0.029334,0
