step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.8835,0,0.500453,-0.672707,-0.016567,0.500520,-0.672619,-0.016567,0.111,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.024894,0
2,17.9556,1,0.500461,-0.672744,-0.016567,0.500384,-0.672521,-0.016567,0.236,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.025024,0
3,18.0580,3,0.500535,-0.672650,-0.016567,0.499990,-0.672240,-0.016567,0.682,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.025412,0
4,18.1556,3,0.500620,-0.672653,-0.016567,0.499990,-0.672240,-0.016567,0.754,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.025423,0
5,18.2577,4,0.500227,-0.672028,-0.016567,0.499793,-0.672099,-0.016567,0.441,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.025623,0
6,18.3546,6,0.499672,-0.672041,-0.016567,0.499400,-0.671818,-0.016567,0.352,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026012,0
7,18.4537,7,0.499530,-0.671944,-0.016567,0.499204,-0.671678,-0.016567,0.420,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026212,0
8,18.5556,7,0.499335,-0.671962,-0.016567,0.499204,-0.671678,-0.016567,0.312,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026153,0
9,18.6598,9,0.499138,-0.671986,-0.016567,0.498816,-0.671401,-0.016567,0.667,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026542,0
10,18.7553,9,0.499147,-0.671985,-0.016567,0.498816,-0.671401,-0.016567,0.671,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026553,0
11,18.8547,10,0.498747,-0.671258,-0.016567,0.498623,-0.671264,-0.016567,0.124,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026672,0
12,18.9548,11,0.498479,-0.671362,-0.016567,0.498433,-0.671128,-0.016567,0.238,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.026723,0
13,19.0581,13,0.498428,-0.671228,-0.016567,0.498056,-0.670859,-0.016567,0.524,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.027112,0
14,19.1657,14,0.498343,-0.670463,-0.016567,0.497871,-0.670726,-0.016567,0.541,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.027312,0
15,19.2638,15,0.498262,-0.670538,-0.016567,0.497687,-0.670595,-0.016567,0.578,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.027512,0
16,19.3676,16,0.497999,-0.670663,-0.016567,0.497505,-0.670465,-0.016567,0.533,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.027712,0
17,19.4571,16,0.497765,-0.670091,-0.016567,0.497505,-0.670465,-0.016567,0.455,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.027723,0
18,19.5604,18,0.497419,-0.669705,-0.016567,0.497146,-0.670208,-0.016567,0.573,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028112,0
19,19.6564,18,0.497283,-0.669849,-0.016567,0.497146,-0.670208,-0.016567,0.385,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028060,0
20,19.7610,20,0.497068,-0.669523,-0.016567,0.496794,-0.669957,-0.016567,0.513,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028449,0
21,19.8564,21,0.496776,-0.669708,-0.016567,0.496621,-0.669834,-0.016567,0.199,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028615,0
22,19.9551,22,0.496576,-0.669947,-0.016567,0.496450,-0.669711,-0.016567,0.267,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028765,0
23,20.0540,23,0.496513,-0.669925,-0.016567,0.496280,-0.669590,-0.016567,0.407,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028965,0
24,20.1535,24,0.496301,-0.669225,-0.016567,0.496113,-0.669471,-0.016567,0.310,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.029165,0
25,20.2568,24,0.496106,-0.669180,-0.016567,0.496113,-0.669471,-0.016567,0.291,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.028986,0
26,20.3623,25,0.496103,-0.669006,-0.016567,0.495948,-0.669353,-0.016567,0.380,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.029155,0
27,20.4574,27,0.495703,-0.668275,-0.016567,0.495622,-0.669120,-0.016567,0.849,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.029431,0
28,20.5560,27,0.495711,-0.668277,-0.016567,0.495622,-0.669120,-0.016567,0.847,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.029336,0
29,20.6622,29,0.495704,-0.668557,-0.016567,0.495303,-0.668892,-0.016567,0.523,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.029725,0
30,20.7630,30,0.495429,-0.668805,-0.016567,0.495146,-0.668780,-0.016567,0.284,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.029925,0
31,20.8646,31,0.495252,-0.668513,-0.016567,0.494990,-0.668669,-0.016567,0.305,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.030125,0
32,20.9639,32,0.495246,-0.668283,-0.016567,0.494836,-0.668558,-0.016567,0.494,-0.856348,-1.945821,-1.761785,-1.033161,1.562352,-2.056393,0.030325,0
