step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.5844,0,0.500334,-0.672623,-0.016567,0.500322,-0.672522,-0.016567,0.102,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.024964,0
2,17.6846,1,0.500332,-0.672603,-0.016567,0.500185,-0.672424,-0.016567,0.231,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.025161,0
3,17.7845,2,0.500324,-0.672614,-0.016567,0.499990,-0.672285,-0.016567,0.469,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.025362,0
4,17.8845,3,0.499902,-0.671871,-0.016567,0.499791,-0.672143,-0.016567,0.294,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.025449,0
5,17.9844,4,0.499819,-0.671954,-0.016567,0.499594,-0.672002,-0.016567,0.230,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.025649,0
6,18.0845,5,0.499631,-0.672359,-0.016567,0.499397,-0.671862,-0.016567,0.549,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.025849,0
7,18.1845,6,0.499479,-0.671877,-0.016567,0.499201,-0.671722,-0.016567,0.319,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.026049,0
8,18.2845,7,0.498959,-0.671885,-0.016567,0.499006,-0.671582,-0.016567,0.307,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.026049,0
9,18.3847,8,0.499158,-0.672160,-0.016567,0.498811,-0.671443,-0.016567,0.797,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.026249,0
10,18.4845,9,0.498904,-0.671657,-0.016567,0.498617,-0.671304,-0.016567,0.455,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.026449,0
11,18.5844,10,0.498810,-0.671640,-0.016567,0.498425,-0.671167,-0.016567,0.610,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.026649,0
12,18.6846,11,0.498623,-0.671440,-0.016567,0.498234,-0.671031,-0.016567,0.564,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.026849,0
13,18.7845,12,0.498377,-0.671232,-0.016567,0.498045,-0.670896,-0.016567,0.473,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.027049,0
14,18.8844,13,0.497989,-0.670890,-0.016567,0.497858,-0.670762,-0.016567,0.183,-0.856321,-1.945821,-1.761770,-1.033169,1.562343,-2.056415,0.027182,0
