step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.3473,0,0.500557,-0.672657,-0.016567,0.500521,-0.672709,-0.016567,0.064,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.025006,0
2,19.4474,1,0.500587,-0.672686,-0.016567,0.500384,-0.672612,-0.016567,0.216,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.025204,0
3,19.5473,2,0.500194,-0.672269,-0.016567,0.500189,-0.672472,-0.016567,0.204,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.025405,0
4,19.6472,3,0.500304,-0.672731,-0.016567,0.499990,-0.672330,-0.016567,0.509,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.025605,0
5,19.7472,4,0.499872,-0.672311,-0.016567,0.499793,-0.672189,-0.016567,0.145,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.025805,0
6,19.8472,5,0.499614,-0.672153,-0.016567,0.499596,-0.672049,-0.016567,0.106,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.025990,0
7,19.9472,6,0.499450,-0.672757,-0.016567,0.499400,-0.671909,-0.016567,0.850,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.026189,0
8,20.0473,7,0.499346,-0.672210,-0.016567,0.499204,-0.671769,-0.016567,0.463,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.026389,0
9,20.1472,8,0.499080,-0.672010,-0.016567,0.499010,-0.671630,-0.016567,0.386,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.026572,0
10,20.2472,9,0.498717,-0.671864,-0.016567,0.498816,-0.671492,-0.016567,0.386,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.026726,0
11,20.3473,10,0.498565,-0.671612,-0.016567,0.498624,-0.671354,-0.016567,0.264,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.026915,0
12,20.4476,11,0.498339,-0.671222,-0.016567,0.498433,-0.671218,-0.016567,0.094,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.027096,0
13,20.5472,12,0.497991,-0.671108,-0.016567,0.498244,-0.671083,-0.016567,0.254,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.027252,0
14,20.6472,13,0.497982,-0.670885,-0.016567,0.498057,-0.670949,-0.016567,0.098,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.027452,0
15,20.7472,14,0.497552,-0.670522,-0.016567,0.497871,-0.670817,-0.016567,0.434,-0.856318,-1.945840,-1.761754,-1.033200,1.562343,-2.056424,0.027610,0
