step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.3747,0,0.500507,-0.672747,-0.016567,0.500420,-0.672615,-0.016567,0.158,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.025098,0
2,23.4445,1,0.500600,-0.672676,-0.016567,0.500283,-0.672518,-0.016567,0.354,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.025298,0
3,23.5453,2,0.500030,-0.671898,-0.016567,0.500089,-0.672379,-0.016567,0.484,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.025417,0
4,23.6448,3,0.499753,-0.671928,-0.016567,0.499890,-0.672236,-0.016567,0.337,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.025577,0
5,23.7452,4,0.499705,-0.672121,-0.016567,0.499693,-0.672096,-0.016567,0.028,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.025777,0
6,23.8455,5,0.499659,-0.672134,-0.016567,0.499496,-0.671955,-0.016567,0.243,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.025977,0
7,23.9450,6,0.499360,-0.672048,-0.016567,0.499299,-0.671815,-0.016567,0.241,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.026177,0
8,24.0460,7,0.498850,-0.671986,-0.016567,0.499104,-0.671675,-0.016567,0.401,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.026314,0
9,24.1453,8,0.498903,-0.672055,-0.016567,0.498909,-0.671536,-0.016567,0.519,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.026514,0
10,24.2450,9,0.498627,-0.671988,-0.016567,0.498715,-0.671398,-0.016567,0.597,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.026714,0
11,24.3467,10,0.498328,-0.671983,-0.016567,0.498523,-0.671261,-0.016567,0.748,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.026889,0
12,24.4469,11,0.498237,-0.671793,-0.016567,0.498333,-0.671124,-0.016567,0.675,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.027089,0
13,24.5485,12,0.498266,-0.671857,-0.016567,0.498143,-0.670989,-0.016567,0.877,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.027289,0
14,24.6465,13,0.498171,-0.671702,-0.016567,0.497956,-0.670855,-0.016567,0.874,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.027489,0
15,24.7463,14,0.497952,-0.671717,-0.016567,0.497770,-0.670723,-0.016567,1.010,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.027689,0
16,24.8460,15,0.497674,-0.671582,-0.016567,0.497587,-0.670591,-0.016567,0.995,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.027889,0
17,24.9447,16,0.497323,-0.672007,-0.016567,0.497405,-0.670461,-0.016567,1.548,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.028061,0
18,25.0478,17,0.497337,-0.671732,-0.016567,0.497224,-0.670333,-0.016567,1.404,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.028261,0
19,25.1463,18,0.497088,-0.671146,-0.016567,0.497046,-0.670205,-0.016567,0.942,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.028458,0
20,25.2472,19,0.496838,-0.671258,-0.016567,0.496869,-0.670079,-0.016567,1.179,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.028636,0
21,25.3468,20,0.496742,-0.671310,-0.016567,0.496694,-0.669954,-0.016567,1.357,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.028836,0
22,25.4457,21,0.496432,-0.671487,-0.016567,0.496521,-0.669830,-0.016567,1.659,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.029007,0
23,25.5464,22,0.496133,-0.671486,-0.016567,0.496350,-0.669708,-0.016567,1.792,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.029168,0
24,25.6457,23,0.496044,-0.671605,-0.016567,0.496180,-0.669587,-0.016567,2.023,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.029368,0
25,25.7457,24,0.495915,-0.671210,-0.016567,0.496013,-0.669467,-0.016567,1.745,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.029566,0
26,25.8476,25,0.495611,-0.671268,-0.016567,0.495848,-0.669349,-0.016567,1.933,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.029731,0
27,25.9514,26,0.495255,-0.671280,-0.016567,0.495684,-0.669232,-0.016567,2.092,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.029878,0
28,26.0464,27,0.495305,-0.671324,-0.016567,0.495522,-0.669117,-0.016567,2.218,-0.856330,-1.945837,-1.761782,-1.033172,1.562339,-2.056427,0.030078,0
