step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.7852,0,0.500053,-0.672698,-0.016567,0.500053,-0.672700,-0.016567,0.002,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.024951,0
2,25.8547,0,0.500053,-0.672698,-0.016567,0.500053,-0.672700,-0.016567,0.002,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.024810,0
3,25.9577,2,0.500064,-0.672710,-0.016567,0.499722,-0.672463,-0.016567,0.422,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.025198,0
4,26.0610,3,0.500054,-0.672861,-0.016567,0.499522,-0.672321,-0.016567,0.758,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.025398,0
5,26.1605,4,0.499654,-0.672023,-0.016567,0.499326,-0.672180,-0.016567,0.364,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.025598,0
6,26.2700,5,0.499658,-0.672481,-0.016567,0.499129,-0.672040,-0.016567,0.689,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.025798,0
7,26.3585,6,0.499109,-0.672167,-0.016567,0.498932,-0.671900,-0.016567,0.320,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.025973,0
8,26.4569,7,0.498909,-0.672114,-0.016567,0.498737,-0.671760,-0.016567,0.393,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.026148,0
9,26.5550,8,0.498813,-0.671787,-0.016567,0.498542,-0.671621,-0.016567,0.318,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.026348,0
10,26.6613,9,0.498723,-0.671776,-0.016567,0.498348,-0.671482,-0.016567,0.476,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.026548,0
11,26.7620,10,0.498744,-0.671705,-0.016567,0.498156,-0.671345,-0.016567,0.689,-0.856360,-1.945837,-1.761778,-1.033180,1.562355,-2.056424,0.026748,0
