step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.3777,0,0.500236,-0.672268,-0.016567,0.500092,-0.672143,-0.016567,0.191,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.025110,0
2,18.4510,0,0.500236,-0.672268,-0.016567,0.500092,-0.672143,-0.016567,0.191,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.025220,0
3,18.5549,2,0.500163,-0.672628,-0.016567,0.499761,-0.671906,-0.016567,0.827,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.025420,0
4,18.6523,3,0.499834,-0.672022,-0.016567,0.499562,-0.671764,-0.016567,0.375,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.025620,0
5,18.7521,4,0.499551,-0.671912,-0.016567,0.499365,-0.671623,-0.016567,0.344,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.025820,0
6,18.8517,5,0.499370,-0.672011,-0.016567,0.499168,-0.671483,-0.016567,0.566,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.026020,0
7,18.9516,6,0.499295,-0.671787,-0.016567,0.498972,-0.671342,-0.016567,0.550,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.026220,0
8,19.0526,7,0.499190,-0.671790,-0.016567,0.498776,-0.671203,-0.016567,0.719,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.026420,0
9,19.1508,8,0.498812,-0.671781,-0.016567,0.498581,-0.671064,-0.016567,0.753,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.026616,0
10,19.2527,9,0.498349,-0.671818,-0.016567,0.498387,-0.670925,-0.016567,0.893,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.026757,0
11,19.3523,10,0.498329,-0.671797,-0.016567,0.498195,-0.670788,-0.016567,1.018,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.026957,0
12,19.4524,11,0.498191,-0.671644,-0.016567,0.498005,-0.670652,-0.016567,1.009,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.027157,0
13,19.5528,12,0.498105,-0.671617,-0.016567,0.497815,-0.670517,-0.016567,1.138,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.027357,0
14,19.6531,13,0.498071,-0.671434,-0.016567,0.497628,-0.670383,-0.016567,1.140,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.027557,0
15,19.7519,14,0.497618,-0.671784,-0.016567,0.497443,-0.670250,-0.016567,1.543,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.027757,0
16,19.8520,15,0.497374,-0.671658,-0.016567,0.497259,-0.670119,-0.016567,1.543,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.027947,0
17,19.9522,16,0.497007,-0.671237,-0.016567,0.497077,-0.669989,-0.016567,1.250,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.028092,0
18,20.0522,17,0.497096,-0.671266,-0.016567,0.496896,-0.669860,-0.016567,1.420,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.028292,0
19,20.1524,18,0.496837,-0.671437,-0.016567,0.496718,-0.669733,-0.016567,1.709,-0.856329,-1.945828,-1.761735,-1.033193,1.562324,-2.056412,0.028492,0
