step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.5402,0,0.500359,-0.670911,-0.016567,0.500507,-0.670773,-0.016567,0.203,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.025034,0
2,19.6507,3,0.500644,-0.670843,-0.016567,0.499936,-0.670365,-0.016567,0.854,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.025234,0
3,19.7462,3,0.500499,-0.670942,-0.016567,0.499936,-0.670365,-0.016567,0.806,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.025434,0
4,19.8425,4,0.500182,-0.670542,-0.016567,0.499751,-0.670233,-0.016567,0.530,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.025634,0
5,19.9449,5,0.499916,-0.670170,-0.016567,0.499568,-0.670102,-0.016567,0.355,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.025834,0
6,20.0480,6,0.499934,-0.670148,-0.016567,0.499386,-0.669973,-0.016567,0.575,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.026034,0
7,20.1484,7,0.499291,-0.670175,-0.016567,0.499206,-0.669844,-0.016567,0.342,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.026234,0
8,20.2554,9,0.499184,-0.670036,-0.016567,0.498845,-0.669586,-0.016567,0.563,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.026434,0
9,20.3506,10,0.498942,-0.670025,-0.016567,0.498666,-0.669458,-0.016567,0.630,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.026634,0
10,20.4416,10,0.498878,-0.669951,-0.016567,0.498666,-0.669458,-0.016567,0.536,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.026834,0
11,20.5458,11,0.498722,-0.669921,-0.016567,0.498488,-0.669331,-0.016567,0.635,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.027034,0
12,20.6414,12,0.498358,-0.669462,-0.016567,0.498309,-0.669204,-0.016567,0.263,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.027234,0
13,20.7426,13,0.498166,-0.669451,-0.016567,0.498132,-0.669077,-0.016567,0.376,-0.856341,-1.945825,-1.761751,-1.033227,1.562339,-2.056415,0.027434,0
