step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.2918,0,0.500557,-0.672012,-0.016567,0.500500,-0.671958,-0.016567,0.078,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025035,0
2,23.3909,1,0.500615,-0.671990,-0.016567,0.500364,-0.671861,-0.016567,0.282,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025187,0
3,23.4909,2,0.500242,-0.671814,-0.016567,0.500169,-0.671721,-0.016567,0.118,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025232,0
4,23.5909,3,0.500200,-0.671833,-0.016567,0.499970,-0.671579,-0.016567,0.343,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025374,0
5,23.6908,4,0.500093,-0.671831,-0.016567,0.499773,-0.671439,-0.016567,0.506,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025573,0
6,23.7910,5,0.499948,-0.671835,-0.016567,0.499576,-0.671298,-0.016567,0.654,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025773,0
7,23.8909,6,0.499733,-0.671851,-0.016567,0.499380,-0.671158,-0.016567,0.778,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.025973,0
8,23.9909,7,0.499661,-0.671794,-0.016567,0.499184,-0.671018,-0.016567,0.911,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.026173,0
9,24.0910,8,0.499462,-0.671821,-0.016567,0.498989,-0.670879,-0.016567,1.054,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.026373,0
10,24.1909,9,0.499102,-0.671979,-0.016567,0.498796,-0.670741,-0.016567,1.276,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.026573,0
11,24.2909,10,0.498813,-0.672017,-0.016567,0.498604,-0.670603,-0.016567,1.430,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.026724,0
12,24.3909,11,0.498896,-0.671831,-0.016567,0.498413,-0.670467,-0.016567,1.446,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.026924,0
13,24.4908,12,0.498557,-0.671803,-0.016567,0.498224,-0.670332,-0.016567,1.508,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.027124,0
14,24.5908,13,0.498361,-0.671817,-0.016567,0.498036,-0.670198,-0.016567,1.651,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.027324,0
15,24.6908,14,0.498123,-0.671817,-0.016567,0.497851,-0.670066,-0.016567,1.772,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.027518,0
16,24.7909,15,0.497907,-0.671825,-0.016567,0.497667,-0.669934,-0.016567,1.906,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.027696,0
17,24.8909,16,0.497807,-0.671840,-0.016567,0.497485,-0.669804,-0.016567,2.061,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.027896,0
18,24.9909,17,0.497629,-0.671807,-0.016567,0.497305,-0.669675,-0.016567,2.156,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.028096,0
19,25.0909,18,0.497447,-0.671850,-0.016567,0.497126,-0.669548,-0.016567,2.324,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.028296,0
20,25.1909,19,0.497243,-0.671656,-0.016567,0.496949,-0.669422,-0.016567,2.253,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.028496,0
21,25.2908,20,0.497087,-0.671686,-0.016567,0.496774,-0.669297,-0.016567,2.410,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.028696,0
22,25.3908,21,0.496640,-0.671665,-0.016567,0.496601,-0.669173,-0.016567,2.492,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.028764,0
23,25.4908,22,0.496777,-0.671615,-0.016567,0.496430,-0.669051,-0.016567,2.587,-0.856345,-1.945806,-1.761778,-1.033184,1.562343,-2.056434,0.028964,0
