step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.7784,0,0.500079,-0.672125,-0.016567,0.500068,-0.672005,-0.016567,0.120,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.025083,0
2,23.8510,0,0.500079,-0.672125,-0.016567,0.500068,-0.672005,-0.016567,0.120,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.025166,0
3,23.9534,2,0.500081,-0.671922,-0.016567,0.499737,-0.671768,-0.016567,0.377,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.025366,0
4,24.0574,3,0.500086,-0.672054,-0.016567,0.499538,-0.671626,-0.016567,0.696,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.025566,0
5,24.1604,4,0.499734,-0.672025,-0.016567,0.499341,-0.671485,-0.016567,0.668,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.025766,0
6,24.2561,5,0.499482,-0.671906,-0.016567,0.499144,-0.671345,-0.016567,0.655,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.025966,0
7,24.3538,6,0.499196,-0.672051,-0.016567,0.498948,-0.671204,-0.016567,0.882,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.026166,0
8,24.4532,7,0.498910,-0.671968,-0.016567,0.498752,-0.671065,-0.016567,0.917,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.026366,0
9,24.5535,8,0.498845,-0.672124,-0.016567,0.498557,-0.670926,-0.016567,1.232,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.026566,0
10,24.6545,9,0.498708,-0.672068,-0.016567,0.498364,-0.670787,-0.016567,1.326,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.026766,0
11,24.7535,10,0.498568,-0.671983,-0.016567,0.498172,-0.670650,-0.016567,1.391,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.026966,0
12,24.8536,11,0.498378,-0.671775,-0.016567,0.497981,-0.670514,-0.016567,1.322,-0.856333,-1.945849,-1.761770,-1.033172,1.562305,-2.056412,0.027166,0
