step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.7624,0,0.500566,-0.672345,-0.016567,0.500487,-0.672311,-0.016567,0.086,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.025096,0
2,16.8385,0,0.500566,-0.672345,-0.016567,0.500487,-0.672311,-0.016567,0.086,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.025192,0
3,16.9413,2,0.500498,-0.672352,-0.016567,0.500156,-0.672074,-0.016567,0.441,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.025392,0
4,17.0412,3,0.500069,-0.671880,-0.016567,0.499957,-0.671932,-0.016567,0.124,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.025592,0
5,17.1403,4,0.499754,-0.671883,-0.016567,0.499760,-0.671791,-0.016567,0.092,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.025791,0
6,17.2406,5,0.499547,-0.671858,-0.016567,0.499563,-0.671650,-0.016567,0.208,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.025980,0
7,17.3421,6,0.499463,-0.671875,-0.016567,0.499366,-0.671510,-0.016567,0.377,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.026180,0
8,17.4418,7,0.499180,-0.671881,-0.016567,0.499171,-0.671371,-0.016567,0.510,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.026369,0
9,17.5404,8,0.499074,-0.671863,-0.016567,0.498976,-0.671231,-0.016567,0.639,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.026569,0
10,17.6403,9,0.498864,-0.671847,-0.016567,0.498782,-0.671093,-0.016567,0.759,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.026769,0
11,17.7408,10,0.498754,-0.671701,-0.016567,0.498590,-0.670956,-0.016567,0.763,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.026969,0
12,17.8405,11,0.498280,-0.671681,-0.016567,0.498400,-0.670820,-0.016567,0.869,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.027115,0
13,17.9415,12,0.498203,-0.671654,-0.016567,0.498210,-0.670685,-0.016567,0.970,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.027315,0
14,18.0410,13,0.498007,-0.671665,-0.016567,0.498023,-0.670551,-0.016567,1.114,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.027514,0
15,18.1406,14,0.497932,-0.671480,-0.016567,0.497837,-0.670418,-0.016567,1.066,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.027714,0
16,18.2428,15,0.497563,-0.671355,-0.016567,0.497654,-0.670287,-0.016567,1.072,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.027883,0
17,18.3410,16,0.497570,-0.671447,-0.016567,0.497472,-0.670157,-0.016567,1.293,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.028083,0
18,18.4410,17,0.497493,-0.671403,-0.016567,0.497291,-0.670028,-0.016567,1.390,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.028283,0
19,18.5412,18,0.497110,-0.671379,-0.016567,0.497113,-0.669900,-0.016567,1.478,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.028483,0
20,18.6396,19,0.497071,-0.671433,-0.016567,0.496936,-0.669774,-0.016567,1.664,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.028683,0
21,18.7398,20,0.496873,-0.671285,-0.016567,0.496761,-0.669649,-0.016567,1.640,-0.856360,-1.945844,-1.761782,-1.033196,1.562343,-2.056427,0.028883,0
