step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.9978,0,0.500412,-0.670887,-0.016567,0.500245,-0.670796,-0.016567,0.191,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.025249,0
2,19.0978,1,0.500244,-0.670872,-0.016567,0.500055,-0.670661,-0.016567,0.283,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.025631,0
3,19.1978,2,0.500103,-0.670722,-0.016567,0.499862,-0.670522,-0.016567,0.313,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.026020,0
4,19.2979,3,0.499978,-0.670844,-0.016567,0.499674,-0.670388,-0.016567,0.549,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.026408,0
5,19.3978,4,0.499756,-0.670626,-0.016567,0.499489,-0.670256,-0.016567,0.457,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.026797,0
6,19.4978,5,0.499745,-0.670594,-0.016567,0.499306,-0.670125,-0.016567,0.643,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.027186,0
7,19.5978,6,0.499202,-0.670209,-0.016567,0.499124,-0.669996,-0.016567,0.227,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.027470,0
8,19.6977,7,0.498989,-0.670123,-0.016567,0.498943,-0.669866,-0.016567,0.260,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.027727,0
9,19.7978,8,0.498867,-0.670126,-0.016567,0.498763,-0.669738,-0.016567,0.402,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.028057,0
10,19.8978,9,0.498516,-0.669960,-0.016567,0.498583,-0.669609,-0.016567,0.357,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.028214,0
11,19.9979,10,0.498386,-0.669681,-0.016567,0.498404,-0.669481,-0.016567,0.201,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.028407,0
12,20.0978,11,0.498086,-0.669462,-0.016567,0.498225,-0.669354,-0.016567,0.177,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.028470,0
13,20.1978,12,0.498207,-0.669306,-0.016567,0.498047,-0.669226,-0.016567,0.178,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.028732,0
14,20.2978,13,0.497894,-0.669204,-0.016567,0.497870,-0.669100,-0.016567,0.107,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.028958,0
15,20.3978,14,0.497901,-0.669191,-0.016567,0.497693,-0.668973,-0.016567,0.301,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.029347,0
16,20.4978,15,0.497446,-0.668925,-0.016567,0.497517,-0.668847,-0.016567,0.105,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.029535,0
17,20.5978,16,0.497239,-0.668626,-0.016567,0.497341,-0.668722,-0.016567,0.140,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.029610,0
18,20.6978,17,0.497231,-0.668620,-0.016567,0.497166,-0.668597,-0.016567,0.069,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.029866,0
19,20.7977,18,0.497292,-0.668573,-0.016567,0.496991,-0.668472,-0.016567,0.317,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.030255,0
20,20.8977,19,0.496894,-0.668579,-0.016567,0.496817,-0.668348,-0.016567,0.244,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.030555,0
21,20.9978,20,0.496658,-0.668501,-0.016567,0.496644,-0.668224,-0.016567,0.278,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.030801,0
22,21.0978,21,0.496306,-0.668595,-0.016567,0.496471,-0.668101,-0.016567,0.522,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.030908,0
23,21.1977,22,0.496306,-0.668506,-0.016567,0.496299,-0.667978,-0.016567,0.529,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.031192,0
24,21.2978,23,0.496250,-0.668496,-0.016567,0.496127,-0.667855,-0.016567,0.653,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.031580,0
25,21.3978,24,0.495862,-0.667878,-0.016567,0.495956,-0.667732,-0.016567,0.173,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.031769,0
26,21.4978,25,0.495786,-0.667919,-0.016567,0.495785,-0.667610,-0.016567,0.309,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032014,0
27,21.5978,26,0.495533,-0.667372,-0.016567,0.495615,-0.667489,-0.016567,0.142,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032101,0
28,21.6978,27,0.495294,-0.667176,-0.016567,0.495445,-0.667368,-0.016567,0.243,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032106,0
29,21.7978,28,0.495283,-0.666993,-0.016567,0.495276,-0.667247,-0.016567,0.254,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032254,0
30,21.8977,29,0.495085,-0.666500,-0.016567,0.495107,-0.667126,-0.016567,0.627,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032299,0
31,21.9978,30,0.495018,-0.666652,-0.016567,0.494938,-0.667006,-0.016567,0.363,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032496,0
32,22.0978,31,0.494855,-0.666692,-0.016567,0.494770,-0.666886,-0.016567,0.211,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.032729,0
33,22.1978,32,0.494988,-0.666505,-0.016567,0.494603,-0.666766,-0.016567,0.466,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.033117,0
34,22.2978,33,0.494656,-0.666649,-0.016567,0.494436,-0.666647,-0.016567,0.221,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.033506,0
35,22.3978,34,0.494346,-0.666775,-0.016567,0.494269,-0.666527,-0.016567,0.260,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.033823,0
36,22.4978,35,0.494035,-0.666425,-0.016567,0.494102,-0.666408,-0.016567,0.069,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.033949,0
37,22.5978,36,0.493753,-0.666211,-0.016567,0.493936,-0.666290,-0.016567,0.199,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.033943,0
38,22.6978,37,0.493893,-0.666155,-0.016567,0.493770,-0.666171,-0.016567,0.124,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.034136,0
39,22.7978,38,0.493908,-0.665999,-0.016567,0.493605,-0.666053,-0.016567,0.308,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.034525,0
40,22.8978,39,0.493701,-0.665698,-0.016567,0.493439,-0.665935,-0.016567,0.354,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.034914,0
41,22.9979,40,0.493601,-0.665468,-0.016567,0.493274,-0.665817,-0.016567,0.478,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.035302,0
42,23.0978,41,0.493469,-0.665550,-0.016567,0.493109,-0.665699,-0.016567,0.389,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.035691,0
43,23.1978,42,0.493057,-0.665712,-0.016567,0.492945,-0.665582,-0.016567,0.172,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.036020,0
44,23.2978,43,0.492964,-0.665557,-0.016567,0.492780,-0.665464,-0.016567,0.206,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.036409,0
45,23.3978,44,0.492619,-0.665399,-0.016567,0.492616,-0.665347,-0.016567,0.052,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.036612,0
46,23.4978,45,0.492363,-0.664959,-0.016567,0.492452,-0.665230,-0.016567,0.285,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.036649,0
47,23.5978,46,0.492419,-0.664414,-0.016567,0.492288,-0.665113,-0.016567,0.711,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.036793,0
48,23.6978,47,0.492663,-0.664747,-0.016567,0.492125,-0.664996,-0.016567,0.593,-0.856360,-1.945821,-1.761763,-1.033193,1.562324,-2.056409,0.037137,0
