step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.1952,0,0.500470,-0.670180,-0.016567,0.500331,-0.670152,-0.016567,0.143,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.025162,0
2,22.2952,1,0.500470,-0.670180,-0.016567,0.500141,-0.670016,-0.016567,0.368,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.025547,0
3,22.3952,2,0.500444,-0.670199,-0.016567,0.499947,-0.669878,-0.016567,0.591,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.025935,0
4,22.4951,3,0.500037,-0.670053,-0.016567,0.499759,-0.669743,-0.016567,0.416,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.026297,0
5,22.5952,4,0.499759,-0.670195,-0.016567,0.499574,-0.669611,-0.016567,0.612,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.026608,0
6,22.6952,5,0.499543,-0.670176,-0.016567,0.499391,-0.669481,-0.016567,0.712,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.026902,0
7,22.7951,6,0.499188,-0.670165,-0.016567,0.499210,-0.669351,-0.016567,0.815,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.027094,0
8,22.8951,7,0.498987,-0.670025,-0.016567,0.499029,-0.669222,-0.016567,0.804,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.027274,0
9,22.9952,8,0.498782,-0.669823,-0.016567,0.498849,-0.669093,-0.016567,0.733,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.027439,0
10,23.0951,9,0.498634,-0.669380,-0.016567,0.498669,-0.668965,-0.016567,0.417,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.027615,0
11,23.1952,10,0.498426,-0.669157,-0.016567,0.498490,-0.668837,-0.016567,0.326,-0.856345,-1.945825,-1.761794,-1.033200,1.562336,-2.056415,0.027772,0
